Pitt_FCS_α0,Pit_FCS_α0.5,Pitt_FCS_α1
7170.0000000,7239.5000000,7258.0000000
7186.0000000,7198.0000000,7240.0000000
7238.0000000,7263.5000000,7289.0000000
7234.0000000,7260.5000000,7284.0000000
7125.0000000,7149.5000000,7172.0000000
7253.0000000,7274.0000000,7298.0000000
7244.0000000,7271.5000000,7292.0000000
6198.0000000,7273.5000000,6620.0000000
7200.0000000,7229.5000000,7249.0000000
7174.0000000,7200.0000000,7226.0000000
