"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"13" 12 0 1318007 47966 0 0 47974.28125 0 0 10 10 10 10 13 7.84375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"14" 13 0 1410738 47966 0 0 47967.96875 0 0 10 10 10 10 14 8.65625 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"15" 14 0 1505366 47966 0 0 47966.46875 0 0 10 10 10 10 15 9.40625 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"16" 15 0 1600874 47966 0 0 47966 0 0 10 10 10 10 16 9.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"17" 16 0 1696754 47966 0 0 47966 0 0 10 10 10 10 17 10.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"18" 17 0 1791384 47966 0 0 47966 0 0 10 10 10 10 18 11.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"19" 18 0 1886363 47966 0 0 47966 0 0 10 10 10 10 19 12.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"20" 19 0 1979952 47966 0 0 47966 0 0 10 10 10 10 20 13.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"21" 20 0 2069914 47966 0 0 47966 0 0 10 10 10 10 21 14.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"22" 21 0 2167239 47966 0 0 47966 0 0 10 10 10 10 22 15.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"23" 22 0 2267703 47966 0 0 47966 0 0 10 10 10 10 23 16.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"24" 23 0 2360218 47966 0 0 47966 0 0 10 10 10 10 24 17.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"25" 24 0 2456072 47966 0 0 47966 0 0 10 10 10 10 25 18.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"26" 25 0 2551879 47966 0 0 47966 0 0 10 10 10 10 26 19.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"27" 26 0 2645477 47966 0 0 47966 0 0 10 10 10 10 27 20.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
