"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 158494 47485 108 0 56631.75 82.40625 0 10 10 10 10 1 1 "OR NOT user_role=>Consultancy AND NOT device_has_password=false OR NOT device_has_password=true AND  event_type=>user_entered_password_field OR  asset_confidential_level=>CONFIDENTIAL OR NOT wifiConnected=true AND  device_owned_by=>COMPANY AND NOT event_type=>CONTEXT_SENSOR_PACKAGE AND NOT device_is_rooted=false AND  device_OS=>Android5.1 THEN=" "fold2"
"2" 1 0 226869 47485 108 0 53097.21875 46.21875 0 10 10 10 10 2 1.75 "OR NOT user_role=>Consultancy AND NOT device_has_password=false OR NOT device_has_password=true AND  event_type=>user_entered_password_field OR  asset_confidential_level=>CONFIDENTIAL OR NOT wifiConnected=true AND  device_owned_by=>COMPANY AND NOT event_type=>CONTEXT_SENSOR_PACKAGE AND NOT device_is_rooted=false AND  device_OS=>Android5.1 THEN=" "fold2"
"3" 2 0 283568 47485 108 0 51352.46875 29.53125 0 10 10 10 10 3 2.4375 "OR NOT user_role=>Consultancy AND NOT device_has_password=false OR NOT device_has_password=true AND  event_type=>user_entered_password_field OR  asset_confidential_level=>CONFIDENTIAL OR NOT wifiConnected=true AND  device_owned_by=>COMPANY AND NOT event_type=>CONTEXT_SENSOR_PACKAGE AND NOT device_is_rooted=false AND  device_OS=>Android5.1 THEN=" "fold2"
"14" 13 0 874672 47412 71 0 47934.03125 5.59375 0 10 10 10 10 11 9.15625 "AND NOT user_role=>Consultancy AND NOT device_has_password=false OR  device_has_password=true OR  event_type=>user_entered_password_field AND  asset_confidential_level=>CONFIDENTIAL AND NOT wifiEnabled=true AND  device_type=>Motorola Moto G OR  wifiEncryption=>WPA-PSK-CCMPESS OR  event_type=>user_entered_password_field AND  wifiEncryption=>WPA2-PSK-CCMP-preauthESS THEN=" "fold2"
"15" 14 0 923180 47412 71 0 47933.8125 5.59375 0 10 10 10 10 12 9.875 "AND NOT user_role=>Consultancy AND NOT device_has_password=false OR  device_has_password=true OR  event_type=>user_entered_password_field AND  asset_confidential_level=>CONFIDENTIAL AND NOT wifiEnabled=true AND  device_type=>Motorola Moto G OR  wifiEncryption=>WPA-PSK-CCMPESS OR  event_type=>user_entered_password_field AND  wifiEncryption=>WPA2-PSK-CCMP-preauthESS THEN=" "fold2"
"16" 15 0 977718 47412 71 0 47933.75 5.59375 0 10 10 10 10 13 10.6875 "AND NOT user_role=>Consultancy AND NOT device_has_password=false OR  device_has_password=true OR  event_type=>user_entered_password_field AND  asset_confidential_level=>CONFIDENTIAL AND NOT wifiEnabled=true AND  device_type=>Motorola Moto G OR  wifiEncryption=>WPA-PSK-CCMPESS OR  event_type=>user_entered_password_field AND  wifiEncryption=>WPA2-PSK-CCMP-preauthESS THEN=" "fold2"
"17" 16 0 1041907 47412 71 0 47933.65625 5.59375 0 10 10 10 10 14 10.34375 "AND NOT user_role=>Consultancy AND NOT device_has_password=false OR  device_has_password=true OR  event_type=>user_entered_password_field AND  asset_confidential_level=>CONFIDENTIAL AND NOT wifiEnabled=true AND  device_type=>Motorola Moto G OR  wifiEncryption=>WPA-PSK-CCMPESS OR  event_type=>user_entered_password_field AND  wifiEncryption=>WPA2-PSK-CCMP-preauthESS THEN=" "fold2"
"18" 17 0 1107437 47412 71 0 47933.65625 5.59375 0 10 10 10 10 15 11.34375 "AND NOT user_role=>Consultancy AND NOT device_has_password=false OR  device_has_password=true OR  event_type=>user_entered_password_field AND  asset_confidential_level=>CONFIDENTIAL AND NOT wifiEnabled=true AND  device_type=>Motorola Moto G OR  wifiEncryption=>WPA-PSK-CCMPESS OR  event_type=>user_entered_password_field AND  wifiEncryption=>WPA2-PSK-CCMP-preauthESS THEN=" "fold2"
"19" 18 0 1176671 47412 71 0 47933.65625 5.59375 0 10 10 10 10 16 12.34375 "AND NOT user_role=>Consultancy AND NOT device_has_password=false OR  device_has_password=true OR  event_type=>user_entered_password_field AND  asset_confidential_level=>CONFIDENTIAL AND NOT wifiEnabled=true AND  device_type=>Motorola Moto G OR  wifiEncryption=>WPA-PSK-CCMPESS OR  event_type=>user_entered_password_field AND  wifiEncryption=>WPA2-PSK-CCMP-preauthESS THEN=" "fold2"
"20" 19 0 1237005 47412 71 0 47933.65625 5.59375 0 10 10 10 10 17 13.34375 "AND NOT user_role=>Consultancy AND NOT device_has_password=false OR  device_has_password=true OR  event_type=>user_entered_password_field AND  asset_confidential_level=>CONFIDENTIAL AND NOT wifiEnabled=true AND  device_type=>Motorola Moto G OR  wifiEncryption=>WPA-PSK-CCMPESS OR  event_type=>user_entered_password_field AND  wifiEncryption=>WPA2-PSK-CCMP-preauthESS THEN=" "fold2"
"21" 20 0 1302217 47412 71 0 47933.65625 5.59375 0 10 10 10 10 18 14.34375 "AND NOT user_role=>Consultancy AND NOT device_has_password=false OR  device_has_password=true OR  event_type=>user_entered_password_field AND  asset_confidential_level=>CONFIDENTIAL AND NOT wifiEnabled=true AND  device_type=>Motorola Moto G OR  wifiEncryption=>WPA-PSK-CCMPESS OR  event_type=>user_entered_password_field AND  wifiEncryption=>WPA2-PSK-CCMP-preauthESS THEN=" "fold2"
"22" 21 0 1366571 47412 71 0 47933.65625 5.59375 0 10 10 10 10 19 15.34375 "AND NOT user_role=>Consultancy AND NOT device_has_password=false OR  device_has_password=true OR  event_type=>user_entered_password_field AND  asset_confidential_level=>CONFIDENTIAL AND NOT wifiEnabled=true AND  device_type=>Motorola Moto G OR  wifiEncryption=>WPA-PSK-CCMPESS OR  event_type=>user_entered_password_field AND  wifiEncryption=>WPA2-PSK-CCMP-preauthESS THEN=" "fold2"
"23" 22 0 1420369 47412 71 0 47933.5625 5.65625 0 10 10 10 10 20 16.15625 "AND NOT user_role=>Consultancy AND NOT device_has_password=false OR  device_has_password=true OR  event_type=>user_entered_password_field AND  asset_confidential_level=>CONFIDENTIAL AND NOT wifiEnabled=true AND  device_type=>Motorola Moto G OR  wifiEncryption=>WPA-PSK-CCMPESS OR  event_type=>user_entered_password_field AND  wifiEncryption=>WPA2-PSK-CCMP-preauthESS THEN=" "fold2"
