"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 175394 12281 4333 0 33952.21875 2508.0625 0 4 4.15625 15 14.9375 1 1 "OR  wifiEnabled=false AND NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR  device_has_password=false THEN=GRANTED|OR NOT user_role=>Administration AND NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR  device_has_password=false THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-CCMPWPSESS OR  event_level=>SIMPLE_EVENT OR  device_has_password=false THEN=GRANTED|OR NOT device_OS=>Android4.4 OR  event_level=>SIMPLE_EVENT OR  device_has_password=false THEN=GRANTED|" "fold2"
"2" 1 0 246607 12281 4333 0 30158.59375 2772.59375 0 4 4.125 15 14.6875 2 1.8125 "OR  wifiEnabled=false AND NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR  device_has_password=false THEN=GRANTED|OR NOT user_role=>Administration AND NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR  device_has_password=false THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-CCMPWPSESS OR  event_level=>SIMPLE_EVENT OR  device_has_password=false THEN=GRANTED|OR NOT device_OS=>Android4.4 OR  event_level=>SIMPLE_EVENT OR  device_has_password=false THEN=GRANTED|" "fold2"
"3" 2 0 305685 11499 4434 0 23876.875 3343.40625 0 4 4.15625 13 14.6875 1 2.3125 "OR NOT wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS AND  device_has_password=false THEN=GRANTED|OR NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS AND  device_has_password=false THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-CCMPWPSESS OR  event_level=>SIMPLE_EVENT AND  device_has_password=false THEN=GRANTED|AND NOT device_OS=>Android4.4.2 OR  event_level=>SIMPLE_EVENT AND  device_has_password=false THEN=GRANTED|" "fold2"
"4" 3 0 358403 11491 4434 0 21167.5 3416.71875 0 5 4.21875 15 14.75 1 2.78125 "AND  asset_confidential_level=>PUBLIC AND NOT wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR  device_has_password=false THEN=GRANTED|AND NOT wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR  device_has_password=false THEN=GRANTED|OR NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR  device_has_password=false THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-CCMPWPSESS OR NOT event_level=>SIMPLE_EVENT OR  device_has_password=false THEN=GRANTED|AND NOT device_OS=>Android4.4.2 OR NOT event_level=>SIMPLE_EVENT OR  device_has_password=false THEN=GRANTED|" "fold2"
"5" 4 0 408708 10197 4582 0 17732.03125 3788.9375 0 6 4.40625 23 15.1875 1 3.09375 "OR NOT device_OS=>Android4.1.1 AND  bluetoothConnected=false OR  wifiEnabled=true THEN=GRANTED|OR NOT event_type=>USER_BEHAVIOR AND  bluetoothConnected=false OR  wifiEnabled=true THEN=GRANTED|OR NOT event_level=>COMPLEX_EVENT AND NOT wifiConnected=false OR  wifiEnabled=true THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-CCMPWPSESS OR NOT event_level=>SIMPLE_EVENT OR  event_level=>COMPLEX_EVENT AND NOT wifiConnected=false OR  wifiEnabled=true THEN=GRANTED|OR  device_OS=>Android4.4.2 OR NOT event_level=>SIMPLE_EVENT OR  event_level=>COMPLEX_EVENT AND NOT wifiConnected=false OR  wifiEnabled=true THEN=GRANTED|OR NOT device_has_accessibility=true OR  event_level=>COMPLEX_EVENT AND NOT wifiConnected=false OR  wifiEnabled=true THEN=GRANTED|" "fold2"
"6" 5 0 466522 9701 4647 0 15318.3125 4040.28125 0 5 4.5 17 15.375 1 3.1875 "AND NOT device_OS=>Android0 AND  bluetoothConnected=false OR  wifiEnabled=true THEN=GRANTED|OR NOT event_type=>USER_BEHAVIOR AND  bluetoothConnected=false OR  wifiEnabled=true THEN=GRANTED|OR  device_OS=>Android4.4.2 OR NOT event_type=>USER_BEHAVIOR AND  bluetoothConnected=false OR  wifiEnabled=true THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND  wifiConnected=false OR  wifiEnabled=true THEN=GRANTED|AND  asset_confidential_level=>CONFIDENTIAL AND  wifiConnected=false OR  wifiEnabled=true THEN=GRANTED|" "fold2"
"7" 6 0 525517 8614 4770 0 13360.03125 4255.3125 0 6 4.6875 19 15.875 1 3.0625 "AND  bluetoothConnected=false OR NOT event_level=>COMPLEX_EVENT AND  wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR NOT device_has_password=false THEN=GRANTED|OR NOT device_has_accessibility=true OR NOT event_level=>COMPLEX_EVENT AND  wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR NOT device_has_password=false THEN=GRANTED|AND  wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR NOT device_has_password=false THEN=GRANTED|OR NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR NOT device_has_password=false THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-CCMPWPSESS AND  event_level=>SIMPLE_EVENT OR NOT device_has_password=false THEN=GRANTED|OR  device_OS=>Android4.4.2 AND  event_level=>SIMPLE_EVENT OR NOT device_has_password=false THEN=GRANTED|" "fold2"
"8" 7 0 590617 8614 4770 0 12133.5625 4377.96875 0 6 4.84375 19 16.9375 2 3.21875 "AND  bluetoothConnected=false OR NOT event_level=>COMPLEX_EVENT AND  wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR NOT device_has_password=false THEN=GRANTED|OR NOT device_has_accessibility=true OR NOT event_level=>COMPLEX_EVENT AND  wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR NOT device_has_password=false THEN=GRANTED|AND  wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR NOT device_has_password=false THEN=GRANTED|OR NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR NOT device_has_password=false THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-CCMPWPSESS AND  event_level=>SIMPLE_EVENT OR NOT device_has_password=false THEN=GRANTED|OR  device_OS=>Android4.4.2 AND  event_level=>SIMPLE_EVENT OR NOT device_has_password=false THEN=GRANTED|" "fold2"
"9" 8 0 675298 8386 4805 0 11123.375 4475.09375 0 6 5.09375 17 17.5 1 3.125 "OR NOT device_OS=>Android4.4.2 OR NOT device_OS=>Android4.1.1 OR  wifiEnabled=false AND  wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR  device_has_password=false THEN=GRANTED|OR NOT device_OS=>Android4.1.1 OR  wifiEnabled=false AND  wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR  device_has_password=false THEN=GRANTED|OR  wifiEnabled=false AND  wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR  device_has_password=false THEN=GRANTED|AND  wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR  device_has_password=false THEN=GRANTED|AND NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS AND  event_level=>SIMPLE_EVENT OR  device_has_password=false THEN=GRANTED|AND NOT device_OS=>Android4.4.2 AND  event_level=>SIMPLE_EVENT OR  device_has_password=false THEN=GRANTED|" "fold2"
"10" 9 0 740600 8386 4805 0 10539.625 4549.125 0 6 5.21875 17 18 2 3.5 "OR NOT device_OS=>Android4.4.2 OR NOT device_OS=>Android4.1.1 OR  wifiEnabled=false AND  wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR  device_has_password=false THEN=GRANTED|OR NOT device_OS=>Android4.1.1 OR  wifiEnabled=false AND  wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR  device_has_password=false THEN=GRANTED|OR  wifiEnabled=false AND  wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR  device_has_password=false THEN=GRANTED|AND  wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS OR  device_has_password=false THEN=GRANTED|AND NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS AND  event_level=>SIMPLE_EVENT OR  device_has_password=false THEN=GRANTED|AND NOT device_OS=>Android4.4.2 AND  event_level=>SIMPLE_EVENT OR  device_has_password=false THEN=GRANTED|" "fold2"
"11" 10 0 801042 8127 4835 0 9942.1875 4623.125 0 7 5.46875 21 19.5625 1 3.5 "AND NOT wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS AND  device_has_password=false THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC OR NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPA2-PSK-CCMP+TKIP-preauthWPSESS AND  device_has_password=false THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS OR NOT event_level=>COMPLEX_EVENT AND  device_has_password=false THEN=GRANTED|AND  device_OS=>Android4.4.2 AND NOT device_OS=>Android4.1.1 AND NOT wifiEnabled=false OR NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS OR NOT event_level=>COMPLEX_EVENT AND  device_has_password=false THEN=GRANTED|AND NOT device_OS=>Android4.1.1 AND NOT wifiEnabled=false OR NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS OR NOT event_level=>COMPLEX_EVENT AND  device_has_password=false THEN=GRANTED|AND NOT wifiEnabled=false OR NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS OR NOT event_level=>COMPLEX_EVENT AND  device_has_password=false THEN=GRANTED|OR  device_OS=>Android4.4.2 OR NOT event_level=>COMPLEX_EVENT AND  device_has_password=false THEN=GRANTED|" "fold2"
