"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 278920 10045 4587 0 36280.28125 2454.0625 0 4 4.03125 15 14.9375 1 1 "AND  wifiEnabled=false OR NOT device_has_antivirus=true AND NOT device_type=>Samsung Galaxy Grand Neo (GT-I THEN=GRANTED|AND  password_length>6 OR NOT device_has_antivirus=true AND NOT device_type=>Samsung Galaxy Grand Neo (GT-I THEN=GRANTED|AND NOT mail_has_attachment=false OR  wifiEnabled=false AND NOT device_type=>Samsung Galaxy Grand Neo (GT-I THEN=GRANTED|OR  mail_has_attachment=false OR  wifiEnabled=false AND NOT device_type=>Samsung Galaxy Grand Neo (GT-I THEN=GRANTED|" "fold8"
"2" 1 0 361446 9688 4591 0 25400.34375 3348.875 0 4 4.0625 15 14.9375 1 1.65625 "OR NOT device_has_antivirus=true AND  bluetoothConnected=false AND  device_is_rooted=false THEN=GRANTED|OR  event_type=>USER_BEHAVIOR AND  bluetoothConnected=false AND  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT OR NOT mail_has_attachment=false AND  device_is_rooted=false THEN=GRANTED|AND  mail_has_attachment=false OR NOT mail_has_attachment=false AND  device_is_rooted=false THEN=GRANTED|" "fold8"
"3" 2 0 460821 9688 4591 0 17764.75 3835.0625 0 4 4.15625 15 14.9375 2 2 "OR NOT device_has_antivirus=true AND  bluetoothConnected=false AND  device_is_rooted=false THEN=GRANTED|OR  event_type=>USER_BEHAVIOR AND  bluetoothConnected=false AND  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT OR NOT mail_has_attachment=false AND  device_is_rooted=false THEN=GRANTED|AND  mail_has_attachment=false OR NOT mail_has_attachment=false AND  device_is_rooted=false THEN=GRANTED|" "fold8"
"4" 3 0 571325 9688 4591 0 15246.875 3988.59375 0 4 4.125 15 14.75 3 2.53125 "OR NOT device_has_antivirus=true AND  bluetoothConnected=false AND  device_is_rooted=false THEN=GRANTED|OR  event_type=>USER_BEHAVIOR AND  bluetoothConnected=false AND  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT OR NOT mail_has_attachment=false AND  device_is_rooted=false THEN=GRANTED|AND  mail_has_attachment=false OR NOT mail_has_attachment=false AND  device_is_rooted=false THEN=GRANTED|" "fold8"
"5" 4 0 682100 9192 4696 0 13492.71875 4202 0 5 4.21875 17 15.125 1 3.09375 "OR  device_type=>Nexus 5 OR NOT device_has_antivirus=true AND  device_type=>LG-L70 THEN=GRANTED|OR NOT password_length>6 OR NOT device_has_antivirus=true AND  device_type=>LG-L70 THEN=GRANTED|AND NOT password_length>6 OR NOT password_length>6 OR NOT device_has_antivirus=true AND  device_type=>LG-L70 THEN=GRANTED|AND  mail_has_attachment=false OR  wifiEnabled=false AND  device_type=>LG-L70 THEN=GRANTED|AND  mail_has_attachment=false OR  wifiEnabled=false AND  device_type=>LG-L70 THEN=GRANTED|" "fold8"
"6" 5 0 784394 8460 4778 0 12173.8125 4330.46875 0 5 4.25 17 15.1875 1 3.34375 "OR NOT wifiEnabled=false AND  device_has_antivirus=true OR NOT device_type=>LG-L70 THEN=GRANTED|AND  device_has_antivirus=true OR NOT device_type=>LG-L70 THEN=GRANTED|AND NOT mail_has_attachment=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|AND NOT mail_has_attachment=true OR NOT wifiEnabled=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|OR  mail_has_attachment=false OR NOT wifiEnabled=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|" "fold8"
"7" 6 0 868166 8460 4778 0 11658.53125 4411 0 5 4.25 17 15.25 2 3.96875 "OR NOT wifiEnabled=false AND  device_has_antivirus=true OR NOT device_type=>LG-L70 THEN=GRANTED|AND  device_has_antivirus=true OR NOT device_type=>LG-L70 THEN=GRANTED|AND NOT mail_has_attachment=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|AND NOT mail_has_attachment=true OR NOT wifiEnabled=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|OR  mail_has_attachment=false OR NOT wifiEnabled=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|" "fold8"
"8" 7 0 978481 8460 4778 0 11210.78125 4441.03125 0 5 4.3125 17 15.5625 3 4.5 "OR NOT wifiEnabled=false AND  device_has_antivirus=true OR NOT device_type=>LG-L70 THEN=GRANTED|AND  device_has_antivirus=true OR NOT device_type=>LG-L70 THEN=GRANTED|AND NOT mail_has_attachment=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|AND NOT mail_has_attachment=true OR NOT wifiEnabled=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|OR  mail_has_attachment=false OR NOT wifiEnabled=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|" "fold8"
"9" 8 0 1074256 8460 4778 0 10509.53125 4528.09375 0 5 4.375 17 15.6875 4 4.6875 "OR NOT wifiEnabled=false AND  device_has_antivirus=true OR NOT device_type=>LG-L70 THEN=GRANTED|AND  device_has_antivirus=true OR NOT device_type=>LG-L70 THEN=GRANTED|AND NOT mail_has_attachment=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|AND NOT mail_has_attachment=true OR NOT wifiEnabled=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|OR  mail_has_attachment=false OR NOT wifiEnabled=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|" "fold8"
"10" 9 0 1171704 8460 4778 0 10233.59375 4561.3125 0 5 4.40625 17 15.8125 5 5.3125 "OR NOT wifiEnabled=false AND  device_has_antivirus=true OR NOT device_type=>LG-L70 THEN=GRANTED|AND  device_has_antivirus=true OR NOT device_type=>LG-L70 THEN=GRANTED|AND NOT mail_has_attachment=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|AND NOT mail_has_attachment=true OR NOT wifiEnabled=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|OR  mail_has_attachment=false OR NOT wifiEnabled=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|" "fold8"
"11" 10 0 1309940 8460 4778 0 9857.59375 4606.625 0 5 4.5625 17 16.1875 6 5.125 "OR NOT wifiEnabled=false AND  device_has_antivirus=true OR NOT device_type=>LG-L70 THEN=GRANTED|AND  device_has_antivirus=true OR NOT device_type=>LG-L70 THEN=GRANTED|AND NOT mail_has_attachment=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|AND NOT mail_has_attachment=true OR NOT wifiEnabled=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|OR  mail_has_attachment=false OR NOT wifiEnabled=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|" "fold8"
"12" 11 0 1464981 8460 4778 0 9773.125 4615.96875 0 5 4.53125 17 16.1875 7 5.21875 "OR NOT wifiEnabled=false AND  device_has_antivirus=true OR NOT device_type=>LG-L70 THEN=GRANTED|AND  device_has_antivirus=true OR NOT device_type=>LG-L70 THEN=GRANTED|AND NOT mail_has_attachment=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|AND NOT mail_has_attachment=true OR NOT wifiEnabled=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|OR  mail_has_attachment=false OR NOT wifiEnabled=true AND  wifiEnabled=false OR NOT device_type=>LG-L70 THEN=GRANTED|" "fold8"
