"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 132674 10506 4534 0 44442.75 2090.625 0 4 4 15 14.9375 1 1 "AND  device_has_password=false AND NOT device_has_antivirus=true OR  device_has_password=true THEN=GRANTED|OR  user_role=>Consultancy AND NOT device_has_antivirus=true OR  device_has_password=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_PACKAGE OR  mail_has_attachment=true OR  device_has_password=true THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  mail_has_attachment=true OR  device_has_password=true THEN=GRANTED|" "fold0"
"2" 1 0 186780 10506 4534 0 32236.71875 2841.3125 0 4 4.1875 15 14.9375 2 1.625 "AND  device_has_password=false AND NOT device_has_antivirus=true OR  device_has_password=true THEN=GRANTED|OR  user_role=>Consultancy AND NOT device_has_antivirus=true OR  device_has_password=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_PACKAGE OR  mail_has_attachment=true OR  device_has_password=true THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  mail_has_attachment=true OR  device_has_password=true THEN=GRANTED|" "fold0"
"3" 2 0 259863 10506 4534 0 24344.6875 3381.5 0 4 4.28125 15 15 3 2.21875 "AND  device_has_password=false AND NOT device_has_antivirus=true OR  device_has_password=true THEN=GRANTED|OR  user_role=>Consultancy AND NOT device_has_antivirus=true OR  device_has_password=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_PACKAGE OR  mail_has_attachment=true OR  device_has_password=true THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  mail_has_attachment=true OR  device_has_password=true THEN=GRANTED|" "fold0"
"4" 3 0 324478 10506 4534 0 19057.96875 3744.0625 0 4 4.375 15 15.0625 4 2.3125 "AND  device_has_password=false AND NOT device_has_antivirus=true OR  device_has_password=true THEN=GRANTED|OR  user_role=>Consultancy AND NOT device_has_antivirus=true OR  device_has_password=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_PACKAGE OR  mail_has_attachment=true OR  device_has_password=true THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  mail_has_attachment=true OR  device_has_password=true THEN=GRANTED|" "fold0"
"5" 4 0 391587 10506 4534 0 17680.3125 3926.84375 0 4 4.4375 15 15.3125 5 2.8125 "AND  device_has_password=false AND NOT device_has_antivirus=true OR  device_has_password=true THEN=GRANTED|OR  user_role=>Consultancy AND NOT device_has_antivirus=true OR  device_has_password=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_PACKAGE OR  mail_has_attachment=true OR  device_has_password=true THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  mail_has_attachment=true OR  device_has_password=true THEN=GRANTED|" "fold0"
"6" 5 0 447406 8957 4711 0 16001.6875 4005.6875 0 5 4.5 17 15.5625 1 3.25 "OR NOT event_type=>CONTEXT_SENSOR_PACKAGE AND  device_has_password=false OR NOT device_has_antivirus=true AND  device_has_password=true THEN=GRANTED|AND  device_has_password=false OR NOT device_has_antivirus=true AND  device_has_password=true THEN=GRANTED|OR  user_role=>Consultancy OR NOT device_has_antivirus=true AND  device_has_password=true THEN=GRANTED|OR NOT event_type=>CONTEXT_SENSOR_PACKAGE AND NOT mail_has_attachment=true AND  device_has_password=true THEN=GRANTED|AND  asset_confidential_level=>PUBLIC AND NOT mail_has_attachment=true AND  device_has_password=true THEN=GRANTED|" "fold0"
"7" 6 0 497547 8957 4711 0 15204.8125 4065.875 0 5 4.53125 17 15.5625 2 3.6875 "OR NOT event_type=>CONTEXT_SENSOR_PACKAGE AND  device_has_password=false OR NOT device_has_antivirus=true AND  device_has_password=true THEN=GRANTED|AND  device_has_password=false OR NOT device_has_antivirus=true AND  device_has_password=true THEN=GRANTED|OR  user_role=>Consultancy OR NOT device_has_antivirus=true AND  device_has_password=true THEN=GRANTED|OR NOT event_type=>CONTEXT_SENSOR_PACKAGE AND NOT mail_has_attachment=true AND  device_has_password=true THEN=GRANTED|AND  asset_confidential_level=>PUBLIC AND NOT mail_has_attachment=true AND  device_has_password=true THEN=GRANTED|" "fold0"
"8" 7 0 543793 8957 4711 0 14593.0625 4106.34375 0 5 4.46875 17 15 3 3.90625 "OR NOT event_type=>CONTEXT_SENSOR_PACKAGE AND  device_has_password=false OR NOT device_has_antivirus=true AND  device_has_password=true THEN=GRANTED|AND  device_has_password=false OR NOT device_has_antivirus=true AND  device_has_password=true THEN=GRANTED|OR  user_role=>Consultancy OR NOT device_has_antivirus=true AND  device_has_password=true THEN=GRANTED|OR NOT event_type=>CONTEXT_SENSOR_PACKAGE AND NOT mail_has_attachment=true AND  device_has_password=true THEN=GRANTED|AND  asset_confidential_level=>PUBLIC AND NOT mail_has_attachment=true AND  device_has_password=true THEN=GRANTED|" "fold0"
"9" 8 0 586586 8957 4711 0 13712.96875 4223.84375 0 5 4.59375 17 15.25 4 4.3125 "OR NOT event_type=>CONTEXT_SENSOR_PACKAGE AND  device_has_password=false OR NOT device_has_antivirus=true AND  device_has_password=true THEN=GRANTED|AND  device_has_password=false OR NOT device_has_antivirus=true AND  device_has_password=true THEN=GRANTED|OR  user_role=>Consultancy OR NOT device_has_antivirus=true AND  device_has_password=true THEN=GRANTED|OR NOT event_type=>CONTEXT_SENSOR_PACKAGE AND NOT mail_has_attachment=true AND  device_has_password=true THEN=GRANTED|AND  asset_confidential_level=>PUBLIC AND NOT mail_has_attachment=true AND  device_has_password=true THEN=GRANTED|" "fold0"
"10" 9 0 659051 8043 4830 0 12757.09375 4327.5 0 5 4.78125 19 16.1875 1 4.53125 "OR  event_type=>LOG_IN AND NOT device_OS=>Android4.5.1 AND NOT mail_has_attachment=true THEN=GRANTED|AND  wifiConnected=false OR  device_owned_by=>COMPANY AND NOT device_OS=>Android4.5.1 AND NOT mail_has_attachment=true THEN=GRANTED|OR  device_owned_by=>COMPANY AND NOT device_OS=>Android4.5.1 AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY OR  device_screen_timeout>=671 AND NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_has_password=false OR  device_screen_timeout>=671 AND NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_has_password=false AND NOT device_has_password=false OR  device_screen_timeout>=671 AND NOT mail_has_attachment=true THEN=GRANTED|" "fold0"
