"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 201820 17358 3640 0 40338.28125 2351.15625 0 4 4.0625 15 14.8125 1 1 "AND NOT device_has_password=true OR NOT wifiConnected=false AND NOT device_has_password=false THEN=GRANTED|OR  device_owned_by=>USER OR NOT wifiConnected=false AND NOT device_has_password=false THEN=GRANTED|OR NOT device_type=>Samsung Galaxy S4 GT-I9506 OR  bluetoothConnected=true AND NOT device_has_password=false THEN=GRANTED|AND  device_screen_timeout>=291 OR  bluetoothConnected=true AND NOT device_has_password=false THEN=STRONGDENY|" "fold9"
"2" 1 0 278834 17358 3640 0 31853.625 2845.25 0 4 4.0625 15 14.5625 2 1.65625 "AND NOT device_has_password=true OR NOT wifiConnected=false AND NOT device_has_password=false THEN=GRANTED|OR  device_owned_by=>USER OR NOT wifiConnected=false AND NOT device_has_password=false THEN=GRANTED|OR NOT device_type=>Samsung Galaxy S4 GT-I9506 OR  bluetoothConnected=true AND NOT device_has_password=false THEN=GRANTED|AND  device_screen_timeout>=291 OR  bluetoothConnected=true AND NOT device_has_password=false THEN=STRONGDENY|" "fold9"
"3" 2 0 370216 12257 4298 0 28108.75 3221.75 0 4 4.125 9 14.625 1 2.28125 "AND NOT mail_has_attachment=true AND NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS THEN=GRANTED|OR  device_screen_timeout<800 AND NOT mail_has_attachment=true AND NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-CCMP-preauthESS AND NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS THEN=GRANTED|" "fold9"
"4" 3 0 450127 12257 4298 0 24107.3125 3420.6875 0 4 4.125 9 14.3125 2 2.6875 "AND NOT mail_has_attachment=true AND NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS THEN=GRANTED|OR  device_screen_timeout<800 AND NOT mail_has_attachment=true AND NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-CCMP-preauthESS AND NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS THEN=GRANTED|" "fold9"
"5" 4 0 533201 12257 4298 0 20242.625 3611.5 0 4 4.09375 9 14.1875 3 3.09375 "AND NOT mail_has_attachment=true AND NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS THEN=GRANTED|OR  device_screen_timeout<800 AND NOT mail_has_attachment=true AND NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-CCMP-preauthESS AND NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS THEN=GRANTED|" "fold9"
"6" 5 0 627713 9791 4599 0 18985.78125 3762.375 0 4 4.09375 15 14.1875 1 3.53125 "OR NOT event_type=>user_entered_password_field AND  user_role=>Development OR NOT wifiEnabled=true THEN=GRANTED|OR NOT user_role=>Administration AND  user_role=>Development OR NOT wifiEnabled=true THEN=GRANTED|OR  event_type=>ACTION_REMOTE_FILE_ACCESS AND NOT user_role=>Consultancy OR NOT wifiEnabled=true THEN=GRANTED|AND NOT bluetoothConnected=true AND NOT user_role=>Consultancy OR NOT wifiEnabled=true THEN=GRANTED|" "fold9"
"7" 6 0 714304 9739 4603 0 17186.3125 3920.9375 0 4 4.09375 13 13.6875 1 3.8125 "OR  event_type=>user_entered_password_field OR NOT user_role=>Development AND NOT wifiEnabled=true THEN=GRANTED|OR NOT user_role=>Administration OR NOT user_role=>Development AND NOT wifiEnabled=true THEN=GRANTED|OR NOT user_role=>Consultancy AND NOT wifiEnabled=true THEN=GRANTED|AND NOT bluetoothConnected=true OR NOT user_role=>Consultancy AND NOT wifiEnabled=true THEN=GRANTED|" "fold9"
"8" 7 0 787950 8673 4729 0 15341.125 4048.03125 0 5 4.21875 17 13.8125 1 3.875 "AND  event_level=>SIMPLE_EVENT OR NOT password_length>=5 THEN=GRANTED|OR NOT device_type=>Motorola Moto G AND  event_level=>SIMPLE_EVENT OR NOT password_length>=5 THEN=GRANTED|OR NOT device_is_rooted=false AND  device_owned_by=>COMPANY OR NOT password_length>=5 THEN=GRANTED|OR  device_is_rooted=false AND  device_owned_by=>COMPANY AND  device_owned_by=>COMPANY OR NOT password_length>=5 THEN=GRANTED|AND  bluetoothConnected=true AND  device_owned_by=>COMPANY AND  device_owned_by=>COMPANY OR NOT password_length>=5 THEN=GRANTED|" "fold9"
"9" 8 0 851341 8673 4729 0 14185.6875 4124.875 0 5 4.28125 17 13.625 2 3.9375 "AND  event_level=>SIMPLE_EVENT OR NOT password_length>=5 THEN=GRANTED|OR NOT device_type=>Motorola Moto G AND  event_level=>SIMPLE_EVENT OR NOT password_length>=5 THEN=GRANTED|OR NOT device_is_rooted=false AND  device_owned_by=>COMPANY OR NOT password_length>=5 THEN=GRANTED|OR  device_is_rooted=false AND  device_owned_by=>COMPANY AND  device_owned_by=>COMPANY OR NOT password_length>=5 THEN=GRANTED|AND  bluetoothConnected=true AND  device_owned_by=>COMPANY AND  device_owned_by=>COMPANY OR NOT password_length>=5 THEN=GRANTED|" "fold9"
"10" 9 0 936296 8673 4729 0 13152.1875 4213.375 0 5 4.375 17 13.625 3 4.1875 "AND  event_level=>SIMPLE_EVENT OR NOT password_length>=5 THEN=GRANTED|OR NOT device_type=>Motorola Moto G AND  event_level=>SIMPLE_EVENT OR NOT password_length>=5 THEN=GRANTED|OR NOT device_is_rooted=false AND  device_owned_by=>COMPANY OR NOT password_length>=5 THEN=GRANTED|OR  device_is_rooted=false AND  device_owned_by=>COMPANY AND  device_owned_by=>COMPANY OR NOT password_length>=5 THEN=GRANTED|AND  bluetoothConnected=true AND  device_owned_by=>COMPANY AND  device_owned_by=>COMPANY OR NOT password_length>=5 THEN=GRANTED|" "fold9"
