"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 242212 27338 2474 0 29051.28125 2293.15625 0 10 10 10 10 1 1 "AND  wifiEnabled=false OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND  event_type=>CONTEXT_SENSOR_DEVICE_PROTECTION AND NOT password_length>=5 AND  event_type=>LOG_OUT AND  event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true OR  wifiEncryption=>WPA-PSK-TKIP+CCMPESS OR  user_role=>Development AND NOT device_screen_timeout>335 THEN=" "fold3"
"2" 1 0 331828 27338 2474 0 27751.4375 2454.0625 0 10 10 10 10 2 1.6875 "AND  wifiEnabled=false OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND  event_type=>CONTEXT_SENSOR_DEVICE_PROTECTION AND NOT password_length>=5 AND  event_type=>LOG_OUT AND  event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true OR  wifiEncryption=>WPA-PSK-TKIP+CCMPESS OR  user_role=>Development AND NOT device_screen_timeout>335 THEN=" "fold3"
"3" 2 0 417739 27338 2474 0 27600.0625 2471.78125 0 10 10 10 10 3 2.3125 "AND  wifiEnabled=false OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND  event_type=>CONTEXT_SENSOR_DEVICE_PROTECTION AND NOT password_length>=5 AND  event_type=>LOG_OUT AND  event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true OR  wifiEncryption=>WPA-PSK-TKIP+CCMPESS OR  user_role=>Development AND NOT device_screen_timeout>335 THEN=" "fold3"
"4" 3 0 502701 27338 2474 0 27560.65625 2478.53125 0 10 10 10 10 4 2.84375 "AND  wifiEnabled=false OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND  event_type=>CONTEXT_SENSOR_DEVICE_PROTECTION AND NOT password_length>=5 AND  event_type=>LOG_OUT AND  event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true OR  wifiEncryption=>WPA-PSK-TKIP+CCMPESS OR  user_role=>Development AND NOT device_screen_timeout>335 THEN=" "fold3"
"5" 4 0 588404 26313 2491 0 27521.21875 2478.84375 0 10 10 10 10 1 3.8125 "AND  device_OS=>Android0 AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  event_type=>ACTION_REMOTE_FILE_ACCESS OR  password_length>=5 OR  event_type=>LOG_OUT AND  event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPESS OR  user_role=>Development OR  user_role=>Security THEN=" "fold3"
"6" 5 0 673699 26313 2491 0 27510.46875 2477.40625 0 10 10 10 10 2 4.6875 "AND  device_OS=>Android0 AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  event_type=>ACTION_REMOTE_FILE_ACCESS OR  password_length>=5 OR  event_type=>LOG_OUT AND  event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPESS OR  user_role=>Development OR  user_role=>Security THEN=" "fold3"
"7" 6 0 766592 26313 2491 0 27468.625 2476.25 0 10 10 10 10 3 5.375 "AND  device_OS=>Android0 AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  event_type=>ACTION_REMOTE_FILE_ACCESS OR  password_length>=5 OR  event_type=>LOG_OUT AND  event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPESS OR  user_role=>Development OR  user_role=>Security THEN=" "fold3"
"8" 7 0 853158 26313 2491 0 27423.0625 2476.03125 0 10 10 10 10 4 6.0625 "AND  device_OS=>Android0 AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  event_type=>ACTION_REMOTE_FILE_ACCESS OR  password_length>=5 OR  event_type=>LOG_OUT AND  event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPESS OR  user_role=>Development OR  user_role=>Security THEN=" "fold3"
"9" 8 0 936573 26313 2491 0 27411.3125 2476.34375 0 10 10 10 10 5 6.6875 "AND  device_OS=>Android0 AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  event_type=>ACTION_REMOTE_FILE_ACCESS OR  password_length>=5 OR  event_type=>LOG_OUT AND  event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPESS OR  user_role=>Development OR  user_role=>Security THEN=" "fold3"
"10" 9 0 1028296 26289 2497 0 27371.125 2476.84375 0 10 10 10 10 1 7.4375 "AND NOT wifiEnabled=false AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  event_type=>CONTEXT_SENSOR_DEVICE_PROTECTION OR  device_screen_timeout<1736 OR NOT device_has_password=true OR NOT event_type=>SECURITY_PROPERTY_CHANGED OR  device_OS=>Android4.5.1 AND  event_type=>ACTION_REMOTE_FILE_ACCESS AND NOT device_type=>LG-P760 OR NOT device_owned_by=>COMPANY THEN=" "fold3"
