"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 215024 27392 2467 0 29365.125 2250.125 0 10 10 10 10 1 1 "OR NOT asset_confidential_level=>PUBLIC OR  user_role=>Consultancy OR  device_type=>Samsung Galaxy S4 mini GT-I919 AND NOT device_OS=>Android0 OR  device_is_rooted=true OR NOT user_role=>Administration AND  password_length<6 AND  wifiConnected=false OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT password_length<=5 THEN=" "fold0"
"2" 1 0 303841 27198 2465 0 27883.53125 2423.125 0 10 10 10 10 1 1.75 "OR NOT event_level=>SIMPLE_EVENT OR NOT wifiEnabled=false AND  device_has_accessibility=false AND  bluetoothConnected=false AND NOT device_screen_timeout<=1068 AND NOT device_has_password=false OR NOT device_is_rooted=false OR NOT wifiConnected=false OR  device_type=>BQ Aquaris E4.5 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"3" 2 0 389660 27198 2465 0 27587.5 2460.03125 0 10 10 10 10 2 2.34375 "OR NOT event_level=>SIMPLE_EVENT OR NOT wifiEnabled=false AND  device_has_accessibility=false AND  bluetoothConnected=false AND NOT device_screen_timeout<=1068 AND NOT device_has_password=false OR NOT device_is_rooted=false OR NOT wifiConnected=false OR  device_type=>BQ Aquaris E4.5 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"4" 3 0 475827 27198 2465 0 27535.65625 2463.78125 0 10 10 10 10 3 2.9375 "OR NOT event_level=>SIMPLE_EVENT OR NOT wifiEnabled=false AND  device_has_accessibility=false AND  bluetoothConnected=false AND NOT device_screen_timeout<=1068 AND NOT device_has_password=false OR NOT device_is_rooted=false OR NOT wifiConnected=false OR  device_type=>BQ Aquaris E4.5 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"5" 4 0 546504 27198 2465 0 27520.59375 2464.03125 0 10 10 10 10 4 3.21875 "OR NOT event_level=>SIMPLE_EVENT OR NOT wifiEnabled=false AND  device_has_accessibility=false AND  bluetoothConnected=false AND NOT device_screen_timeout<=1068 AND NOT device_has_password=false OR NOT device_is_rooted=false OR NOT wifiConnected=false OR  device_type=>BQ Aquaris E4.5 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"6" 5 0 629788 27198 2465 0 27520.59375 2464.03125 0 10 10 10 10 5 4.21875 "OR NOT event_level=>SIMPLE_EVENT OR NOT wifiEnabled=false AND  device_has_accessibility=false AND  bluetoothConnected=false AND NOT device_screen_timeout<=1068 AND NOT device_has_password=false OR NOT device_is_rooted=false OR NOT wifiConnected=false OR  device_type=>BQ Aquaris E4.5 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"7" 6 0 716979 27198 2465 0 27520.59375 2464.03125 0 10 10 10 10 6 5.21875 "OR NOT event_level=>SIMPLE_EVENT OR NOT wifiEnabled=false AND  device_has_accessibility=false AND  bluetoothConnected=false AND NOT device_screen_timeout<=1068 AND NOT device_has_password=false OR NOT device_is_rooted=false OR NOT wifiConnected=false OR  device_type=>BQ Aquaris E4.5 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"8" 7 0 811266 27198 2465 0 27520.59375 2464.03125 0 10 10 10 10 7 6.21875 "OR NOT event_level=>SIMPLE_EVENT OR NOT wifiEnabled=false AND  device_has_accessibility=false AND  bluetoothConnected=false AND NOT device_screen_timeout<=1068 AND NOT device_has_password=false OR NOT device_is_rooted=false OR NOT wifiConnected=false OR  device_type=>BQ Aquaris E4.5 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"9" 8 0 890757 27198 2465 0 27520.59375 2464.03125 0 10 10 10 10 8 7.21875 "OR NOT event_level=>SIMPLE_EVENT OR NOT wifiEnabled=false AND  device_has_accessibility=false AND  bluetoothConnected=false AND NOT device_screen_timeout<=1068 AND NOT device_has_password=false OR NOT device_is_rooted=false OR NOT wifiConnected=false OR  device_type=>BQ Aquaris E4.5 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"10" 9 0 984437 27198 2465 0 27517.1875 2463.8125 0 10 10 10 10 9 8.0625 "OR NOT event_level=>SIMPLE_EVENT OR NOT wifiEnabled=false AND  device_has_accessibility=false AND  bluetoothConnected=false AND NOT device_screen_timeout<=1068 AND NOT device_has_password=false OR NOT device_is_rooted=false OR NOT wifiConnected=false OR  device_type=>BQ Aquaris E4.5 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"11" 10 0 1060272 27166 2445 0 27505.46875 2463.21875 0 10 10 10 10 1 8.875 "OR  event_level=>SIMPLE_EVENT AND  wifiEnabled=false OR  device_has_accessibility=false AND NOT bluetoothConnected=false OR  device_screen_timeout<=1068 OR NOT device_has_password=false AND  password_length<6 OR NOT wifiConnected=false AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  password_length<=5 THEN=" "fold0"
"12" 11 0 1137915 27166 2445 0 27505.46875 2463.21875 0 10 10 10 10 2 9.875 "OR  event_level=>SIMPLE_EVENT AND  wifiEnabled=false OR  device_has_accessibility=false AND NOT bluetoothConnected=false OR  device_screen_timeout<=1068 OR NOT device_has_password=false AND  password_length<6 OR NOT wifiConnected=false AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  password_length<=5 THEN=" "fold0"
"13" 12 0 1220706 27166 2445 0 27505.46875 2463.21875 0 10 10 10 10 3 10.875 "OR  event_level=>SIMPLE_EVENT AND  wifiEnabled=false OR  device_has_accessibility=false AND NOT bluetoothConnected=false OR  device_screen_timeout<=1068 OR NOT device_has_password=false AND  password_length<6 OR NOT wifiConnected=false AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  password_length<=5 THEN=" "fold0"
"14" 13 0 1299179 27166 2445 0 27505.46875 2463.21875 0 10 10 10 10 4 11.875 "OR  event_level=>SIMPLE_EVENT AND  wifiEnabled=false OR  device_has_accessibility=false AND NOT bluetoothConnected=false OR  device_screen_timeout<=1068 OR NOT device_has_password=false AND  password_length<6 OR NOT wifiConnected=false AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  password_length<=5 THEN=" "fold0"
