"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"13" 12 0 903502 46526 191 0 47888.15625 18.875 0 10 10 10 10 13 6.6875 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
"14" 13 0 960432 46526 191 0 47888.15625 18.875 0 10 10 10 10 14 7.6875 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
"15" 14 0 1007639 46526 191 0 47887.46875 18.875 0 10 10 10 10 15 8.3125 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
"16" 15 0 1067153 46526 191 0 47887.09375 18.875 0 10 10 10 10 16 8.625 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
"17" 16 0 1142107 46526 191 0 47863.21875 26.59375 0 10 10 10 10 17 8.40625 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
"18" 17 0 1201802 46526 191 0 47862.21875 26.84375 0 10 10 10 10 18 8.96875 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
"19" 18 0 1246362 46526 191 0 47862.125 26.84375 0 10 10 10 10 19 9.375 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
"20" 19 0 1307588 46526 191 0 47851.09375 34.09375 0 10 10 10 10 20 9.8125 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
"21" 20 0 1379157 46526 191 0 47851.09375 34.09375 0 10 10 10 10 21 10.8125 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
"22" 21 0 1437765 46526 191 0 47851.09375 34.09375 0 10 10 10 10 22 11.8125 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
"23" 22 0 1499312 46526 191 0 47851.09375 34.09375 0 10 10 10 10 23 12.8125 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
"24" 23 0 1571730 46526 191 0 47846 37.5625 0 10 10 10 10 24 13.65625 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
