"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"12" 11 0 1274288 "18412.00000000" "4733.00000000" ".00000000" "20167.00000000" "4486.00000000" ".00000000" 5 "4.53125000" 15 "14.87500000" 7 "6.37500000" "OR  device_has_antivirus=false AND  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEncryption=>ESS OR NOT device_OS=>Android4.3 OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT device_OS=>Android4.3 OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"13" 12 0 1357831 "18123.00000000" "4585.00000000" ".00000000" "19855.75000000" "4529.09375000" ".00000000" 4 "4.56250000" 13 "14.93750000" 1 "6.43750000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT device_has_antivirus=false AND NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"14" 13 0 1490475 "18123.00000000" "4585.00000000" ".00000000" "19741.09375000" "4550.87500000" ".00000000" 4 "4.56250000" 13 "15.06250000" 2 "7.00000000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT device_has_antivirus=false AND NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"15" 14 0 1614143 "18123.00000000" "4585.00000000" ".00000000" "19645.12500000" "4559.96875000" ".00000000" 4 "4.56250000" 13 "14.93750000" 3 "7.59375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT device_has_antivirus=false AND NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"16" 15 0 1692251 "18123.00000000" "4585.00000000" ".00000000" "19600.37500000" "4555.81250000" ".00000000" 4 "4.53125000" 13 "14.81250000" 4 "8.50000000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT device_has_antivirus=false AND NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"17" 16 0 1772156 "18123.00000000" "4585.00000000" ".00000000" "19486.21875000" "4562.21875000" ".00000000" 4 "4.53125000" 13 "14.68750000" 5 "8.93750000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT device_has_antivirus=false AND NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"18" 17 0 1896838 "18123.00000000" "4585.00000000" ".00000000" "19358.12500000" "4575.34375000" ".00000000" 4 "4.56250000" 13 "14.62500000" 6 "8.53125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT device_has_antivirus=false AND NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"19" 18 0 1995941 "18123.00000000" "4585.00000000" ".00000000" "19330.71875000" "4584.87500000" ".00000000" 4 "4.53125000" 13 "14.75000000" 7 "9.12500000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT device_has_antivirus=false AND NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"20" 19 0 2089218 "18123.00000000" "4585.00000000" ".00000000" "19296.46875000" "4585.12500000" ".00000000" 4 "4.53125000" 13 "14.68750000" 8 "9.84375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT device_has_antivirus=false AND NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"21" 20 0 2186892 "18123.00000000" "4585.00000000" ".00000000" "19184.68750000" "4601.62500000" ".00000000" 4 "4.59375000" 13 "14.75000000" 9 "9.84375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT device_has_antivirus=false AND NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"22" 21 0 2297984 "17403.00000000" "4733.00000000" ".00000000" "18918.46875000" "4640.43750000" ".00000000" 5 "4.65625000" 13 "14.81250000" 1 "9.06250000" "AND NOT wifiConnected=true OR  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  wifiEncryption=>ESS AND NOT device_OS=>Windows7 Home Edition OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Windows7 Home Edition OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"23" 22 0 2406071 "17403.00000000" "4733.00000000" ".00000000" "18918.46875000" "4640.43750000" ".00000000" 5 "4.65625000" 13 "14.81250000" 2 "10.06250000" "AND NOT wifiConnected=true OR  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  wifiEncryption=>ESS AND NOT device_OS=>Windows7 Home Edition OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Windows7 Home Edition OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
