"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"40" 39 0 4213619 "17141.00000000" "4573.00000000" ".00000000" "17900.87500000" "4683.50000000" ".00000000" 4 "4.71875000" 11 "13.43750000" 10 "11.25000000" "OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  wifiEnabled=true OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length>5 AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"41" 40 0 4317073 "17141.00000000" "4573.00000000" ".00000000" "17900.87500000" "4683.50000000" ".00000000" 4 "4.71875000" 11 "13.43750000" 11 "12.25000000" "OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  wifiEnabled=true OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length>5 AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"42" 41 0 4411697 "17141.00000000" "4573.00000000" ".00000000" "17853.71875000" "4678.06250000" ".00000000" 4 "4.71875000" 11 "13.25000000" 12 "12.81250000" "OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  wifiEnabled=true OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length>5 AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"43" 42 0 4512686 "17141.00000000" "4573.00000000" ".00000000" "17812.12500000" "4673.75000000" ".00000000" 4 "4.68750000" 11 "13.12500000" 13 "12.34375000" "OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  wifiEnabled=true OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length>5 AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"44" 43 0 4593591 "17141.00000000" "4573.00000000" ".00000000" "17812.12500000" "4673.75000000" ".00000000" 4 "4.68750000" 11 "13.12500000" 14 "13.34375000" "OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  wifiEnabled=true OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length>5 AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"45" 44 0 4720655 "17141.00000000" "4573.00000000" ".00000000" "17783.71875000" "4673.62500000" ".00000000" 4 "4.68750000" 11 "13.06250000" 15 "13.12500000" "OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  wifiEnabled=true OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length>5 AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"46" 45 0 4853377 "17141.00000000" "4573.00000000" ".00000000" "17725.37500000" "4673.00000000" ".00000000" 4 "4.68750000" 11 "12.93750000" 16 "12.75000000" "OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  wifiEnabled=true OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length>5 AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"47" 46 0 4922637 "17141.00000000" "4573.00000000" ".00000000" "17660.43750000" "4671.87500000" ".00000000" 4 "4.65625000" 11 "12.81250000" 17 "12.18750000" "OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  wifiEnabled=true OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length>5 AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"48" 47 0 5004001 "17141.00000000" "4573.00000000" ".00000000" "17660.43750000" "4671.87500000" ".00000000" 4 "4.65625000" 11 "12.81250000" 18 "13.18750000" "OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  wifiEnabled=true OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length>5 AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"49" 48 0 5083892 "17138.00000000" "4584.00000000" ".00000000" "17624.03125000" "4666.78125000" ".00000000" 4 "4.62500000" 11 "12.68750000" 1 "14.00000000" "AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"50" 49 0 5176331 "17138.00000000" "4584.00000000" ".00000000" "17596.81250000" "4664.21875000" ".00000000" 4 "4.59375000" 11 "12.62500000" 2 "14.62500000" "AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"51" 50 0 5283047 "17138.00000000" "4584.00000000" ".00000000" "17580.93750000" "4664.46875000" ".00000000" 4 "4.62500000" 11 "12.56250000" 3 "15.12500000" "AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"52" 51 0 5387488 "17138.00000000" "4584.00000000" ".00000000" "17531.03125000" "4673.93750000" ".00000000" 4 "4.68750000" 11 "12.56250000" 4 "15.00000000" "AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"53" 52 0 5471769 "17138.00000000" "4584.00000000" ".00000000" "17531.03125000" "4673.93750000" ".00000000" 4 "4.68750000" 11 "12.56250000" 5 "16.00000000" "AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"54" 53 0 5545198 "17138.00000000" "4584.00000000" ".00000000" "17458.06250000" "4683.18750000" ".00000000" 4 "4.75000000" 11 "12.50000000" 6 "14.65625000" "AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"55" 54 0 5655376 "17138.00000000" "4584.00000000" ".00000000" "17423.28125000" "4687.53125000" ".00000000" 4 "4.81250000" 11 "12.43750000" 7 "13.31250000" "AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"56" 55 0 5745984 "17138.00000000" "4584.00000000" ".00000000" "17400.71875000" "4690.00000000" ".00000000" 4 "4.81250000" 11 "12.43750000" 8 "13.65625000" "AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"57" 56 0 5813506 "17138.00000000" "4584.00000000" ".00000000" "17400.71875000" "4690.00000000" ".00000000" 4 "4.81250000" 11 "12.43750000" 9 "14.65625000" "AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"58" 57 0 5909188 "17138.00000000" "4584.00000000" ".00000000" "17390.75000000" "4694.71875000" ".00000000" 4 "4.81250000" 11 "12.50000000" 10 "15.56250000" "AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"59" 58 0 6007692 "17138.00000000" "4584.00000000" ".00000000" "17390.75000000" "4694.71875000" ".00000000" 4 "4.81250000" 11 "12.50000000" 11 "16.56250000" "AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"60" 59 0 6087535 "17138.00000000" "4584.00000000" ".00000000" "17367.37500000" "4699.06250000" ".00000000" 4 "4.78125000" 11 "12.56250000" 12 "16.43750000" "AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"61" 60 0 6183856 "17138.00000000" "4584.00000000" ".00000000" "17367.37500000" "4699.06250000" ".00000000" 4 "4.78125000" 11 "12.56250000" 13 "17.43750000" "AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"62" 61 0 6280052 "17138.00000000" "4584.00000000" ".00000000" "17362.46875000" "4699.53125000" ".00000000" 4 "4.78125000" 11 "12.56250000" 14 "17.93750000" "AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"63" 62 0 6420816 "17138.00000000" "4584.00000000" ".00000000" "17356.46875000" "4699.59375000" ".00000000" 4 "4.78125000" 11 "12.56250000" 15 "17.87500000" "AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND NOT event_level=>SIMPLE_EVENT OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length<=7 OR NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"64" 63 0 6513819 "17123.00000000" "4585.00000000" ".00000000" "17327.37500000" "4686.28125000" ".00000000" 4 "4.68750000" 11 "12.37500000" 1 "18.40625000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"65" 64 0 6620015 "17123.00000000" "4585.00000000" ".00000000" "17319.00000000" "4682.09375000" ".00000000" 4 "4.65625000" 11 "12.31250000" 2 "18.62500000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"66" 65 0 6716862 "17123.00000000" "4585.00000000" ".00000000" "17319.00000000" "4682.09375000" ".00000000" 4 "4.65625000" 11 "12.31250000" 3 "19.62500000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"67" 66 0 6852674 "17123.00000000" "4585.00000000" ".00000000" "17310.93750000" "4677.50000000" ".00000000" 4 "4.62500000" 11 "12.25000000" 4 "19.93750000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"68" 67 0 6936320 "17123.00000000" "4585.00000000" ".00000000" "17304.00000000" "4672.75000000" ".00000000" 4 "4.59375000" 11 "12.18750000" 5 "20.50000000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"69" 68 0 7036147 "17123.00000000" "4585.00000000" ".00000000" "17275.53125000" "4652.87500000" ".00000000" 4 "4.46875000" 11 "11.93750000" 6 "18.43750000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"70" 69 0 7121051 "17123.00000000" "4585.00000000" ".00000000" "17263.25000000" "4643.37500000" ".00000000" 4 "4.40625000" 11 "11.81250000" 7 "17.37500000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"71" 70 0 7220591 "17123.00000000" "4585.00000000" ".00000000" "17263.25000000" "4643.37500000" ".00000000" 4 "4.40625000" 11 "11.81250000" 8 "18.37500000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"72" 71 0 7323035 "17123.00000000" "4585.00000000" ".00000000" "17263.25000000" "4643.37500000" ".00000000" 4 "4.40625000" 11 "11.81250000" 9 "19.37500000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"73" 72 0 7392007 "17123.00000000" "4585.00000000" ".00000000" "17254.21875000" "4638.65625000" ".00000000" 4 "4.37500000" 11 "11.75000000" 10 "19.15625000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"74" 73 0 7494888 "17123.00000000" "4585.00000000" ".00000000" "17247.96875000" "4633.81250000" ".00000000" 4 "4.34375000" 11 "11.68750000" 11 "18.84375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"75" 74 0 7596114 "17123.00000000" "4585.00000000" ".00000000" "17241.46875000" "4629.06250000" ".00000000" 4 "4.31250000" 11 "11.62500000" 12 "18.18750000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"76" 75 0 7677872 "17123.00000000" "4585.00000000" ".00000000" "17241.46875000" "4629.06250000" ".00000000" 4 "4.31250000" 11 "11.62500000" 13 "19.18750000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"77" 76 0 7755897 "17123.00000000" "4585.00000000" ".00000000" "17229.28125000" "4619.37500000" ".00000000" 4 "4.25000000" 11 "11.50000000" 14 "19.50000000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"78" 77 0 7833705 "17123.00000000" "4585.00000000" ".00000000" "17223.62500000" "4614.53125000" ".00000000" 4 "4.21875000" 11 "11.43750000" 15 "20.03125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"79" 78 0 7908198 "17123.00000000" "4585.00000000" ".00000000" "17217.81250000" "4609.68750000" ".00000000" 4 "4.18750000" 11 "11.37500000" 16 "20.50000000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"80" 79 0 8015396 "17123.00000000" "4585.00000000" ".00000000" "17217.81250000" "4609.68750000" ".00000000" 4 "4.18750000" 11 "11.37500000" 17 "21.50000000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"81" 80 0 8096872 "17123.00000000" "4585.00000000" ".00000000" "17217.81250000" "4609.68750000" ".00000000" 4 "4.18750000" 11 "11.37500000" 18 "22.50000000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"82" 81 0 8180911 "17123.00000000" "4585.00000000" ".00000000" "17217.81250000" "4609.68750000" ".00000000" 4 "4.18750000" 11 "11.37500000" 19 "23.50000000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"83" 82 0 8263374 "17123.00000000" "4585.00000000" ".00000000" "17211.25000000" "4599.53125000" ".00000000" 4 "4.12500000" 11 "11.25000000" 20 "22.75000000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
