"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"36" 35 0 3270524 "17255.00000000" "4633.00000000" ".00000000" "17635.50000000" "4729.56250000" ".00000000" 4 "4.65625000" 11 "12.62500000" 19 "12.09375000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"37" 36 0 3356559 "17255.00000000" "4633.00000000" ".00000000" "17582.09375000" "4734.40625000" ".00000000" 4 "4.75000000" 11 "12.50000000" 20 "11.03125000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"38" 37 0 3434488 "17255.00000000" "4633.00000000" ".00000000" "17518.06250000" "4736.81250000" ".00000000" 4 "4.78125000" 11 "12.37500000" 21 "10.18750000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"39" 38 0 3508247 "17255.00000000" "4633.00000000" ".00000000" "17461.96875000" "4731.31250000" ".00000000" 4 "4.65625000" 11 "12.31250000" 22 "10.34375000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"40" 39 0 3592249 "17255.00000000" "4633.00000000" ".00000000" "17440.71875000" "4728.37500000" ".00000000" 4 "4.62500000" 11 "12.25000000" 23 "10.71875000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"41" 40 0 3655241 "17255.00000000" "4633.00000000" ".00000000" "17432.00000000" "4729.25000000" ".00000000" 4 "4.62500000" 11 "12.25000000" 24 "11.56250000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"42" 41 0 3721031 "17255.00000000" "4633.00000000" ".00000000" "17423.96875000" "4724.43750000" ".00000000" 4 "4.59375000" 11 "12.18750000" 25 "12.40625000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"43" 42 0 3787647 "17255.00000000" "4633.00000000" ".00000000" "17416.00000000" "4719.59375000" ".00000000" 4 "4.56250000" 11 "12.12500000" 26 "13.34375000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"44" 43 0 3878722 "17255.00000000" "4633.00000000" ".00000000" "17415.59375000" "4719.65625000" ".00000000" 4 "4.56250000" 11 "12.12500000" 27 "13.75000000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"45" 44 0 3941768 "17255.00000000" "4633.00000000" ".00000000" "17400.28125000" "4710.53125000" ".00000000" 4 "4.50000000" 11 "12.00000000" 28 "13.15625000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"46" 45 0 4020424 "17255.00000000" "4633.00000000" ".00000000" "17385.15625000" "4700.84375000" ".00000000" 4 "4.43750000" 11 "11.87500000" 29 "12.87500000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"47" 46 0 4127932 "17255.00000000" "4633.00000000" ".00000000" "17385.15625000" "4700.84375000" ".00000000" 4 "4.43750000" 11 "11.87500000" 30 "13.87500000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"48" 47 0 4192715 "17255.00000000" "4633.00000000" ".00000000" "17352.75000000" "4675.78125000" ".00000000" 4 "4.28125000" 11 "11.56250000" 31 "12.90625000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"49" 48 0 4251718 "17255.00000000" "4633.00000000" ".00000000" "17351.25000000" "4669.75000000" ".00000000" 4 "4.25000000" 11 "11.50000000" 32 "13.43750000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"50" 49 0 4313702 "17255.00000000" "4633.00000000" ".00000000" "17333.25000000" "4655.59375000" ".00000000" 4 "4.15625000" 11 "11.31250000" 33 "12.46875000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"51" 50 0 4375849 "17255.00000000" "4633.00000000" ".00000000" "17333.25000000" "4655.59375000" ".00000000" 4 "4.15625000" 11 "11.31250000" 34 "13.46875000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"52" 51 0 4443167 "17251.00000000" "4628.00000000" ".00000000" "17311.90625000" "4640.62500000" ".00000000" 4 "4.06250000" 11 "11.12500000" 1 "11.53125000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"53" 52 0 4534053 "17251.00000000" "4628.00000000" ".00000000" "17299.12500000" "4631.90625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 2 "10.81250000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"54" 53 0 4603852 "17251.00000000" "4628.00000000" ".00000000" "17295.93750000" "4631.75000000" ".00000000" 4 "4.00000000" 11 "11.00000000" 3 "11.78125000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"55" 54 0 4671527 "17251.00000000" "4628.00000000" ".00000000" "17295.93750000" "4631.75000000" ".00000000" 4 "4.00000000" 11 "11.00000000" 4 "12.78125000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"56" 55 0 4744070 "17251.00000000" "4628.00000000" ".00000000" "17295.93750000" "4631.75000000" ".00000000" 4 "4.00000000" 11 "11.00000000" 5 "13.78125000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"57" 56 0 4816118 "17251.00000000" "4628.00000000" ".00000000" "17295.93750000" "4631.75000000" ".00000000" 4 "4.00000000" 11 "11.00000000" 6 "14.78125000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"58" 57 0 4892506 "17251.00000000" "4628.00000000" ".00000000" "17295.37500000" "4631.62500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 7 "15.62500000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"59" 58 0 4956770 "17251.00000000" "4628.00000000" ".00000000" "17291.62500000" "4631.18750000" ".00000000" 4 "4.00000000" 11 "11.00000000" 8 "15.43750000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"60" 59 0 5019398 "17251.00000000" "4628.00000000" ".00000000" "17289.46875000" "4631.43750000" ".00000000" 4 "4.00000000" 11 "11.00000000" 9 "16.06250000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"61" 60 0 5095099 "17251.00000000" "4628.00000000" ".00000000" "17288.75000000" "4631.53125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 10 "17.00000000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"62" 61 0 5185234 "17251.00000000" "4628.00000000" ".00000000" "17288.75000000" "4631.53125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 11 "18.00000000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"63" 62 0 5260353 "17251.00000000" "4628.00000000" ".00000000" "17288.75000000" "4631.53125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 12 "19.00000000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"64" 63 0 5346107 "17251.00000000" "4628.00000000" ".00000000" "17287.50000000" "4631.43750000" ".00000000" 4 "4.00000000" 11 "11.00000000" 13 "19.09375000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"65" 64 0 5427698 "17251.00000000" "4628.00000000" ".00000000" "17287.50000000" "4631.43750000" ".00000000" 4 "4.00000000" 11 "11.00000000" 14 "20.09375000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"66" 65 0 5514681 "17251.00000000" "4628.00000000" ".00000000" "17286.62500000" "4630.34375000" ".00000000" 4 "4.00000000" 11 "11.00000000" 15 "19.93750000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"67" 66 0 5608144 "17251.00000000" "4628.00000000" ".00000000" "17286.62500000" "4630.34375000" ".00000000" 4 "4.00000000" 11 "11.00000000" 16 "20.93750000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"68" 67 0 5680827 "17251.00000000" "4628.00000000" ".00000000" "17286.12500000" "4630.25000000" ".00000000" 4 "4.00000000" 11 "11.00000000" 17 "21.31250000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"69" 68 0 5761177 "17251.00000000" "4628.00000000" ".00000000" "17286.12500000" "4630.25000000" ".00000000" 4 "4.00000000" 11 "11.00000000" 18 "22.31250000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"70" 69 0 5833845 "17251.00000000" "4628.00000000" ".00000000" "17285.62500000" "4630.15625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 19 "22.37500000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"71" 70 0 5915479 "17251.00000000" "4628.00000000" ".00000000" "17285.37500000" "4630.43750000" ".00000000" 4 "4.00000000" 11 "11.00000000" 20 "23.21875000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"72" 71 0 5986038 "17251.00000000" "4628.00000000" ".00000000" "17285.37500000" "4630.43750000" ".00000000" 4 "4.00000000" 11 "11.00000000" 21 "24.21875000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"73" 72 0 6054131 "17251.00000000" "4628.00000000" ".00000000" "17284.90625000" "4630.65625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 22 "24.43750000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"74" 73 0 6155116 "17251.00000000" "4628.00000000" ".00000000" "17284.84375000" "4630.65625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 23 "24.34375000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"75" 74 0 6221692 "17251.00000000" "4628.00000000" ".00000000" "17284.84375000" "4630.65625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 24 "25.34375000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"76" 75 0 6309037 "17251.00000000" "4628.00000000" ".00000000" "17283.96875000" "4630.65625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 25 "26.12500000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"77" 76 0 6370242 "17249.00000000" "4627.00000000" ".00000000" "17282.71875000" "4630.53125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 1 "27.09375000" "AND NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT password_length<6 THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>USER AND NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|AND NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|" "fold6"
