"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"12" 11 0 1217782 "17531.00000000" "4786.00000000" ".00000000" "19408.06250000" "4574.40625000" ".00000000" 5 "4.40625000" 13 "13.81250000" 6 "4.81250000" "OR  device_screen_timeout<514 AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND NOT wifiConnected=true OR  device_screen_timeout<514 AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>COMPANY OR NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|OR NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|" "fold6"
"13" 12 0 1299704 "17531.00000000" "4786.00000000" ".00000000" "19295.21875000" "4590.50000000" ".00000000" 5 "4.40625000" 13 "13.87500000" 7 "5.59375000" "OR  device_screen_timeout<514 AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND NOT wifiConnected=true OR  device_screen_timeout<514 AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>COMPANY OR NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|OR NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|" "fold6"
"14" 13 0 1371578 "17531.00000000" "4786.00000000" ".00000000" "19103.25000000" "4623.00000000" ".00000000" 5 "4.43750000" 13 "13.93750000" 8 "5.65625000" "OR  device_screen_timeout<514 AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND NOT wifiConnected=true OR  device_screen_timeout<514 AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>COMPANY OR NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|OR NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|" "fold6"
"15" 14 0 1442178 "17531.00000000" "4786.00000000" ".00000000" "19103.25000000" "4623.00000000" ".00000000" 5 "4.43750000" 13 "13.93750000" 9 "6.65625000" "OR  device_screen_timeout<514 AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND NOT wifiConnected=true OR  device_screen_timeout<514 AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>COMPANY OR NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|OR NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|" "fold6"
"16" 15 0 1531400 "17504.00000000" "4789.00000000" ".00000000" "18945.68750000" "4621.90625000" ".00000000" 5 "4.40625000" 13 "13.68750000" 1 "7.31250000" "OR NOT device_screen_timeout<514 OR  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>USER OR NOT device_screen_timeout<514 OR  device_has_password=true AND NOT password_length<6 THEN=GRANTED|OR  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>COMPANY OR  device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|OR  device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|" "fold6"
"17" 16 0 1601287 "17504.00000000" "4789.00000000" ".00000000" "18784.21875000" "4644.75000000" ".00000000" 5 "4.43750000" 13 "13.75000000" 2 "7.00000000" "OR NOT device_screen_timeout<514 OR  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>USER OR NOT device_screen_timeout<514 OR  device_has_password=true AND NOT password_length<6 THEN=GRANTED|OR  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>COMPANY OR  device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|OR  device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|" "fold6"
"18" 17 0 1691104 "17255.00000000" "4633.00000000" ".00000000" "18600.31250000" "4649.90625000" ".00000000" 4 "4.40625000" 11 "13.50000000" 1 "7.25000000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"19" 18 0 1793463 "17255.00000000" "4633.00000000" ".00000000" "18550.09375000" "4654.31250000" ".00000000" 4 "4.43750000" 11 "13.43750000" 2 "8.03125000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"20" 19 0 1887143 "17255.00000000" "4633.00000000" ".00000000" "18486.28125000" "4654.40625000" ".00000000" 4 "4.43750000" 11 "13.31250000" 3 "8.50000000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"21" 20 0 1987992 "17255.00000000" "4633.00000000" ".00000000" "18430.62500000" "4671.06250000" ".00000000" 4 "4.46875000" 11 "13.43750000" 4 "9.06250000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"22" 21 0 2082373 "17255.00000000" "4633.00000000" ".00000000" "18343.65625000" "4675.78125000" ".00000000" 4 "4.50000000" 11 "13.31250000" 5 "9.34375000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"23" 22 0 2169147 "17255.00000000" "4633.00000000" ".00000000" "18244.87500000" "4674.62500000" ".00000000" 4 "4.46875000" 11 "13.12500000" 6 "9.68750000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"24" 23 0 2267044 "17255.00000000" "4633.00000000" ".00000000" "18157.87500000" "4712.34375000" ".00000000" 4 "4.53125000" 11 "13.50000000" 7 "9.65625000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"25" 24 0 2317753 "17255.00000000" "4633.00000000" ".00000000" "18072.62500000" "4709.53125000" ".00000000" 4 "4.50000000" 11 "13.31250000" 8 "8.84375000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
