"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 217070 "22777.00000000" "4201.00000000" ".00000000" "45059.46875000" "2250.81250000" ".00000000" 4 "4.06250000" 15 "14.87500000" 1 "1.00000000" "AND  event_type=>ACTION_REMOTE_FILE_ACCESS OR NOT device_has_antivirus=true OR NOT device_has_accessibility=true THEN=GRANTED|OR NOT wifiEncryption=>WPA-PSK-CCMPWPA2-PSK-CCMPESS OR NOT device_has_antivirus=true OR NOT device_has_accessibility=true THEN=GRANTED|OR NOT device_has_accessibility=true AND  device_is_rooted=false OR NOT device_has_accessibility=true THEN=GRANTED|OR NOT device_is_rooted=false AND  device_is_rooted=false OR NOT device_has_accessibility=true THEN=GRANTED|" "fold8"
"2" 1 0 307516 "22777.00000000" "4201.00000000" ".00000000" "38699.84375000" "2852.93750000" ".00000000" 4 "4.09375000" 15 "14.87500000" 2 "1.68750000" "AND  event_type=>ACTION_REMOTE_FILE_ACCESS OR NOT device_has_antivirus=true OR NOT device_has_accessibility=true THEN=GRANTED|OR NOT wifiEncryption=>WPA-PSK-CCMPWPA2-PSK-CCMPESS OR NOT device_has_antivirus=true OR NOT device_has_accessibility=true THEN=GRANTED|OR NOT device_has_accessibility=true AND  device_is_rooted=false OR NOT device_has_accessibility=true THEN=GRANTED|OR NOT device_is_rooted=false AND  device_is_rooted=false OR NOT device_has_accessibility=true THEN=GRANTED|" "fold8"
"3" 2 0 413275 "19391.00000000" "4599.00000000" ".00000000" "33313.96875000" "3200.53125000" ".00000000" 4 "4.15625000" 15 "15.18750000" 1 "2.15625000" "OR  device_has_accessibility=true AND  user_role=>Administration OR NOT bluetoothConnected=true THEN=GRANTED|AND NOT asset_confidential_level=>CONFIDENTIAL AND  user_role=>Administration OR NOT bluetoothConnected=true THEN=GRANTED|OR  wifiConnected=false AND NOT user_role=>Consultancy OR NOT bluetoothConnected=true THEN=GRANTED|AND  device_has_password=false AND NOT user_role=>Consultancy OR NOT bluetoothConnected=true THEN=GRANTED|" "fold8"
"4" 3 0 521234 "19251.00000000" "4612.00000000" ".00000000" "30867.71875000" "3352.31250000" ".00000000" 4 "4.09375000" 15 "14.93750000" 1 "2.65625000" "AND NOT password_length>=6 AND NOT device_screen_timeout<=321 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT wifiEncryption=>ESS AND NOT device_screen_timeout<=321 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  wifiConnected=false OR NOT user_role=>International AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT user_role=>International AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold8"
"5" 4 0 603663 "19251.00000000" "4612.00000000" ".00000000" "27336.18750000" "3790.87500000" ".00000000" 4 "4.25000000" 15 "15.43750000" 2 "2.84375000" "AND NOT password_length>=6 AND NOT device_screen_timeout<=321 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT wifiEncryption=>ESS AND NOT device_screen_timeout<=321 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  wifiConnected=false OR NOT user_role=>International AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT user_role=>International AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold8"
"6" 5 0 671917 "19251.00000000" "4612.00000000" ".00000000" "24138.50000000" "4143.68750000" ".00000000" 4 "4.34375000" 15 "15.37500000" 3 "2.75000000" "AND NOT password_length>=6 AND NOT device_screen_timeout<=321 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT wifiEncryption=>ESS AND NOT device_screen_timeout<=321 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  wifiConnected=false OR NOT user_role=>International AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT user_role=>International AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold8"
"7" 6 0 786468 "18509.00000000" "4769.00000000" ".00000000" "23098.06250000" "4239.18750000" ".00000000" 5 "4.40625000" 15 "15.31250000" 1 "3.25000000" "AND NOT mail_has_attachment=false OR  asset_confidential_level=>CONFIDENTIAL AND NOT password_length<5 THEN=GRANTED|OR  asset_confidential_level=>CONFIDENTIAL AND NOT password_length<5 THEN=GRANTED|OR  device_has_password=true AND NOT device_OS=>Windows8.1 AND NOT password_length<5 THEN=GRANTED|AND NOT device_has_password=false OR  device_has_password=true AND NOT device_OS=>Windows8.1 AND NOT password_length<5 THEN=GRANTED|AND NOT device_OS=>Windows7 Professional AND NOT device_OS=>Windows8.1 AND NOT password_length<5 THEN=GRANTED|" "fold8"
"8" 7 0 876271 "18509.00000000" "4769.00000000" ".00000000" "22647.50000000" "4290.46875000" ".00000000" 5 "4.37500000" 15 "15.25000000" 2 "4.12500000" "AND NOT mail_has_attachment=false OR  asset_confidential_level=>CONFIDENTIAL AND NOT password_length<5 THEN=GRANTED|OR  asset_confidential_level=>CONFIDENTIAL AND NOT password_length<5 THEN=GRANTED|OR  device_has_password=true AND NOT device_OS=>Windows8.1 AND NOT password_length<5 THEN=GRANTED|AND NOT device_has_password=false OR  device_has_password=true AND NOT device_OS=>Windows8.1 AND NOT password_length<5 THEN=GRANTED|AND NOT device_OS=>Windows7 Professional AND NOT device_OS=>Windows8.1 AND NOT password_length<5 THEN=GRANTED|" "fold8"
"9" 8 0 962723 "18509.00000000" "4769.00000000" ".00000000" "21659.81250000" "4412.81250000" ".00000000" 5 "4.46875000" 15 "15.31250000" 3 "4.09375000" "AND NOT mail_has_attachment=false OR  asset_confidential_level=>CONFIDENTIAL AND NOT password_length<5 THEN=GRANTED|OR  asset_confidential_level=>CONFIDENTIAL AND NOT password_length<5 THEN=GRANTED|OR  device_has_password=true AND NOT device_OS=>Windows8.1 AND NOT password_length<5 THEN=GRANTED|AND NOT device_has_password=false OR  device_has_password=true AND NOT device_OS=>Windows8.1 AND NOT password_length<5 THEN=GRANTED|AND NOT device_OS=>Windows7 Professional AND NOT device_OS=>Windows8.1 AND NOT password_length<5 THEN=GRANTED|" "fold8"
"10" 9 0 1065017 "18509.00000000" "4769.00000000" ".00000000" "21240.71875000" "4449.78125000" ".00000000" 5 "4.46875000" 15 "15.18750000" 4 "4.40625000" "AND NOT mail_has_attachment=false OR  asset_confidential_level=>CONFIDENTIAL AND NOT password_length<5 THEN=GRANTED|OR  asset_confidential_level=>CONFIDENTIAL AND NOT password_length<5 THEN=GRANTED|OR  device_has_password=true AND NOT device_OS=>Windows8.1 AND NOT password_length<5 THEN=GRANTED|AND NOT device_has_password=false OR  device_has_password=true AND NOT device_OS=>Windows8.1 AND NOT password_length<5 THEN=GRANTED|AND NOT device_OS=>Windows7 Professional AND NOT device_OS=>Windows8.1 AND NOT password_length<5 THEN=GRANTED|" "fold8"
