"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"52" 51 0 4698967 24575 4579 0 25031.46875 4423.03125 0 4 4 11 10.0625 40 16.09375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"53" 52 0 4775000 24575 4579 0 24991.78125 4420.8125 0 4 4 11 10 41 15.90625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"54" 53 0 4878269 24575 4579 0 24991.78125 4420.8125 0 4 4 11 10 42 16.90625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"55" 54 0 4956723 24575 4579 0 24964.75 4423.75 0 4 4 11 10 43 17.53125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"56" 55 0 5047066 24575 4579 0 24957.375 4415.96875 0 4 4 11 9.9375 44 18.03125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"57" 56 0 5141855 24575 4579 0 24957.375 4415.96875 0 4 4 11 9.9375 45 19.03125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"58" 57 0 5226510 24575 4579 0 24957.375 4415.96875 0 4 4 11 9.9375 46 20.03125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"59" 58 0 5322614 24575 4579 0 24937.09375 4410.0625 0 4 4 11 9.875 47 19.03125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"60" 59 0 5387588 24575 4579 0 24937.09375 4410.0625 0 4 4 11 9.875 48 20.03125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"61" 60 0 5459588 24575 4579 0 24919.84375 4419.6875 0 4 4 11 9.9375 49 20.78125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"62" 61 0 5540110 24575 4579 0 24885.34375 4438.625 0 4 4 11 10.0625 50 20.875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"63" 62 0 5617267 24575 4579 0 24868.09375 4448.09375 0 4 4 11 10.125 51 21.3125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"64" 63 0 5711856 24575 4579 0 24848.59375 4457.03125 0 4 4 11 10.1875 52 20.9375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"65" 64 0 5797317 24575 4579 0 24848.59375 4457.03125 0 4 4 11 10.1875 53 21.9375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"66" 65 0 5881566 24575 4579 0 24848.59375 4457.03125 0 4 4 11 10.1875 54 22.9375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"67" 66 0 5957881 24575 4579 0 24831.34375 4466.5 0 4 4 11 10.25 55 23.125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"68" 67 0 6035598 24575 4579 0 24796.84375 4485.4375 0 4 4 11 10.375 56 21.6875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"69" 68 0 6117153 24575 4579 0 24796.84375 4485.4375 0 4 4 11 10.375 57 22.6875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"70" 69 0 6191711 24575 4579 0 24796.84375 4485.4375 0 4 4 11 10.375 58 23.6875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"71" 70 0 6276838 24575 4579 0 24779.59375 4494.90625 0 4 4 11 10.4375 59 23.375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"72" 71 0 6355892 24575 4579 0 24779.59375 4494.90625 0 4 4 11 10.4375 60 24.375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"73" 72 0 6440260 24575 4579 0 24777.71875 4494.5625 0 4 4 11 10.4375 61 23.9375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"74" 73 0 6520225 24575 4579 0 24745.09375 4513.84375 0 4 4 11 10.5625 62 23.40625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"75" 74 0 6602074 24575 4579 0 24745.09375 4513.84375 0 4 4 11 10.5625 63 24.40625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"76" 75 0 6675038 24575 4579 0 24745.09375 4513.84375 0 4 4 11 10.5625 64 25.40625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"77" 76 0 6748072 24575 4579 0 24729.71875 4523.65625 0 4 4 11 10.625 65 26 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"78" 77 0 6837920 24575 4579 0 24714.40625 4533.4375 0 4 4 11 10.6875 66 26.40625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"79" 78 0 6915255 24575 4579 0 24714.40625 4533.4375 0 4 4 11 10.6875 67 27.40625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"80" 79 0 6985061 24575 4579 0 24699.09375 4543.21875 0 4 4 11 10.75 68 27.65625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"81" 80 0 7091709 24575 4579 0 24699.09375 4543.21875 0 4 4 11 10.75 69 28.65625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"82" 81 0 7181559 24575 4579 0 24666.90625 4562.625 0 4 4 11 10.875 70 27.90625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"83" 82 0 7283865 24575 4579 0 24666.90625 4562.625 0 4 4 11 10.875 71 28.90625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"84" 83 0 7384775 24575 4579 0 24651.53125 4572.4375 0 4 4 11 10.9375 72 28.6875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"85" 84 0 7471585 24575 4579 0 24651.53125 4572.4375 0 4 4 11 10.9375 73 29.6875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"86" 85 0 7556135 24575 4579 0 24651.53125 4572.4375 0 4 4 11 10.9375 74 30.6875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"87" 86 0 7622745 24575 4579 0 24623.125 4583.5625 0 4 4 11 11 75 28.65625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"88" 87 0 7699757 24575 4579 0 24623.125 4583.5625 0 4 4 11 11 76 29.65625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"89" 88 0 7798828 24575 4579 0 24623.125 4583.5625 0 4 4 11 11 77 30.65625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"90" 89 0 7889239 24575 4579 0 24623.125 4583.5625 0 4 4 11 11 78 31.65625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"91" 90 0 7977774 24575 4579 0 24623.125 4583.5625 0 4 4 11 11 79 32.65625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"92" 91 0 8070899 24575 4579 0 24623.125 4583.5625 0 4 4 11 11 80 33.65625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"93" 92 0 8150138 24575 4579 0 24623.125 4583.5625 0 4 4 11 11 81 34.65625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"94" 93 0 8247745 24575 4579 0 24623.125 4583.5625 0 4 4 11 11 82 35.65625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"95" 94 0 8358362 24575 4579 0 24621.21875 4583.78125 0 4 4 11 11 83 36.40625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"96" 95 0 8452807 24575 4579 0 24621.21875 4583.78125 0 4 4 11 11 84 37.40625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"97" 96 0 8529698 24575 4579 0 24619.875 4584.0625 0 4 4 11 11 85 36.6875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"98" 97 0 8604174 24575 4579 0 24619.1875 4583.84375 0 4 4 11 11 86 37.59375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"99" 98 0 8699071 24575 4579 0 24619.1875 4583.84375 0 4 4 11 11 87 38.59375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"100" 99 0 8791047 24575 4579 0 24619.1875 4583.84375 0 4 4 11 11 88 39.59375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"101" 100 0 8869706 24575 4579 0 24619.125 4583.875 0 4 4 11 11 89 40 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"102" 101 0 8943129 24575 4579 0 24619.125 4583.875 0 4 4 11 11 90 41 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"103" 102 0 9025203 24575 4579 0 24619.0625 4583.90625 0 4 4 11 11 91 41.28125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"104" 103 0 9106510 24575 4579 0 24619.0625 4583.90625 0 4 4 11 11 92 42.28125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"105" 104 0 9206122 24575 4579 0 24619.0625 4583.90625 0 4 4 11 11 93 43.28125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"106" 105 0 9316541 24575 4579 0 24619.0625 4583.90625 0 4 4 11 11 94 44.28125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"107" 106 0 9391138 24575 4579 0 24619.0625 4583.90625 0 4 4 11 11 95 45.28125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"108" 107 0 9472097 24575 4579 0 24617.5 4583.75 0 4 4 11 11 96 45.34375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"109" 108 0 9549571 24575 4579 0 24617.5 4583.75 0 4 4 11 11 97 46.34375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
