"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"12" 11 0 1202488 25184 4522 0 29276.9375 4453.3125 0 4 4.28125 11 14.25 6 5.125 "OR  wifiEncryption=>WPA2-PSK-CCMP-preauthESS OR NOT device_has_antivirus=true AND NOT wifiEnabled=true THEN=GRANTED|OR NOT device_has_antivirus=true AND NOT wifiEnabled=true THEN=GRANTED|OR NOT device_owned_by=>USER AND NOT wifiEnabled=true THEN=GRANTED|AND NOT password_length>7 OR NOT device_owned_by=>USER AND NOT wifiEnabled=true THEN=GRANTED|" "fold4"
"13" 12 0 1320045 24575 4579 0 28656.5 4456.8125 0 4 4.25 11 13.6875 1 5.09375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"14" 13 0 1423654 24575 4579 0 28548.4375 4469.65625 0 4 4.25 11 13.6875 2 5.96875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"15" 14 0 1531978 24575 4579 0 28452.625 4465.53125 0 4 4.1875 11 13.625 3 6.65625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"16" 15 0 1652883 24575 4579 0 28393.53125 4421.8125 0 4 4.15625 11 13.25 4 7.34375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"17" 16 0 1732619 24575 4579 0 28247.875 4442.78125 0 4 4.1875 11 13.25 5 7.75 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"18" 17 0 1815170 24575 4579 0 28142.5625 4447.6875 0 4 4.1875 11 13.1875 6 8 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"19" 18 0 1911203 24575 4579 0 27905.875 4453.75 0 4 4.125 11 13.0625 7 8.5625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"20" 19 0 1999390 24575 4579 0 27843.15625 4434.21875 0 4 4.09375 11 12.875 8 9.0625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"21" 20 0 2103694 24575 4579 0 27701.9375 4427.09375 0 4 4.09375 11 12.6875 9 9.8125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"22" 21 0 2229467 24575 4579 0 27514.125 4411.5 0 4 4.09375 11 12.375 10 9.5 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"23" 22 0 2290445 24575 4579 0 27431 4417.21875 0 4 4.125 11 12.3125 11 9.6875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"24" 23 0 2428072 24575 4579 0 27428.34375 4414.125 0 4 4.15625 11 12.25 12 10.28125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"25" 24 0 2517681 24575 4579 0 27221.875 4434.5 0 4 4.125 11 12.25 13 10.875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"26" 25 0 2603667 24575 4579 0 27026.875 4452.25 0 4 4.125 11 12.1875 14 11.5625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"27" 26 0 2691662 24575 4579 0 26817.1875 4451.84375 0 4 4.09375 11 12 15 12.09375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"28" 27 0 2772018 24575 4579 0 26702.5 4439 0 4 4.125 11 11.75 16 11.625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
