"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 221616 28915 4625 0 50343.3125 2963.1875 0 4 4.125 15 15.0625 1 1 "OR NOT wifiEnabled=false OR  bluetoothConnected=false AND NOT device_screen_timeout<1703 THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_CONNECTIVITY OR  bluetoothConnected=false AND NOT device_screen_timeout<1703 THEN=GRANTED|OR  mail_has_attachment=true AND  bluetoothConnected=false AND NOT device_screen_timeout<1703 THEN=GRANTED|OR  event_type=>SECURITY_PROPERTY_CHANGED AND  bluetoothConnected=false AND NOT device_screen_timeout<1703 THEN=GRANTED|" "fold5"
"2" 1 0 333019 28915 4625 0 42220.59375 3387.6875 0 4 4.15625 15 14.8125 2 1.65625 "OR NOT wifiEnabled=false OR  bluetoothConnected=false AND NOT device_screen_timeout<1703 THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_CONNECTIVITY OR  bluetoothConnected=false AND NOT device_screen_timeout<1703 THEN=GRANTED|OR  mail_has_attachment=true AND  bluetoothConnected=false AND NOT device_screen_timeout<1703 THEN=GRANTED|OR  event_type=>SECURITY_PROPERTY_CHANGED AND  bluetoothConnected=false AND NOT device_screen_timeout<1703 THEN=GRANTED|" "fold5"
"3" 2 0 422577 28915 4625 0 39196.03125 3619.25 0 4 4.125 15 14.6875 3 2.25 "OR NOT wifiEnabled=false OR  bluetoothConnected=false AND NOT device_screen_timeout<1703 THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_CONNECTIVITY OR  bluetoothConnected=false AND NOT device_screen_timeout<1703 THEN=GRANTED|OR  mail_has_attachment=true AND  bluetoothConnected=false AND NOT device_screen_timeout<1703 THEN=GRANTED|OR  event_type=>SECURITY_PROPERTY_CHANGED AND  bluetoothConnected=false AND NOT device_screen_timeout<1703 THEN=GRANTED|" "fold5"
"4" 3 0 473703 27372 4332 0 35848.125 3834.90625 0 4 4.15625 11 14.125 1 2.59375 "AND NOT device_owned_by=>COMPANY OR  device_screen_timeout<1703 THEN=GRANTED|AND NOT mail_has_attachment=true OR  bluetoothConnected=false OR  device_screen_timeout<1703 THEN=GRANTED|AND  event_type=>SECURITY_PROPERTY_CHANGED OR  bluetoothConnected=false OR  device_screen_timeout<1703 THEN=GRANTED|" "fold5"
"5" 4 0 542671 27275 4332 0 34054.375 3962.90625 0 4 4.21875 11 13.75 1 2.96875 "OR NOT device_owned_by=>COMPANY AND NOT device_screen_timeout<1703 THEN=GRANTED|AND NOT mail_has_attachment=true OR  bluetoothConnected=false AND NOT device_screen_timeout<1703 THEN=GRANTED|OR  event_type=>SECURITY_PROPERTY_CHANGED OR  bluetoothConnected=false AND NOT device_screen_timeout<1703 THEN=GRANTED|" "fold5"
"6" 5 0 638962 27275 4332 0 32189.75 4108.625 0 4 4.15625 11 13.3125 2 3.3125 "OR NOT device_owned_by=>COMPANY AND NOT device_screen_timeout<1703 THEN=GRANTED|AND NOT mail_has_attachment=true OR  bluetoothConnected=false AND NOT device_screen_timeout<1703 THEN=GRANTED|OR  event_type=>SECURITY_PROPERTY_CHANGED OR  bluetoothConnected=false AND NOT device_screen_timeout<1703 THEN=GRANTED|" "fold5"
"7" 6 0 688880 26749 4636 0 30709.15625 4158.09375 0 4 4.125 13 12.75 1 3.53125 "AND NOT wifiEnabled=false OR  bluetoothConnected=false OR  device_screen_timeout<1703 THEN=GRANTED|AND  event_type=>CONTEXT_SENSOR_CONNECTIVITY OR  bluetoothConnected=false OR  device_screen_timeout<1703 THEN=GRANTED|AND NOT mail_has_attachment=true AND  bluetoothConnected=false OR  device_screen_timeout<1703 THEN=GRANTED|AND  bluetoothConnected=false OR  device_screen_timeout<1703 THEN=GRANTED|" "fold5"
"8" 7 0 760376 26749 4636 0 29870.84375 4210.90625 0 4 4.125 13 12.4375 2 3.5625 "AND NOT wifiEnabled=false OR  bluetoothConnected=false OR  device_screen_timeout<1703 THEN=GRANTED|AND  event_type=>CONTEXT_SENSOR_CONNECTIVITY OR  bluetoothConnected=false OR  device_screen_timeout<1703 THEN=GRANTED|AND NOT mail_has_attachment=true AND  bluetoothConnected=false OR  device_screen_timeout<1703 THEN=GRANTED|AND  bluetoothConnected=false OR  device_screen_timeout<1703 THEN=GRANTED|" "fold5"
"9" 8 0 813855 26749 4636 0 29326.78125 4254.96875 0 4 4.09375 13 12.3125 3 4.03125 "AND NOT wifiEnabled=false OR  bluetoothConnected=false OR  device_screen_timeout<1703 THEN=GRANTED|AND  event_type=>CONTEXT_SENSOR_CONNECTIVITY OR  bluetoothConnected=false OR  device_screen_timeout<1703 THEN=GRANTED|AND NOT mail_has_attachment=true AND  bluetoothConnected=false OR  device_screen_timeout<1703 THEN=GRANTED|AND  bluetoothConnected=false OR  device_screen_timeout<1703 THEN=GRANTED|" "fold5"
"10" 9 0 878144 26232 4219 0 28831.78125 4312.03125 0 4 4.125 9 12.25 1 4.15625 "AND  device_owned_by=>COMPANY AND  device_screen_timeout<1703 THEN=GRANTED|OR  bluetoothConnected=false AND  device_screen_timeout<1703 THEN=GRANTED|AND  event_type=>SECURITY_PROPERTY_CHANGED OR  bluetoothConnected=false AND  device_screen_timeout<1703 THEN=GRANTED|" "fold5"
