"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"22" 21 0 2018597 25311 4325 0 26976.09375 4428.125 0 4 4.15625 9 11.375 9 5.96875 "AND NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"23" 22 0 2094711 25311 4325 0 26904.0625 4432.90625 0 4 4.1875 9 11.3125 10 6.75 "AND NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"24" 23 0 2164028 25311 4325 0 26846.90625 4413.375 0 4 4.15625 9 11.125 11 7.53125 "AND NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"25" 24 0 2245298 25311 4325 0 26813.28125 4413.59375 0 4 4.125 9 11.125 12 8.4375 "AND NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"26" 25 0 2328145 25311 4325 0 26568 4360.15625 0 4 4 9 10.5625 13 8.40625 "AND NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"27" 26 0 2406174 25264 4325 0 26489.25 4362.625 0 4 4 9 10.5 1 8.96875 "OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"28" 27 0 2515712 25264 4325 0 26401.53125 4411.15625 0 4 4.0625 9 10.75 2 9.5 "OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"29" 28 0 2597638 25264 4325 0 26335.40625 4431.03125 0 4 4.09375 9 10.8125 3 10.25 "OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"30" 29 0 2665839 25264 4325 0 26106.09375 4409.71875 0 4 4.0625 9 10.4375 4 10.125 "OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"31" 30 0 2724876 25264 4325 0 25932.90625 4438.96875 0 4 4.125 9 10.4375 5 9.375 "OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"32" 31 0 2798453 25264 4325 0 25842.84375 4438.1875 0 4 4.15625 9 10.3125 6 9.375 "OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"33" 32 0 2878360 25264 4325 0 25794.59375 4428.875 0 4 4.15625 9 10.1875 7 10.21875 "OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"34" 33 0 2960860 25264 4325 0 25794.59375 4428.875 0 4 4.15625 9 10.1875 8 11.21875 "OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"35" 34 0 3036671 25264 4325 0 25746.875 4419.34375 0 4 4.15625 9 10.0625 9 11.90625 "OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"36" 35 0 3111840 25264 4325 0 25746.875 4419.34375 0 4 4.15625 9 10.0625 10 12.90625 "OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"37" 36 0 3169082 25264 4325 0 25746.875 4419.34375 0 4 4.15625 9 10.0625 11 13.90625 "OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"38" 37 0 3259455 25210 4590 0 25666.21875 4418.09375 0 4 4.1875 11 9.9375 1 13.75 "AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_owned_by=>USER AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"39" 38 0 3332297 25210 4590 0 25666.21875 4418.09375 0 4 4.1875 11 9.9375 2 14.75 "AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_owned_by=>USER AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"40" 39 0 3438356 25210 4590 0 25588.71875 4408.5625 0 4 4.21875 11 9.75 3 14.15625 "AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_owned_by=>USER AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"41" 40 0 3498135 25210 4590 0 25522.375 4386.46875 0 4 4.21875 11 9.5 4 13.1875 "AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_owned_by=>USER AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"42" 41 0 3568715 25210 4590 0 25514.5 4387.90625 0 4 4.21875 11 9.5 5 13.53125 "AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_owned_by=>USER AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"43" 42 0 3637955 25210 4590 0 25514.5 4387.90625 0 4 4.21875 11 9.5 6 14.53125 "AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_owned_by=>USER AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"44" 43 0 3692386 25210 4590 0 25458.96875 4393.96875 0 4 4.21875 11 9.5 7 14.84375 "AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_owned_by=>USER AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"45" 44 0 3748110 25210 4590 0 25432.8125 4397 0 4 4.21875 11 9.5 8 15.71875 "AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_owned_by=>USER AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"46" 45 0 3816611 25210 4590 0 25432.8125 4397 0 4 4.21875 11 9.5 9 16.71875 "AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_owned_by=>USER AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"47" 46 0 3872727 25210 4590 0 25369.34375 4370.03125 0 4 4.125 11 9.3125 10 15.90625 "AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_owned_by=>USER AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"48" 47 0 3928357 25210 4590 0 25339.34375 4350.96875 0 4 4.0625 11 9.1875 11 15.90625 "AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_owned_by=>USER AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"49" 48 0 3981851 25210 4590 0 25339.34375 4350.96875 0 4 4.0625 11 9.1875 12 16.90625 "AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_owned_by=>USER AND NOT device_owned_by=>USER OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"50" 49 0 4040100 24791 4630 0 25292.375 4341.59375 0 4 4 11 9.125 1 16.46875 "OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"51" 50 0 4096488 24791 4630 0 25284.15625 4342.90625 0 4 4 11 9.125 2 17.34375 "OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"52" 51 0 4169385 24791 4630 0 25284.15625 4342.90625 0 4 4 11 9.125 3 18.34375 "OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"53" 52 0 4229627 24791 4630 0 25279.25 4343.25 0 4 4 11 9.125 4 18.21875 "OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"54" 53 0 4301018 24791 4630 0 25279.25 4343.25 0 4 4 11 9.125 5 19.21875 "OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
