"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"53" 52 0 4237681 24722 4619 0 25107.96875 4427.34375 0 4 4 11 9.75 6 18.15625 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"54" 53 0 4307557 24722 4619 0 25103.53125 4419.28125 0 4 4 11 9.6875 7 18.84375 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"55" 54 0 4384517 24722 4619 0 25085.90625 4428.84375 0 4 4 11 9.75 8 19.375 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"56" 55 0 4438900 24722 4619 0 25085.875 4428.84375 0 4 4 11 9.75 9 20.3125 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"57" 56 0 4500038 24722 4619 0 25065.25 4438.78125 0 4 4 11 9.8125 10 19.90625 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"58" 57 0 4566056 24722 4619 0 25063.53125 4439 0 4 4 11 9.8125 11 20.84375 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"59" 58 0 4644726 24722 4619 0 25063.53125 4439 0 4 4 11 9.8125 12 21.84375 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"60" 59 0 4710761 24722 4619 0 25051.125 4448.15625 0 4 4 11 9.875 13 22.65625 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"61" 60 0 4805106 24722 4619 0 25051.125 4448.15625 0 4 4 11 9.875 14 23.65625 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"62" 61 0 4868241 24722 4619 0 25051.125 4448.15625 0 4 4 11 9.875 15 24.65625 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"63" 62 0 4925686 24722 4619 0 25034.78125 4457.65625 0 4 4 11 9.9375 16 24.75 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"64" 63 0 4987929 24722 4619 0 25001.53125 4476.65625 0 4 4 11 10.0625 17 23.34375 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"65" 64 0 5065764 24722 4619 0 24984.3125 4486.40625 0 4 4 11 10.125 18 23.71875 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"66" 65 0 5135651 24722 4619 0 24968.1875 4495.9375 0 4 4 11 10.1875 19 24.46875 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"67" 66 0 5210385 24722 4619 0 24968.1875 4495.9375 0 4 4 11 10.1875 20 25.46875 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"68" 67 0 5292431 24722 4619 0 24968.1875 4495.9375 0 4 4 11 10.1875 21 26.46875 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"69" 68 0 5362361 24722 4619 0 24952.0625 4505.40625 0 4 4 11 10.25 22 27.09375 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"70" 69 0 5419227 24722 4619 0 24952.0625 4505.40625 0 4 4 11 10.25 23 28.09375 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"71" 70 0 5492821 24722 4619 0 24952.0625 4505.40625 0 4 4 11 10.25 24 29.09375 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"72" 71 0 5576377 24722 4619 0 24952.0625 4505.40625 0 4 4 11 10.25 25 30.09375 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"73" 72 0 5645204 24722 4619 0 24952.0625 4505.40625 0 4 4 11 10.25 26 31.09375 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"74" 73 0 5719469 24722 4619 0 24926.3125 4523.90625 0 4 4 11 10.375 27 30.84375 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"75" 74 0 5798449 24722 4619 0 24926.3125 4523.90625 0 4 4 11 10.375 28 31.84375 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"76" 75 0 5891547 24722 4619 0 24892.75 4542.90625 0 4 4 11 10.5 29 31.15625 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"77" 76 0 5958945 24722 4619 0 24881.34375 4551.84375 0 4 4 11 10.5625 30 31.03125 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"78" 77 0 6009923 24722 4619 0 24881.34375 4551.84375 0 4 4 11 10.5625 31 32.03125 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"79" 78 0 6090514 24722 4619 0 24881.34375 4551.84375 0 4 4 11 10.5625 32 33.03125 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"80" 79 0 6180129 24722 4619 0 24866.9375 4561.0625 0 4 4 11 10.625 33 32.75 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"81" 80 0 6245694 24722 4619 0 24833.5625 4580.03125 0 4 4 11 10.75 34 30.6875 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"82" 81 0 6315177 24722 4619 0 24801.5625 4598.75 0 4 4 11 10.875 35 28.09375 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"83" 82 0 6386688 24722 4619 0 24801.5625 4598.75 0 4 4 11 10.875 36 29.09375 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"84" 83 0 6450079 24722 4619 0 24787.125 4608.59375 0 4 4 11 10.9375 37 28.875 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"85" 84 0 6528811 24722 4619 0 24758.125 4619.3125 0 4 4 11 11 38 26.1875 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"86" 85 0 6590282 24722 4619 0 24758.125 4619.3125 0 4 4 11 11 39 27.1875 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"87" 86 0 6656665 24722 4619 0 24746.6875 4620.4375 0 4 4 11 11 40 27.03125 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"88" 87 0 6753273 24722 4619 0 24746.6875 4620.4375 0 4 4 11 11 41 28.03125 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"89" 88 0 6828749 24722 4619 0 24744.78125 4620.78125 0 4 4 11 11 42 27.96875 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"90" 89 0 6915136 24722 4619 0 24744.78125 4620.78125 0 4 4 11 11 43 28.96875 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"91" 90 0 6983391 24722 4619 0 24742.0625 4621.0625 0 4 4 11 11 44 29.625 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"92" 91 0 7053103 24722 4619 0 24739.84375 4621.125 0 4 4 11 11 45 30.53125 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"93" 92 0 7118603 24722 4619 0 24739.84375 4621.125 0 4 4 11 11 46 31.53125 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"94" 93 0 7178293 24722 4619 0 24739.84375 4621.125 0 4 4 11 11 47 32.53125 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"95" 94 0 7240806 24722 4619 0 24739.84375 4621.125 0 4 4 11 11 48 33.53125 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"96" 95 0 7310838 24722 4619 0 24739.28125 4621.15625 0 4 4 11 11 49 33.53125 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"97" 96 0 7400968 24722 4619 0 24739.28125 4621.15625 0 4 4 11 11 50 34.53125 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"98" 97 0 7483489 24722 4619 0 24739.28125 4621.15625 0 4 4 11 11 51 35.53125 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"99" 98 0 7555949 24722 4619 0 24739.03125 4621.4375 0 4 4 11 11 52 36 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"100" 99 0 7626238 24722 4619 0 24739.03125 4621.4375 0 4 4 11 11 53 37 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"101" 100 0 7693794 24722 4619 0 24737.84375 4621.6875 0 4 4 11 11 54 35.21875 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"102" 101 0 7769302 24722 4619 0 24737.84375 4621.6875 0 4 4 11 11 55 36.21875 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"103" 102 0 7838770 24722 4619 0 24737.84375 4621.6875 0 4 4 11 11 56 37.21875 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"104" 103 0 7910821 24722 4619 0 24736.84375 4621.65625 0 4 4 11 11 57 38.0625 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"105" 104 0 7995053 24722 4619 0 24736.84375 4621.65625 0 4 4 11 11 58 39.0625 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"106" 105 0 8054669 24722 4619 0 24736.84375 4621.65625 0 4 4 11 11 59 40.0625 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"107" 106 0 8132422 24722 4619 0 24736.84375 4621.65625 0 4 4 11 11 60 41.0625 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"108" 107 0 8208984 24722 4619 0 24736.84375 4621.65625 0 4 4 11 11 61 42.0625 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"109" 108 0 8274358 24722 4619 0 24736.84375 4621.65625 0 4 4 11 11 62 43.0625 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"110" 109 0 8342664 24722 4619 0 24736.84375 4621.65625 0 4 4 11 11 63 44.0625 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"111" 110 0 8415948 24722 4619 0 24735.84375 4621.6875 0 4 4 11 11 64 43.90625 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
