"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 220750 30470 4454 0 54384.78125 2642.1875 0 4 4.0625 15 14.875 1 1 "OR  password_length<=7 AND NOT wifiEncryption=>WPA2-PSK-CCMP+TKIPESS AND NOT password_length>7 THEN=GRANTED|AND NOT device_is_rooted=true AND NOT wifiEncryption=>WPA2-PSK-CCMP+TKIPESS AND NOT password_length>7 THEN=GRANTED|AND NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS OR  password_length<=5 AND NOT password_length>7 THEN=GRANTED|AND NOT device_has_password=true OR  password_length<=5 AND NOT password_length>7 THEN=GRANTED|" "fold6"
"2" 1 0 312241 30470 4454 0 48426.25 3055.1875 0 4 4.1875 15 15.0625 2 1.71875 "OR  password_length<=7 AND NOT wifiEncryption=>WPA2-PSK-CCMP+TKIPESS AND NOT password_length>7 THEN=GRANTED|AND NOT device_is_rooted=true AND NOT wifiEncryption=>WPA2-PSK-CCMP+TKIPESS AND NOT password_length>7 THEN=GRANTED|AND NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS OR  password_length<=5 AND NOT password_length>7 THEN=GRANTED|AND NOT device_has_password=true OR  password_length<=5 AND NOT password_length>7 THEN=GRANTED|" "fold6"
"3" 2 0 389814 30470 4454 0 43483.09375 3388.53125 0 4 4.15625 15 15 3 2.1875 "OR  password_length<=7 AND NOT wifiEncryption=>WPA2-PSK-CCMP+TKIPESS AND NOT password_length>7 THEN=GRANTED|AND NOT device_is_rooted=true AND NOT wifiEncryption=>WPA2-PSK-CCMP+TKIPESS AND NOT password_length>7 THEN=GRANTED|AND NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS OR  password_length<=5 AND NOT password_length>7 THEN=GRANTED|AND NOT device_has_password=true OR  password_length<=5 AND NOT password_length>7 THEN=GRANTED|" "fold6"
"4" 3 0 502882 27324 4315 0 40322.875 3619.6875 0 4 4.15625 11 14.875 1 2.625 "AND NOT mail_has_attachment=true OR NOT asset_confidential_level=>CONFIDENTIAL AND NOT device_OS=>Android4.1.2 THEN=GRANTED|OR  mail_has_attachment=false OR NOT asset_confidential_level=>CONFIDENTIAL AND NOT device_OS=>Android4.1.2 THEN=GRANTED|OR  device_type=>PC AND NOT device_OS=>Android4.1.2 THEN=GRANTED|" "fold6"
"5" 4 0 595434 27307 4315 0 37468.03125 3878.75 0 4 4.21875 11 14.6875 1 2.875 "AND NOT mail_has_attachment=false OR NOT password_length>7 THEN=GRANTED|AND NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS AND NOT password_length<=5 OR NOT password_length>7 THEN=GRANTED|AND NOT device_has_password=true AND NOT password_length<=5 OR NOT password_length>7 THEN=GRANTED|" "fold6"
"6" 5 0 680004 26915 4619 0 34924.65625 4003.3125 0 4 4.1875 13 14.125 1 3.25 "AND NOT mail_has_attachment=true OR NOT asset_confidential_level=>CONFIDENTIAL AND NOT device_OS=>Android4.1.2 THEN=GRANTED|AND  mail_has_attachment=true OR NOT asset_confidential_level=>CONFIDENTIAL AND NOT device_OS=>Android4.1.2 THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  wifiConnected=false AND NOT device_OS=>Android4.1.2 THEN=GRANTED|OR  wifiConnected=false AND NOT device_OS=>Android4.1.2 THEN=GRANTED|" "fold6"
"7" 6 0 748359 25751 4642 0 32178.4375 4180.6875 0 5 4.28125 11 13.75 1 3.1875 "AND  device_has_password=true AND NOT password_length<5 THEN=GRANTED|OR NOT mail_has_attachment=true AND NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS OR  password_length<=5 AND NOT password_length<5 THEN=GRANTED|AND NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS OR  password_length<=5 AND NOT password_length<5 THEN=GRANTED|OR  password_length<=5 AND NOT password_length<5 THEN=GRANTED|" "fold6"
"8" 7 0 877256 25751 4642 0 30510.9375 4288.71875 0 5 4.3125 11 13.25 2 2.96875 "AND  device_has_password=true AND NOT password_length<5 THEN=GRANTED|OR NOT mail_has_attachment=true AND NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS OR  password_length<=5 AND NOT password_length<5 THEN=GRANTED|AND NOT wifiEncryption=>WPA2-PSK-CCMPWPSESS OR  password_length<=5 AND NOT password_length<5 THEN=GRANTED|OR  password_length<=5 AND NOT password_length<5 THEN=GRANTED|" "fold6"
"9" 8 0 951293 25307 4315 0 29629.5625 4306.09375 0 4 4.34375 9 12.75 1 3.25 "OR  mail_has_attachment=false AND NOT password_length>7 THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPWPSESS OR NOT password_length<=5 AND NOT password_length>7 THEN=GRANTED|OR NOT password_length<=5 AND NOT password_length>7 THEN=GRANTED|" "fold6"
"10" 9 0 1025039 25307 4315 0 29296.75 4366.3125 0 4 4.375 9 12.875 2 3.96875 "OR  mail_has_attachment=false AND NOT password_length>7 THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPWPSESS OR NOT password_length<=5 AND NOT password_length>7 THEN=GRANTED|OR NOT password_length<=5 AND NOT password_length>7 THEN=GRANTED|" "fold6"
