"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"12" 11 0 1133583 25752 4509 0 29144.34375 4462.34375 0 4 4.125 11 13.8125 1 5.875 "AND  mail_has_attachment=true OR  device_has_accessibility=false AND  password_length>6 THEN=GRANTED|OR  device_has_accessibility=false AND  password_length>6 THEN=GRANTED|OR  asset_confidential_level=>CONFIDENTIAL OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  password_length>6 THEN=GRANTED|OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  password_length>6 THEN=GRANTED|" "fold3"
"13" 12 0 1196972 25752 4509 0 28707.34375 4463.84375 0 4 4.09375 11 13.5 2 6.1875 "AND  mail_has_attachment=true OR  device_has_accessibility=false AND  password_length>6 THEN=GRANTED|OR  device_has_accessibility=false AND  password_length>6 THEN=GRANTED|OR  asset_confidential_level=>CONFIDENTIAL OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  password_length>6 THEN=GRANTED|OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  password_length>6 THEN=GRANTED|" "fold3"
"14" 13 0 1255920 25626 4516 0 28279.71875 4490.125 0 4 4.0625 11 13.3125 1 5.90625 "OR NOT mail_has_attachment=true AND NOT device_has_accessibility=false AND NOT password_length>6 THEN=GRANTED|AND NOT device_has_accessibility=false AND NOT password_length>6 THEN=GRANTED|OR NOT asset_confidential_level=>CONFIDENTIAL AND NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND NOT password_length>6 THEN=GRANTED|AND NOT wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND NOT password_length>6 THEN=GRANTED|" "fold3"
"15" 14 0 1345351 24729 4633 0 27992.375 4490.375 0 4 4.03125 11 13.0625 1 6.53125 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"16" 15 0 1427365 24729 4633 0 27847.5 4478.5625 0 4 4.03125 11 12.8125 2 6.8125 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"17" 16 0 1501163 24729 4633 0 27689.4375 4483.4375 0 4 4.03125 11 12.6875 3 7.15625 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"18" 17 0 1576652 24729 4633 0 27400.65625 4507 0 4 4.0625 11 12.5625 4 6.75 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"19" 18 0 1650729 24729 4633 0 27260.375 4504.78125 0 4 4.09375 11 12.375 5 7.15625 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"20" 19 0 1718210 24729 4633 0 26997.9375 4494.3125 0 4 4.0625 11 12.0625 6 7.03125 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"21" 20 0 1790355 24729 4633 0 26553.75 4501.875 0 4 4.03125 11 11.6875 7 6.5 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
