"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 297404 0.46290158 2456 0 0.41849019 2228.1875 0 10 10 10 10 1 1 "OR NOT device_screen_timeout>306 OR NOT event_type=>USER_BEHAVIOR AND NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS OR  asset_confidential_level=>CONFIDENTIAL OR  wifiConnected=true AND  event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_has_antivirus=true OR  bluetoothConnected=false AND NOT device_owned_by=>COMPANY OR  device_has_accessibility=false THEN=" "fold8"
"2" 1 0 419575 0.46292243 2468 0 0.45628244 2425.65625 0 10 10 10 10 1 1.6875 "AND  device_type=>Samsung Galaxy S4 GT-I9506 OR  event_type=>LOG_OUT AND  device_OS=>Android4.4.2 OR NOT device_OS=>Android4.5.1 AND NOT device_OS=>Android4.4.4 OR NOT event_type=>SECURITY_PROPERTY_CHANGED OR  password_length>7 AND  device_has_antivirus=false AND  device_screen_timeout<252 OR  device_has_password=true THEN=" "fold8"
"3" 2 0 533557 0.46292243 2468 0 0.46237257 2454.4375 0 10 10 10 10 2 2.375 "AND  device_type=>Samsung Galaxy S4 GT-I9506 OR  event_type=>LOG_OUT AND  device_OS=>Android4.4.2 OR NOT device_OS=>Android4.5.1 AND NOT device_OS=>Android4.4.4 OR NOT event_type=>SECURITY_PROPERTY_CHANGED OR  password_length>7 AND  device_has_antivirus=false AND  device_screen_timeout<252 OR  device_has_password=true THEN=" "fold8"
"4" 3 0 663963 0.46394396 2461 0 0.4628892 2456.34375 0 10 10 10 10 1 3 "OR  device_owned_by=>COMPANY OR NOT bluetoothConnected=true OR  device_is_rooted=false AND NOT device_screen_timeout<688 AND  wifiConnected=true AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  device_has_antivirus=true OR  bluetoothConnected=false AND NOT wifiConnected=true AND NOT user_role=>Security THEN=" "fold8"
"5" 4 0 799770 0.46394396 2461 0 0.4629348 2456.53125 0 10 10 10 10 2 3.78125 "OR  device_owned_by=>COMPANY OR NOT bluetoothConnected=true OR  device_is_rooted=false AND NOT device_screen_timeout<688 AND  wifiConnected=true AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  device_has_antivirus=true OR  bluetoothConnected=false AND NOT wifiConnected=true AND NOT user_role=>Security THEN=" "fold8"
"6" 5 0 924215 0.46394396 2461 0 0.4629348 2456.53125 0 10 10 10 10 3 4.78125 "OR  device_owned_by=>COMPANY OR NOT bluetoothConnected=true OR  device_is_rooted=false AND NOT device_screen_timeout<688 AND  wifiConnected=true AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  device_has_antivirus=true OR  bluetoothConnected=false AND NOT wifiConnected=true AND NOT user_role=>Security THEN=" "fold8"
"7" 6 0 1042998 0.46394396 2461 0 0.4629348 2456.53125 0 10 10 10 10 4 5.78125 "OR  device_owned_by=>COMPANY OR NOT bluetoothConnected=true OR  device_is_rooted=false AND NOT device_screen_timeout<688 AND  wifiConnected=true AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  device_has_antivirus=true OR  bluetoothConnected=false AND NOT wifiConnected=true AND NOT user_role=>Security THEN=" "fold8"
"8" 7 0 1155948 0.46417329 2493 0 0.46297454 2457.6875 0 10 10 10 10 1 6.6875 "AND  device_screen_timeout>306 AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiConnected=true OR NOT device_owned_by=>USER AND  device_screen_timeout<73 OR NOT wifiConnected=false AND  device_screen_timeout<252 OR  device_has_password=true THEN=" "fold8"
"9" 8 0 1273215 0.46417329 2493 0 0.46297454 2457.6875 0 10 10 10 10 2 7.6875 "AND  device_screen_timeout>306 AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiConnected=true OR NOT device_owned_by=>USER AND  device_screen_timeout<73 OR NOT wifiConnected=false AND  device_screen_timeout<252 OR  device_has_password=true THEN=" "fold8"
"10" 9 0 1395971 0.46417329 2493 0 0.46297911 2457.6875 0 10 10 10 10 3 8.53125 "AND  device_screen_timeout>306 AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiConnected=true OR NOT device_owned_by=>USER AND  device_screen_timeout<73 OR NOT wifiConnected=false AND  device_screen_timeout<252 OR  device_has_password=true THEN=" "fold8"
"11" 10 0 1514315 0.46417329 2493 0 0.46297911 2457.6875 0 10 10 10 10 4 9.53125 "AND  device_screen_timeout>306 AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiConnected=true OR NOT device_owned_by=>USER AND  device_screen_timeout<73 OR NOT wifiConnected=false AND  device_screen_timeout<252 OR  device_has_password=true THEN=" "fold8"
"12" 11 0 1640037 0.464486 2487 0 0.46302927 2458.65625 0 10 10 10 10 1 10.0625 "OR  device_type=>Samsung Galaxy S4 GT-I9506 AND  event_type=>LOG_OUT OR NOT device_OS=>Android4.4.2 AND NOT device_OS=>Android4.5.1 AND NOT device_OS=>Android4.4.4 OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT password_length>7 AND NOT device_has_antivirus=false OR NOT device_screen_timeout<1796 OR NOT device_has_password=true THEN=" "fold8"
"13" 12 0 1766926 0.464486 2487 0 0.46302927 2458.65625 0 10 10 10 10 2 11.0625 "OR  device_type=>Samsung Galaxy S4 GT-I9506 AND  event_type=>LOG_OUT OR NOT device_OS=>Android4.4.2 AND NOT device_OS=>Android4.5.1 AND NOT device_OS=>Android4.4.4 OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT password_length>7 AND NOT device_has_antivirus=false OR NOT device_screen_timeout<1796 OR NOT device_has_password=true THEN=" "fold8"
"14" 13 0 1880479 0.464486 2487 0 0.46305533 2460.65625 0 10 10 10 10 3 11.09375 "OR  device_type=>Samsung Galaxy S4 GT-I9506 AND  event_type=>LOG_OUT OR NOT device_OS=>Android4.4.2 AND NOT device_OS=>Android4.5.1 AND NOT device_OS=>Android4.4.4 OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT password_length>7 AND NOT device_has_antivirus=false OR NOT device_screen_timeout<1796 OR NOT device_has_password=true THEN=" "fold8"
"15" 14 0 2001382 0.464486 2487 0 0.46305533 2460.65625 0 10 10 10 10 4 12.09375 "OR  device_type=>Samsung Galaxy S4 GT-I9506 AND  event_type=>LOG_OUT OR NOT device_OS=>Android4.4.2 AND NOT device_OS=>Android4.5.1 AND NOT device_OS=>Android4.4.4 OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT password_length>7 AND NOT device_has_antivirus=false OR NOT device_screen_timeout<1796 OR NOT device_has_password=true THEN=" "fold8"
"16" 15 0 2125308 0.464486 2487 0 0.46305533 2460.65625 0 10 10 10 10 5 13.09375 "OR  device_type=>Samsung Galaxy S4 GT-I9506 AND  event_type=>LOG_OUT OR NOT device_OS=>Android4.4.2 AND NOT device_OS=>Android4.5.1 AND NOT device_OS=>Android4.4.4 OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT password_length>7 AND NOT device_has_antivirus=false OR NOT device_screen_timeout<1796 OR NOT device_has_password=true THEN=" "fold8"
"17" 16 0 2246156 0.464486 2487 0 0.46305533 2460.65625 0 10 10 10 10 6 14.09375 "OR  device_type=>Samsung Galaxy S4 GT-I9506 AND  event_type=>LOG_OUT OR NOT device_OS=>Android4.4.2 AND NOT device_OS=>Android4.5.1 AND NOT device_OS=>Android4.4.4 OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT password_length>7 AND NOT device_has_antivirus=false OR NOT device_screen_timeout<1796 OR NOT device_has_password=true THEN=" "fold8"
"18" 17 0 2373753 0.464486 2487 0 0.46305533 2460.65625 0 10 10 10 10 7 15.09375 "OR  device_type=>Samsung Galaxy S4 GT-I9506 AND  event_type=>LOG_OUT OR NOT device_OS=>Android4.4.2 AND NOT device_OS=>Android4.5.1 AND NOT device_OS=>Android4.4.4 OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT password_length>7 AND NOT device_has_antivirus=false OR NOT device_screen_timeout<1796 OR NOT device_has_password=true THEN=" "fold8"
"19" 18 0 2489371 0.464486 2487 0 0.46305533 2460.65625 0 10 10 10 10 8 16.09375 "OR  device_type=>Samsung Galaxy S4 GT-I9506 AND  event_type=>LOG_OUT OR NOT device_OS=>Android4.4.2 AND NOT device_OS=>Android4.5.1 AND NOT device_OS=>Android4.4.4 OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT password_length>7 AND NOT device_has_antivirus=false OR NOT device_screen_timeout<1796 OR NOT device_has_password=true THEN=" "fold8"
"20" 19 0 2602504 0.464486 2487 0 0.46305533 2460.65625 0 10 10 10 10 9 17.09375 "OR  device_type=>Samsung Galaxy S4 GT-I9506 AND  event_type=>LOG_OUT OR NOT device_OS=>Android4.4.2 AND NOT device_OS=>Android4.5.1 AND NOT device_OS=>Android4.4.4 OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT password_length>7 AND NOT device_has_antivirus=false OR NOT device_screen_timeout<1796 OR NOT device_has_password=true THEN=" "fold8"
