"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"12" 11 0 1688052 7777 4894 0 9016.5625 4741.125 0 6 5.3125 23 19.125 1 4.5 "AND  wifiEnabled=true OR NOT device_has_password=false OR NOT device_is_rooted=true AND  wifiConnected=false THEN=GRANTED|OR NOT device_has_password=false OR NOT device_is_rooted=true AND  wifiConnected=false THEN=GRANTED|OR NOT device_is_rooted=true AND  wifiConnected=false THEN=GRANTED|OR NOT device_owned_by=>USER AND NOT user_role=>Administration AND  wifiConnected=false THEN=GRANTED|OR NOT device_OS=>Android4.1.2 OR NOT device_owned_by=>USER AND NOT user_role=>Administration AND  wifiConnected=false THEN=GRANTED|AND NOT password_length>7 AND NOT user_role=>Administration AND  wifiConnected=false THEN=GRANTED|AND NOT wifiEnabled=true OR NOT wifiEncryption=>WPA2-PSK-CCMP-preauthESS AND NOT password_length>7 AND NOT user_role=>Administration AND  wifiConnected=false THEN=GRANTED|AND  device_is_rooted=true OR NOT wifiEncryption=>WPA2-PSK-CCMP-preauthESS AND NOT password_length>7 AND NOT user_role=>Administration AND  wifiConnected=false THEN=STRONGDENY|" "fold7"
"13" 12 0 1852810 7777 4894 0 8883.21875 4756.65625 0 6 5.40625 23 19.3125 2 4.8125 "AND  wifiEnabled=true OR NOT device_has_password=false OR NOT device_is_rooted=true AND  wifiConnected=false THEN=GRANTED|OR NOT device_has_password=false OR NOT device_is_rooted=true AND  wifiConnected=false THEN=GRANTED|OR NOT device_is_rooted=true AND  wifiConnected=false THEN=GRANTED|OR NOT device_owned_by=>USER AND NOT user_role=>Administration AND  wifiConnected=false THEN=GRANTED|OR NOT device_OS=>Android4.1.2 OR NOT device_owned_by=>USER AND NOT user_role=>Administration AND  wifiConnected=false THEN=GRANTED|AND NOT password_length>7 AND NOT user_role=>Administration AND  wifiConnected=false THEN=GRANTED|AND NOT wifiEnabled=true OR NOT wifiEncryption=>WPA2-PSK-CCMP-preauthESS AND NOT password_length>7 AND NOT user_role=>Administration AND  wifiConnected=false THEN=GRANTED|AND  device_is_rooted=true OR NOT wifiEncryption=>WPA2-PSK-CCMP-preauthESS AND NOT password_length>7 AND NOT user_role=>Administration AND  wifiConnected=false THEN=STRONGDENY|" "fold7"
"14" 13 0 2042202 7777 4894 0 8734.34375 4774.375 0 6 5.46875 23 19.3125 3 5.4375 "AND  wifiEnabled=true OR NOT device_has_password=false OR NOT device_is_rooted=true AND  wifiConnected=false THEN=GRANTED|OR NOT device_has_password=false OR NOT device_is_rooted=true AND  wifiConnected=false THEN=GRANTED|OR NOT device_is_rooted=true AND  wifiConnected=false THEN=GRANTED|OR NOT device_owned_by=>USER AND NOT user_role=>Administration AND  wifiConnected=false THEN=GRANTED|OR NOT device_OS=>Android4.1.2 OR NOT device_owned_by=>USER AND NOT user_role=>Administration AND  wifiConnected=false THEN=GRANTED|AND NOT password_length>7 AND NOT user_role=>Administration AND  wifiConnected=false THEN=GRANTED|AND NOT wifiEnabled=true OR NOT wifiEncryption=>WPA2-PSK-CCMP-preauthESS AND NOT password_length>7 AND NOT user_role=>Administration AND  wifiConnected=false THEN=GRANTED|AND  device_is_rooted=true OR NOT wifiEncryption=>WPA2-PSK-CCMP-preauthESS AND NOT password_length>7 AND NOT user_role=>Administration AND  wifiConnected=false THEN=STRONGDENY|" "fold7"
"15" 14 0 2178321 7777 4894 0 8608.5625 4789.875 0 6 5.6875 23 19.5625 4 5.5 "AND  wifiEnabled=true OR NOT device_has_password=false OR NOT device_is_rooted=true AND  wifiConnected=false THEN=GRANTED|OR NOT device_has_password=false OR NOT device_is_rooted=true AND  wifiConnected=false THEN=GRANTED|OR NOT device_is_rooted=true AND  wifiConnected=false THEN=GRANTED|OR NOT device_owned_by=>USER AND NOT user_role=>Administration AND  wifiConnected=false THEN=GRANTED|OR NOT device_OS=>Android4.1.2 OR NOT device_owned_by=>USER AND NOT user_role=>Administration AND  wifiConnected=false THEN=GRANTED|AND NOT password_length>7 AND NOT user_role=>Administration AND  wifiConnected=false THEN=GRANTED|AND NOT wifiEnabled=true OR NOT wifiEncryption=>WPA2-PSK-CCMP-preauthESS AND NOT password_length>7 AND NOT user_role=>Administration AND  wifiConnected=false THEN=GRANTED|AND  device_is_rooted=true OR NOT wifiEncryption=>WPA2-PSK-CCMP-preauthESS AND NOT password_length>7 AND NOT user_role=>Administration AND  wifiConnected=false THEN=STRONGDENY|" "fold7"
"16" 15 0 2346504 7590 4907 0 8399.78125 4810.03125 0 6 5.78125 21 19.3125 1 5.625 "AND  device_has_password=true OR NOT mail_has_attachment=true OR  password_length>6 THEN=GRANTED|AND NOT device_OS=>Android4.4.2 AND NOT device_has_password=false AND NOT event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true OR  password_length>6 THEN=GRANTED|AND NOT device_has_password=false AND NOT event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true OR  password_length>6 THEN=GRANTED|AND NOT device_has_password=false OR  device_is_rooted=true AND NOT event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true OR  password_length>6 THEN=GRANTED|OR  device_is_rooted=true AND NOT event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true OR  password_length>6 THEN=GRANTED|AND  device_OS=>Windows8.1 AND NOT device_type=>LG-L70 OR  password_length>6 THEN=GRANTED|AND NOT device_type=>LG-L70 OR  password_length>6 THEN=GRANTED|" "fold7"
"17" 16 0 2511757 7378 4860 0 8304.125 4814.625 0 6 5.78125 21 19.5625 1 5.9375 "OR NOT device_owned_by=>USER AND  user_role=>Administration OR  event_type=>ACTION_APP_OPEN AND  asset_confidential_level=>CONFIDENTIAL OR NOT device_is_rooted=true THEN=GRANTED|OR  password_length>7 AND  user_role=>Administration OR  event_type=>ACTION_APP_OPEN AND  asset_confidential_level=>CONFIDENTIAL OR NOT device_is_rooted=true THEN=GRANTED|OR  event_type=>ACTION_APP_OPEN AND  asset_confidential_level=>CONFIDENTIAL OR NOT device_is_rooted=true THEN=GRANTED|AND  asset_confidential_level=>CONFIDENTIAL OR NOT device_is_rooted=true THEN=GRANTED|OR NOT device_has_password=false AND NOT event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true THEN=GRANTED|OR NOT device_OS=>Android4.4.2 OR NOT device_has_password=false AND NOT event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true THEN=GRANTED|OR  device_type=>Samsung Galaxy Trend Plus AND NOT event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"18" 17 0 2677120 7378 4860 0 8236.75 4822.21875 0 6 5.78125 21 19.1875 2 6.28125 "OR NOT device_owned_by=>USER AND  user_role=>Administration OR  event_type=>ACTION_APP_OPEN AND  asset_confidential_level=>CONFIDENTIAL OR NOT device_is_rooted=true THEN=GRANTED|OR  password_length>7 AND  user_role=>Administration OR  event_type=>ACTION_APP_OPEN AND  asset_confidential_level=>CONFIDENTIAL OR NOT device_is_rooted=true THEN=GRANTED|OR  event_type=>ACTION_APP_OPEN AND  asset_confidential_level=>CONFIDENTIAL OR NOT device_is_rooted=true THEN=GRANTED|AND  asset_confidential_level=>CONFIDENTIAL OR NOT device_is_rooted=true THEN=GRANTED|OR NOT device_has_password=false AND NOT event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true THEN=GRANTED|OR NOT device_OS=>Android4.4.2 OR NOT device_has_password=false AND NOT event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true THEN=GRANTED|OR  device_type=>Samsung Galaxy Trend Plus AND NOT event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"19" 18 0 2966304 7378 4860 0 8202.875 4826.1875 0 6 5.84375 21 19.3125 3 7.15625 "OR NOT device_owned_by=>USER AND  user_role=>Administration OR  event_type=>ACTION_APP_OPEN AND  asset_confidential_level=>CONFIDENTIAL OR NOT device_is_rooted=true THEN=GRANTED|OR  password_length>7 AND  user_role=>Administration OR  event_type=>ACTION_APP_OPEN AND  asset_confidential_level=>CONFIDENTIAL OR NOT device_is_rooted=true THEN=GRANTED|OR  event_type=>ACTION_APP_OPEN AND  asset_confidential_level=>CONFIDENTIAL OR NOT device_is_rooted=true THEN=GRANTED|AND  asset_confidential_level=>CONFIDENTIAL OR NOT device_is_rooted=true THEN=GRANTED|OR NOT device_has_password=false AND NOT event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true THEN=GRANTED|OR NOT device_OS=>Android4.4.2 OR NOT device_has_password=false AND NOT event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true THEN=GRANTED|OR  device_type=>Samsung Galaxy Trend Plus AND NOT event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"20" 19 0 3123125 7378 4860 0 8110.75 4839.125 0 6 6.0625 21 20 4 6.78125 "OR NOT device_owned_by=>USER AND  user_role=>Administration OR  event_type=>ACTION_APP_OPEN AND  asset_confidential_level=>CONFIDENTIAL OR NOT device_is_rooted=true THEN=GRANTED|OR  password_length>7 AND  user_role=>Administration OR  event_type=>ACTION_APP_OPEN AND  asset_confidential_level=>CONFIDENTIAL OR NOT device_is_rooted=true THEN=GRANTED|OR  event_type=>ACTION_APP_OPEN AND  asset_confidential_level=>CONFIDENTIAL OR NOT device_is_rooted=true THEN=GRANTED|AND  asset_confidential_level=>CONFIDENTIAL OR NOT device_is_rooted=true THEN=GRANTED|OR NOT device_has_password=false AND NOT event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true THEN=GRANTED|OR NOT device_OS=>Android4.4.2 OR NOT device_has_password=false AND NOT event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true THEN=GRANTED|OR  device_type=>Samsung Galaxy Trend Plus AND NOT event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"21" 20 0 3395057 7378 4860 0 8086.03125 4842.40625 0 6 6.0625 21 20.125 5 7.09375 "OR NOT device_owned_by=>USER AND  user_role=>Administration OR  event_type=>ACTION_APP_OPEN AND  asset_confidential_level=>CONFIDENTIAL OR NOT device_is_rooted=true THEN=GRANTED|OR  password_length>7 AND  user_role=>Administration OR  event_type=>ACTION_APP_OPEN AND  asset_confidential_level=>CONFIDENTIAL OR NOT device_is_rooted=true THEN=GRANTED|OR  event_type=>ACTION_APP_OPEN AND  asset_confidential_level=>CONFIDENTIAL OR NOT device_is_rooted=true THEN=GRANTED|AND  asset_confidential_level=>CONFIDENTIAL OR NOT device_is_rooted=true THEN=GRANTED|OR NOT device_has_password=false AND NOT event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true THEN=GRANTED|OR NOT device_OS=>Android4.4.2 OR NOT device_has_password=false AND NOT event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true THEN=GRANTED|OR  device_type=>Samsung Galaxy Trend Plus AND NOT event_level=>SIMPLE_EVENT OR NOT device_is_rooted=true THEN=GRANTED|" "fold7"
