"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"44" 43 0 21848922 "7101,00000000" "4842,00000000" ",00000000" "7159,50000000" "4878,06250000" ",00000000" 10 "9,18750000" 43 "43,18750000" 18 "9,43750000" "AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<196 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<196 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=STRONGDENY|AND NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"45" 44 0 22689037 "7101,00000000" "4842,00000000" ",00000000" "7158,40625000" "4878,18750000" ",00000000" 10 "9,18750000" 43 "43,37500000" 19 "10,12500000" "AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<196 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<196 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=STRONGDENY|AND NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"46" 45 0 23550018 "7101,00000000" "4842,00000000" ",00000000" "7153,56250000" "4879,25000000" ",00000000" 10 "9,53125000" 43 "46,25000000" 20 "9,28125000" "AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<196 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<196 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=STRONGDENY|AND NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"47" 46 0 24904312 "7101,00000000" "4842,00000000" ",00000000" "7149,40625000" "4879,71875000" ",00000000" 10 "9,75000000" 43 "48,43750000" 21 "8,75000000" "AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<196 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<196 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=STRONGDENY|AND NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"48" 47 0 25590201 "7101,00000000" "4842,00000000" ",00000000" "7148,43750000" "4880,12500000" ",00000000" 10 "9,84375000" 43 "49,18750000" 22 "8,65625000" "AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<196 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<196 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=STRONGDENY|AND NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"49" 48 0 26114151 "7101,00000000" "4842,00000000" ",00000000" "7146,78125000" "4880,50000000" ",00000000" 10 "9,84375000" 43 "50,25000000" 23 "8,50000000" "AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<196 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<196 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=STRONGDENY|AND NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"50" 49 0 27019868 "7101,00000000" "4842,00000000" ",00000000" "7145,87500000" "4880,50000000" ",00000000" 10 "9,81250000" 43 "51,37500000" 24 "9,06250000" "AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<196 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<196 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=STRONGDENY|AND NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"51" 50 0 27352500 "7101,00000000" "4842,00000000" ",00000000" "7143,40625000" "4880,56250000" ",00000000" 10 "9,78125000" 43 "52,68750000" 25 "8,56250000" "AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<196 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<196 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=STRONGDENY|AND NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"52" 51 0 28188315 "7101,00000000" "4842,00000000" ",00000000" "7140,78125000" "4881,78125000" ",00000000" 10 "9,71875000" 43 "53,87500000" 26 "8,28125000" "AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<196 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<196 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=STRONGDENY|AND NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"53" 52 0 28939320 "7101,00000000" "4842,00000000" ",00000000" "7140,18750000" "4881,84375000" ",00000000" 10 "9,71875000" 43 "54,18750000" 27 "8,68750000" "AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<196 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<196 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=STRONGDENY|AND NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
