"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"11" 10 0 3323714 "7995,00000000" "4762,00000000" ",00000000" "9524,28125000" "4597,31250000" ",00000000" 6 "4,84375000" 21 "16,75000000" 1 "4,81250000" "OR  device_screen_timeout<=1646 OR NOT wifiConnected=false AND  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT wifiConnected=false AND  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<=1646 OR NOT wifiConnected=false AND  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR NOT device_screen_timeout<=1646 OR NOT wifiConnected=false AND  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR NOT device_screen_timeout<=1646 OR NOT wifiConnected=false AND  device_is_rooted=false THEN=GRANTED|AND  event_level=>COMPLEX_EVENT OR NOT device_owned_by=>COMPANY AND  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=false OR NOT device_owned_by=>COMPANY AND  device_is_rooted=false THEN=GRANTED|" "fold4"
"12" 11 0 3770665 "7995,00000000" "4762,00000000" ",00000000" "9378,21875000" "4615,18750000" ",00000000" 6 "4,93750000" 21 "17,06250000" 2 "5,50000000" "OR  device_screen_timeout<=1646 OR NOT wifiConnected=false AND  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT wifiConnected=false AND  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<=1646 OR NOT wifiConnected=false AND  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR NOT device_screen_timeout<=1646 OR NOT wifiConnected=false AND  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR NOT device_screen_timeout<=1646 OR NOT wifiConnected=false AND  device_is_rooted=false THEN=GRANTED|AND  event_level=>COMPLEX_EVENT OR NOT device_owned_by=>COMPANY AND  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=false OR NOT device_owned_by=>COMPANY AND  device_is_rooted=false THEN=GRANTED|" "fold4"
"13" 12 0 4208954 "7961,00000000" "4781,00000000" ",00000000" "9289,15625000" "4626,18750000" ",00000000" 7 "4,96875000" 21 "17,06250000" 1 "6,34375000" "AND NOT wifiConnected=true OR  wifiConnected=false AND  device_is_rooted=true THEN=GRANTED|AND  device_has_password=true AND  wifiConnected=true OR  device_has_password=true OR NOT wifiConnected=false OR  wifiConnected=false AND  device_is_rooted=true THEN=GRANTED|AND  wifiConnected=true OR  device_has_password=true OR NOT wifiConnected=false OR  wifiConnected=false AND  device_is_rooted=true THEN=GRANTED|OR  device_has_password=true OR NOT wifiConnected=false OR  wifiConnected=false AND  device_is_rooted=true THEN=GRANTED|OR NOT wifiConnected=false OR  wifiConnected=false AND  device_is_rooted=true THEN=GRANTED|OR NOT event_level=>COMPLEX_EVENT OR NOT device_owned_by=>COMPANY AND  device_is_rooted=true THEN=GRANTED|AND NOT wifiConnected=false OR NOT device_owned_by=>COMPANY AND  device_is_rooted=true THEN=GRANTED|" "fold4"
"14" 13 0 4738341 "7279,00000000" "4862,00000000" ",00000000" "9046,03125000" "4654,59375000" ",00000000" 6 "5,09375000" 25 "17,43750000" 1 "6,78125000" "AND NOT device_screen_timeout<=1646 AND  wifiConnected=false AND  device_is_rooted=false THEN=GRANTED|AND  device_screen_timeout<196 OR NOT device_is_rooted=true AND NOT device_screen_timeout<=1646 AND  wifiConnected=false AND  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND NOT device_screen_timeout<=1646 AND  wifiConnected=false AND  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<=1646 AND  wifiConnected=false AND  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR NOT device_screen_timeout<=1646 AND  wifiConnected=false AND  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR NOT device_screen_timeout<=1646 AND  wifiConnected=false AND  device_is_rooted=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR NOT device_owned_by=>COMPANY AND  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=false OR NOT device_owned_by=>COMPANY AND  device_is_rooted=false THEN=GRANTED|" "fold4"
"15" 14 0 5100518 "7253,00000000" "4867,00000000" ",00000000" "8731,81250000" "4690,62500000" ",00000000" 6 "5,34375000" 29 "18,43750000" 1 "5,68750000" "AND NOT device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  device_screen_timeout<196 OR  device_is_rooted=true AND NOT device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  device_type=>LG-P760 OR  device_is_rooted=true AND NOT device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC AND NOT device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC AND NOT device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT OR NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false OR NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_has_password=true OR NOT wifiConnected=true AND NOT wifiConnected=false OR NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=true AND NOT wifiConnected=false OR NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"16" 15 0 5573115 "7253,00000000" "4867,00000000" ",00000000" "8676,31250000" "4697,06250000" ",00000000" 6 "5,34375000" 29 "18,50000000" 2 "5,65625000" "AND NOT device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  device_screen_timeout<196 OR  device_is_rooted=true AND NOT device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  device_type=>LG-P760 OR  device_is_rooted=true AND NOT device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC AND NOT device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC AND NOT device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT OR NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false OR NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_has_password=true OR NOT wifiConnected=true AND NOT wifiConnected=false OR NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=true AND NOT wifiConnected=false OR NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"17" 16 0 5936057 "7253,00000000" "4867,00000000" ",00000000" "8518,12500000" "4715,03125000" ",00000000" 6 "5,50000000" 29 "18,81250000" 3 "5,62500000" "AND NOT device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  device_screen_timeout<196 OR  device_is_rooted=true AND NOT device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  device_type=>LG-P760 OR  device_is_rooted=true AND NOT device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC AND NOT device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC AND NOT device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT OR NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false OR NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_has_password=true OR NOT wifiConnected=true AND NOT wifiConnected=false OR NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=true AND NOT wifiConnected=false OR NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"18" 17 0 6378166 "7218,00000000" "4877,00000000" ",00000000" "8281,03125000" "4744,03125000" ",00000000" 9 "5,78125000" 35 "19,81250000" 1 "5,56250000" "OR NOT device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  device_screen_timeout<196 OR NOT device_is_rooted=true OR NOT device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  device_screen_timeout<=1646 OR  device_type=>LG-P760 OR NOT device_is_rooted=true OR NOT device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND  device_screen_timeout<=1646 OR  device_type=>LG-P760 OR NOT device_is_rooted=true OR NOT device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false OR  asset_confidential_level=>PUBLIC AND  device_screen_timeout<=1646 OR  device_type=>LG-P760 OR NOT device_is_rooted=true OR NOT device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_type=>LG-P760 OR NOT device_is_rooted=true OR NOT device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=STRONGDENY|OR  device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false OR  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND  device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND  wifiConnected=false AND  device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND  device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND  device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"19" 18 0 6881200 "7218,00000000" "4877,00000000" ",00000000" "8105,00000000" "4763,40625000" ",00000000" 9 "6,06250000" 35 "21,43750000" 2 "5,56250000" "OR NOT device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  device_screen_timeout<196 OR NOT device_is_rooted=true OR NOT device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  device_screen_timeout<=1646 OR  device_type=>LG-P760 OR NOT device_is_rooted=true OR NOT device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND  device_screen_timeout<=1646 OR  device_type=>LG-P760 OR NOT device_is_rooted=true OR NOT device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false OR  asset_confidential_level=>PUBLIC AND  device_screen_timeout<=1646 OR  device_type=>LG-P760 OR NOT device_is_rooted=true OR NOT device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_type=>LG-P760 OR NOT device_is_rooted=true OR NOT device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=STRONGDENY|OR  device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false OR  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND  device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND  wifiConnected=false AND  device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND  device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND  device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"20" 19 0 7584689 "7218,00000000" "4877,00000000" ",00000000" "7951,96875000" "4781,59375000" ",00000000" 9 "6,15625000" 35 "22,31250000" 3 "5,15625000" "OR NOT device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  device_screen_timeout<196 OR NOT device_is_rooted=true OR NOT device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  device_screen_timeout<=1646 OR  device_type=>LG-P760 OR NOT device_is_rooted=true OR NOT device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND  device_screen_timeout<=1646 OR  device_type=>LG-P760 OR NOT device_is_rooted=true OR NOT device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false OR  asset_confidential_level=>PUBLIC AND  device_screen_timeout<=1646 OR  device_type=>LG-P760 OR NOT device_is_rooted=true OR NOT device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_type=>LG-P760 OR NOT device_is_rooted=true OR NOT device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=STRONGDENY|OR  device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false OR  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND  device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND  wifiConnected=false AND  device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND  device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND  device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
