"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"12" 11 0 1726522 "8453,00000000" "4752,00000000" ",00000000" "10755,59375000" "4483,93750000" ",00000000" 5 "4,56250000" 15 "15,93750000" 6 "6,87500000" "AND NOT asset_confidential_level=>CONFIDENTIAL AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|OR  wifiConnected=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|OR  device_has_antivirus=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|AND  device_screen_timeout<249 OR  device_has_antivirus=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|" "fold9"
"13" 12 0 1958822 "8453,00000000" "4752,00000000" ",00000000" "10517,37500000" "4520,90625000" ",00000000" 5 "4,59375000" 15 "16,12500000" 7 "7,21875000" "AND NOT asset_confidential_level=>CONFIDENTIAL AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|OR  wifiConnected=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|OR  device_has_antivirus=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|AND  device_screen_timeout<249 OR  device_has_antivirus=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|" "fold9"
"14" 13 0 2135354 "8124,00000000" "4804,00000000" ",00000000" "10375,62500000" "4539,50000000" ",00000000" 6 "4,59375000" 19 "15,93750000" 1 "7,78125000" "AND  asset_confidential_level=>CONFIDENTIAL OR NOT password_length<=7 AND  wifiEnabled=false THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT password_length<=7 AND  wifiEnabled=false THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  device_has_password=false OR NOT device_owned_by=>USER OR NOT password_length<=7 AND  wifiEnabled=false THEN=GRANTED|OR  device_type=>Motorola Moto G OR  device_has_password=false OR NOT device_owned_by=>USER OR NOT password_length<=7 AND  wifiEnabled=false THEN=GRANTED|AND  wifiConnected=false AND  wifiEnabled=false THEN=GRANTED|OR NOT bluetoothConnected=false AND  wifiConnected=false AND  wifiEnabled=false THEN=GRANTED|" "fold9"
"15" 14 0 2272339 "8124,00000000" "4804,00000000" ",00000000" "10120,18750000" "4570,87500000" ",00000000" 6 "4,75000000" 19 "16,56250000" 2 "7,46875000" "AND  asset_confidential_level=>CONFIDENTIAL OR NOT password_length<=7 AND  wifiEnabled=false THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT password_length<=7 AND  wifiEnabled=false THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  device_has_password=false OR NOT device_owned_by=>USER OR NOT password_length<=7 AND  wifiEnabled=false THEN=GRANTED|OR  device_type=>Motorola Moto G OR  device_has_password=false OR NOT device_owned_by=>USER OR NOT password_length<=7 AND  wifiEnabled=false THEN=GRANTED|AND  wifiConnected=false AND  wifiEnabled=false THEN=GRANTED|OR NOT bluetoothConnected=false AND  wifiConnected=false AND  wifiEnabled=false THEN=GRANTED|" "fold9"
"16" 15 0 2441950 "8124,00000000" "4804,00000000" ",00000000" "9980,34375000" "4587,90625000" ",00000000" 6 "4,75000000" 19 "16,62500000" 3 "8,15625000" "AND  asset_confidential_level=>CONFIDENTIAL OR NOT password_length<=7 AND  wifiEnabled=false THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT password_length<=7 AND  wifiEnabled=false THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  device_has_password=false OR NOT device_owned_by=>USER OR NOT password_length<=7 AND  wifiEnabled=false THEN=GRANTED|OR  device_type=>Motorola Moto G OR  device_has_password=false OR NOT device_owned_by=>USER OR NOT password_length<=7 AND  wifiEnabled=false THEN=GRANTED|AND  wifiConnected=false AND  wifiEnabled=false THEN=GRANTED|OR NOT bluetoothConnected=false AND  wifiConnected=false AND  wifiEnabled=false THEN=GRANTED|" "fold9"
"17" 16 0 2704966 "7974,00000000" "4814,00000000" ",00000000" "9666,84375000" "4624,68750000" ",00000000" 6 "4,87500000" 19 "17,00000000" 1 "8,59375000" "OR  asset_confidential_level=>CONFIDENTIAL AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|OR NOT device_owned_by=>USER AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|AND  device_OS=>Android4.5.1 AND  device_has_password=false OR NOT device_owned_by=>USER AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|OR NOT device_type=>Motorola Moto G AND  device_has_password=false OR NOT device_owned_by=>USER AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|AND NOT wifiConnected=false OR  wifiEnabled=false THEN=GRANTED|OR  bluetoothConnected=false AND NOT wifiConnected=false OR  wifiEnabled=false THEN=GRANTED|" "fold9"
"18" 17 0 2924295 "7974,00000000" "4814,00000000" ",00000000" "9533,93750000" "4634,00000000" ",00000000" 6 "4,96875000" 19 "17,31250000" 2 "8,53125000" "OR  asset_confidential_level=>CONFIDENTIAL AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|OR NOT device_owned_by=>USER AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|AND  device_OS=>Android4.5.1 AND  device_has_password=false OR NOT device_owned_by=>USER AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|OR NOT device_type=>Motorola Moto G AND  device_has_password=false OR NOT device_owned_by=>USER AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|AND NOT wifiConnected=false OR  wifiEnabled=false THEN=GRANTED|OR  bluetoothConnected=false AND NOT wifiConnected=false OR  wifiEnabled=false THEN=GRANTED|" "fold9"
"19" 18 0 3095484 "7568,00000000" "4862,00000000" ",00000000" "9281,25000000" "4663,53125000" ",00000000" 6 "5,12500000" 23 "17,75000000" 1 "8,00000000" "OR NOT device_OS=>Android4.5.1 OR NOT device_has_password=false AND  device_screen_timeout>=1649 THEN=GRANTED|OR NOT device_type=>Samsung Galaxy Grand Neo (GT-I OR NOT device_has_password=false AND  device_screen_timeout>=1649 THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND NOT user_role=>Development OR NOT device_OS=>Windows7 Home Edition AND  device_screen_timeout>=1649 THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT user_role=>Development OR NOT device_OS=>Windows7 Home Edition AND  device_screen_timeout>=1649 THEN=GRANTED|AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT event_level=>SIMPLE_EVENT AND NOT user_role=>Development OR NOT device_OS=>Windows7 Home Edition AND  device_screen_timeout>=1649 THEN=GRANTED|OR NOT device_owned_by=>COMPANY OR NOT device_OS=>Windows7 Home Edition AND  device_screen_timeout>=1649 THEN=GRANTED|OR  device_screen_timeout<249 OR NOT device_owned_by=>COMPANY OR NOT device_OS=>Windows7 Home Edition AND  device_screen_timeout>=1649 THEN=GRANTED|" "fold9"
"20" 19 0 3197369 "7489,00000000" "4871,00000000" ",00000000" "9075,34375000" "4690,59375000" ",00000000" 6 "5,15625000" 25 "17,68750000" 1 "7,81250000" "AND  wifiConnected=false AND NOT password_length<=6 OR  user_role=>Employee THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  device_has_password=false AND NOT password_length<=6 OR  user_role=>Employee THEN=GRANTED|OR NOT device_type=>Motorola Moto G OR  device_has_password=false AND NOT password_length<=6 OR  user_role=>Employee THEN=GRANTED|AND NOT password_length<=6 OR  user_role=>Employee THEN=GRANTED|AND  wifiConnected=false OR NOT password_length<=6 AND NOT password_length<=6 OR  user_role=>Employee THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_password=false OR NOT password_length<=6 AND NOT password_length<=6 OR  user_role=>Employee THEN=GRANTED|OR NOT device_type=>Motorola Moto G AND NOT device_has_password=false OR NOT password_length<=6 AND NOT password_length<=6 OR  user_role=>Employee THEN=GRANTED|" "fold9"
"21" 20 0 3462989 "7489,00000000" "4871,00000000" ",00000000" "9032,12500000" "4695,50000000" ",00000000" 6 "5,25000000" 25 "17,87500000" 2 "8,65625000" "AND  wifiConnected=false AND NOT password_length<=6 OR  user_role=>Employee THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  device_has_password=false AND NOT password_length<=6 OR  user_role=>Employee THEN=GRANTED|OR NOT device_type=>Motorola Moto G OR  device_has_password=false AND NOT password_length<=6 OR  user_role=>Employee THEN=GRANTED|AND NOT password_length<=6 OR  user_role=>Employee THEN=GRANTED|AND  wifiConnected=false OR NOT password_length<=6 AND NOT password_length<=6 OR  user_role=>Employee THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_password=false OR NOT password_length<=6 AND NOT password_length<=6 OR  user_role=>Employee THEN=GRANTED|OR NOT device_type=>Motorola Moto G AND NOT device_has_password=false OR NOT password_length<=6 AND NOT password_length<=6 OR  user_role=>Employee THEN=GRANTED|" "fold9"
