"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"12" 11 0 1630778 "8203,00000000" "4831,00000000" ",00000000" "10220,25000000" "4582,18750000" ",00000000" 6 "4,96875000" 21 "16,81250000" 3 "5,43750000" "AND NOT wifiEnabled=true AND  wifiEncryption=>WPA-PSK-CCMPESS AND  device_has_antivirus=false OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR  wifiEnabled=false AND  wifiEncryption=>WPA-PSK-CCMPESS AND  device_has_antivirus=false OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND NOT device_OS=>Android4.4 OR  wifiEnabled=false AND  wifiEncryption=>WPA-PSK-CCMPESS AND  device_has_antivirus=false OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR  bluetoothConnected=false AND  device_has_antivirus=false OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND  device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR  wifiConnected=true AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|" "fold6"
"13" 12 0 1725753 "8203,00000000" "4831,00000000" ",00000000" "10076,59375000" "4606,40625000" ",00000000" 6 "5,12500000" 21 "17,25000000" 4 "5,53125000" "AND NOT wifiEnabled=true AND  wifiEncryption=>WPA-PSK-CCMPESS AND  device_has_antivirus=false OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR  wifiEnabled=false AND  wifiEncryption=>WPA-PSK-CCMPESS AND  device_has_antivirus=false OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND NOT device_OS=>Android4.4 OR  wifiEnabled=false AND  wifiEncryption=>WPA-PSK-CCMPESS AND  device_has_antivirus=false OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR  bluetoothConnected=false AND  device_has_antivirus=false OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND  device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR  wifiConnected=true AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|" "fold6"
"14" 13 0 1843587 "8203,00000000" "4831,00000000" ",00000000" "9706,68750000" "4650,06250000" ",00000000" 6 "5,18750000" 21 "17,50000000" 5 "5,34375000" "AND NOT wifiEnabled=true AND  wifiEncryption=>WPA-PSK-CCMPESS AND  device_has_antivirus=false OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR  wifiEnabled=false AND  wifiEncryption=>WPA-PSK-CCMPESS AND  device_has_antivirus=false OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND NOT device_OS=>Android4.4 OR  wifiEnabled=false AND  wifiEncryption=>WPA-PSK-CCMPESS AND  device_has_antivirus=false OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR  bluetoothConnected=false AND  device_has_antivirus=false OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND  device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR  wifiConnected=true AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|" "fold6"
"15" 14 0 1946905 "8203,00000000" "4831,00000000" ",00000000" "9584,78125000" "4666,53125000" ",00000000" 6 "5,18750000" 21 "17,50000000" 6 "6,06250000" "AND NOT wifiEnabled=true AND  wifiEncryption=>WPA-PSK-CCMPESS AND  device_has_antivirus=false OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR  wifiEnabled=false AND  wifiEncryption=>WPA-PSK-CCMPESS AND  device_has_antivirus=false OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND NOT device_OS=>Android4.4 OR  wifiEnabled=false AND  wifiEncryption=>WPA-PSK-CCMPESS AND  device_has_antivirus=false OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR  bluetoothConnected=false AND  device_has_antivirus=false OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND  device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR  wifiConnected=true AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|" "fold6"
"16" 15 0 2092902 "7709,00000000" "4889,00000000" ",00000000" "9422,96875000" "4686,53125000" ",00000000" 6 "5,28125000" 23 "17,68750000" 1 "6,09375000" "AND NOT wifiEnabled=true OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND NOT wifiEnabled=true OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR NOT wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR NOT device_OS=>Android4.4 OR NOT wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND NOT bluetoothConnected=false OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND  device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND  bluetoothConnected=false AND NOT asset_confidential_level=>CONFIDENTIAL AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|" "fold6"
"17" 16 0 2233893 "7709,00000000" "4889,00000000" ",00000000" "9281,12500000" "4696,68750000" ",00000000" 6 "5,25000000" 23 "17,06250000" 2 "6,62500000" "AND NOT wifiEnabled=true OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND NOT wifiEnabled=true OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR NOT wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR NOT device_OS=>Android4.4 OR NOT wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND NOT bluetoothConnected=false OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND  device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND  bluetoothConnected=false AND NOT asset_confidential_level=>CONFIDENTIAL AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|" "fold6"
"18" 17 0 2467011 "7709,00000000" "4889,00000000" ",00000000" "9164,71875000" "4713,00000000" ",00000000" 6 "5,25000000" 23 "17,06250000" 3 "6,90625000" "AND NOT wifiEnabled=true OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND NOT wifiEnabled=true OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR NOT wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR NOT device_OS=>Android4.4 OR NOT wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND NOT bluetoothConnected=false OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND  device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND  bluetoothConnected=false AND NOT asset_confidential_level=>CONFIDENTIAL AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|" "fold6"
"19" 18 0 2588484 "7709,00000000" "4889,00000000" ",00000000" "9012,59375000" "4732,56250000" ",00000000" 6 "5,28125000" 23 "17,50000000" 4 "6,59375000" "AND NOT wifiEnabled=true OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND NOT wifiEnabled=true OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR NOT wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR NOT device_OS=>Android4.4 OR NOT wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND NOT bluetoothConnected=false OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND  device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND  bluetoothConnected=false AND NOT asset_confidential_level=>CONFIDENTIAL AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|" "fold6"
"20" 19 0 2713994 "7709,00000000" "4889,00000000" ",00000000" "8919,62500000" "4743,25000000" ",00000000" 6 "5,28125000" 23 "17,68750000" 5 "7,00000000" "AND NOT wifiEnabled=true OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND NOT wifiEnabled=true OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR NOT wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR NOT device_OS=>Android4.4 OR NOT wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND NOT bluetoothConnected=false OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND  device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND  bluetoothConnected=false AND NOT asset_confidential_level=>CONFIDENTIAL AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|" "fold6"
"21" 20 0 2881016 "7709,00000000" "4889,00000000" ",00000000" "8813,15625000" "4757,09375000" ",00000000" 6 "5,28125000" 23 "17,87500000" 6 "7,53125000" "AND NOT wifiEnabled=true OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND NOT wifiEnabled=true OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR NOT wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|OR NOT device_OS=>Android4.4 OR NOT wifiEnabled=false OR NOT wifiEncryption=>WPA-PSK-CCMPESS OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND NOT bluetoothConnected=false OR  device_has_antivirus=false AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND  device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|AND  bluetoothConnected=false AND NOT asset_confidential_level=>CONFIDENTIAL AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL THEN=GRANTED|" "fold6"
