"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"12" 11 0 1959299 "8392,00000000" "4783,00000000" ",00000000" "9566,50000000" "4658,15625000" ",00000000" 5 "5,09375000" 21 "17,87500000" 1 "4,00000000" "OR  device_screen_timeout<830 AND  asset_confidential_level=>PUBLIC AND  wifiConnected=true THEN=GRANTED|OR NOT event_type=>CONTEXT_SENSOR_PACKAGE AND  asset_confidential_level=>PUBLIC AND  wifiConnected=true THEN=GRANTED|OR NOT device_screen_timeout<830 OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true AND  wifiConnected=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_CONNECTIVITY OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true AND  wifiConnected=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true AND  wifiConnected=true THEN=GRANTED|OR NOT wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true AND  wifiConnected=true THEN=GRANTED|" "fold0"
"13" 12 0 2118990 "7411,00000000" "4908,00000000" ",00000000" "9258,28125000" "4688,87500000" ",00000000" 6 "5,18750000" 25 "18,25000000" 1 "4,56250000" "OR NOT device_owned_by=>COMPANY OR  device_is_rooted=true AND NOT asset_confidential_level=>PUBLIC OR NOT wifiConnected=true THEN=GRANTED|OR  asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT asset_confidential_level=>PUBLIC OR NOT wifiConnected=true THEN=GRANTED|OR  wifiEnabled=true OR  asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT asset_confidential_level=>PUBLIC OR NOT wifiConnected=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_CONNECTIVITY AND NOT asset_confidential_level=>PUBLIC OR NOT wifiConnected=true THEN=GRANTED|OR  device_owned_by=>COMPANY AND NOT device_is_rooted=true OR NOT wifiConnected=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true OR NOT wifiConnected=true THEN=GRANTED|OR  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true OR NOT wifiConnected=true THEN=GRANTED|OR  wifiEnabled=true OR  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true OR NOT wifiConnected=true THEN=GRANTED|" "fold0"
"14" 13 0 2290698 "7411,00000000" "4908,00000000" ",00000000" "9019,21875000" "4713,87500000" ",00000000" 6 "5,18750000" 25 "18,81250000" 2 "4,87500000" "OR NOT device_owned_by=>COMPANY OR  device_is_rooted=true AND NOT asset_confidential_level=>PUBLIC OR NOT wifiConnected=true THEN=GRANTED|OR  asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT asset_confidential_level=>PUBLIC OR NOT wifiConnected=true THEN=GRANTED|OR  wifiEnabled=true OR  asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT asset_confidential_level=>PUBLIC OR NOT wifiConnected=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_CONNECTIVITY AND NOT asset_confidential_level=>PUBLIC OR NOT wifiConnected=true THEN=GRANTED|OR  device_owned_by=>COMPANY AND NOT device_is_rooted=true OR NOT wifiConnected=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true OR NOT wifiConnected=true THEN=GRANTED|OR  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true OR NOT wifiConnected=true THEN=GRANTED|OR  wifiEnabled=true OR  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true OR NOT wifiConnected=true THEN=GRANTED|" "fold0"
"15" 14 0 2525640 "7315,00000000" "4920,00000000" ",00000000" "8662,87500000" "4758,34375000" ",00000000" 8 "5,50000000" 33 "20,56250000" 1 "4,50000000" "OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_screen_timeout<830 AND  device_screen_timeout<830 AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_screen_timeout<830 AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_CONNECTIVITY AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_CONNECTIVITY OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_owned_by=>COMPANY OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=STRONGDENY|OR  wifiEnabled=true AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|" "fold0"
"16" 15 0 2967919 "7315,00000000" "4920,00000000" ",00000000" "8594,71875000" "4771,87500000" ",00000000" 8 "5,59375000" 33 "20,81250000" 2 "4,96875000" "OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_screen_timeout<830 AND  device_screen_timeout<830 AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_screen_timeout<830 AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_CONNECTIVITY AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_CONNECTIVITY OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_owned_by=>COMPANY OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=STRONGDENY|OR  wifiEnabled=true AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|" "fold0"
"17" 16 0 3357991 "7315,00000000" "4920,00000000" ",00000000" "8374,40625000" "4801,00000000" ",00000000" 8 "5,68750000" 33 "21,75000000" 3 "4,90625000" "OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_screen_timeout<830 AND  device_screen_timeout<830 AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_screen_timeout<830 AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_CONNECTIVITY AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_CONNECTIVITY OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_owned_by=>COMPANY OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=STRONGDENY|OR  wifiEnabled=true AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|" "fold0"
"18" 17 0 3687691 "7315,00000000" "4920,00000000" ",00000000" "8306,93750000" "4810,18750000" ",00000000" 8 "5,75000000" 33 "21,62500000" 4 "5,56250000" "OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_screen_timeout<830 AND  device_screen_timeout<830 AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_screen_timeout<830 AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_CONNECTIVITY AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_CONNECTIVITY OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_owned_by=>COMPANY OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=STRONGDENY|OR  wifiEnabled=true AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|" "fold0"
"19" 18 0 3843300 "7315,00000000" "4920,00000000" ",00000000" "8101,87500000" "4828,84375000" ",00000000" 8 "5,81250000" 33 "21,87500000" 5 "5,68750000" "OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_screen_timeout<830 AND  device_screen_timeout<830 AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_screen_timeout<830 AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_CONNECTIVITY AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_CONNECTIVITY OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_owned_by=>COMPANY OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=STRONGDENY|OR  wifiEnabled=true AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|" "fold0"
"20" 19 0 4163839 "7315,00000000" "4920,00000000" ",00000000" "7947,93750000" "4845,18750000" ",00000000" 8 "6,12500000" 33 "23,31250000" 6 "5,65625000" "OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_screen_timeout<830 AND  device_screen_timeout<830 AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_screen_timeout<830 AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_CONNECTIVITY AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_CONNECTIVITY OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_owned_by=>COMPANY OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=STRONGDENY|OR  wifiEnabled=true AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|" "fold0"
"21" 20 0 4449214 "7315,00000000" "4920,00000000" ",00000000" "7856,03125000" "4857,46875000" ",00000000" 8 "6,25000000" 33 "24,81250000" 7 "5,31250000" "OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_screen_timeout<830 AND  device_screen_timeout<830 AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_screen_timeout<830 AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_CONNECTIVITY AND NOT asset_confidential_level=>PUBLIC OR  device_owned_by=>COMPANY OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_CONNECTIVITY OR  asset_confidential_level=>PUBLIC AND NOT wifiConnected=true THEN=GRANTED|AND  device_owned_by=>COMPANY OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=STRONGDENY|OR  wifiEnabled=true AND  wifiEnabled=true OR NOT asset_confidential_level=>PUBLIC OR  device_is_rooted=true AND NOT wifiConnected=true THEN=GRANTED|" "fold0"
