"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 281480 0.82087685 4372 0 0.54587985 2905.15625 0 4 4 15 14.6875 1 1 "AND NOT device_has_antivirus=false OR  device_has_password=true OR NOT user_role=>Employee THEN=GRANTED|AND NOT device_screen_timeout<=1268 OR  device_has_password=true OR NOT user_role=>Employee THEN=GRANTED|AND  asset_confidential_level=>CONFIDENTIAL AND NOT device_is_rooted=true OR NOT user_role=>Employee THEN=GRANTED|OR NOT event_type=>user_entered_password_field AND NOT device_is_rooted=true OR NOT user_role=>Employee THEN=GRANTED|" "fold9"
"2" 1 0 391120 0.86107115 4565 0 0.65778426 3497.78125 0 4 4.03125 15 14.8125 1 1.6875 "OR  device_is_rooted=false OR NOT wifiEnabled=false AND NOT wifiEnabled=true THEN=GRANTED|OR  asset_confidential_level=>PUBLIC OR NOT wifiEnabled=false AND NOT wifiEnabled=true THEN=GRANTED|AND  device_type=>Sony Xperia T OR NOT password_length>=6 AND NOT wifiEnabled=true THEN=GRANTED|AND NOT device_owned_by=>USER OR NOT password_length>=6 AND NOT wifiEnabled=true THEN=GRANTED|" "fold9"
"3" 2 0 492388 0.86107115 4565 0 0.72744283 3867.78125 0 4 4.125 15 15.0625 2 2.21875 "OR  device_is_rooted=false OR NOT wifiEnabled=false AND NOT wifiEnabled=true THEN=GRANTED|OR  asset_confidential_level=>PUBLIC OR NOT wifiEnabled=false AND NOT wifiEnabled=true THEN=GRANTED|AND  device_type=>Sony Xperia T OR NOT password_length>=6 AND NOT wifiEnabled=true THEN=GRANTED|AND NOT device_owned_by=>USER OR NOT password_length>=6 AND NOT wifiEnabled=true THEN=GRANTED|" "fold9"
"4" 3 0 595369 0.88763108 4713 0 0.76018539 4040.59375 0 5 4.21875 17 15.125 1 2.71875 "AND  device_screen_timeout<=1641 OR  bluetoothConnected=true OR NOT device_OS=>Android4.4 THEN=GRANTED|AND  device_has_antivirus=false AND  device_has_antivirus=false OR  bluetoothConnected=true OR NOT device_OS=>Android4.4 THEN=GRANTED|AND  device_has_antivirus=false OR  bluetoothConnected=true OR NOT device_OS=>Android4.4 THEN=GRANTED|AND  asset_confidential_level=>PUBLIC AND NOT wifiEnabled=true OR NOT device_OS=>Android4.4 THEN=GRANTED|AND NOT device_is_rooted=true AND NOT wifiEnabled=true OR NOT device_OS=>Android4.4 THEN=GRANTED|" "fold9"
"5" 4 0 692903 0.88763108 4713 0 0.78942489 4195.09375 0 5 4.46875 17 15.75 2 3.03125 "AND  device_screen_timeout<=1641 OR  bluetoothConnected=true OR NOT device_OS=>Android4.4 THEN=GRANTED|AND  device_has_antivirus=false AND  device_has_antivirus=false OR  bluetoothConnected=true OR NOT device_OS=>Android4.4 THEN=GRANTED|AND  device_has_antivirus=false OR  bluetoothConnected=true OR NOT device_OS=>Android4.4 THEN=GRANTED|AND  asset_confidential_level=>PUBLIC AND NOT wifiEnabled=true OR NOT device_OS=>Android4.4 THEN=GRANTED|AND NOT device_is_rooted=true AND NOT wifiEnabled=true OR NOT device_OS=>Android4.4 THEN=GRANTED|" "fold9"
"6" 5 0 809795 0.89421894 4742 0 0.81145957 4310.25 0 5 4.53125 17 15.9375 1 3.40625 "OR  device_screen_timeout<=1641 OR NOT bluetoothConnected=true AND NOT device_OS=>Android4.4 THEN=GRANTED|AND  device_has_antivirus=false OR  device_has_antivirus=false OR NOT bluetoothConnected=true AND NOT device_OS=>Android4.4 THEN=GRANTED|OR  device_has_antivirus=false OR NOT bluetoothConnected=true AND NOT device_OS=>Android4.4 THEN=GRANTED|AND  asset_confidential_level=>PUBLIC AND NOT wifiEnabled=true AND NOT device_OS=>Android4.4 THEN=GRANTED|OR NOT device_is_rooted=true AND NOT wifiEnabled=true AND NOT device_OS=>Android4.4 THEN=GRANTED|" "fold9"
"7" 6 0 917143 0.89421894 4742 0 0.82003383 4354.15625 0 5 4.59375 17 16.0625 2 3.875 "OR  device_screen_timeout<=1641 OR NOT bluetoothConnected=true AND NOT device_OS=>Android4.4 THEN=GRANTED|AND  device_has_antivirus=false OR  device_has_antivirus=false OR NOT bluetoothConnected=true AND NOT device_OS=>Android4.4 THEN=GRANTED|OR  device_has_antivirus=false OR NOT bluetoothConnected=true AND NOT device_OS=>Android4.4 THEN=GRANTED|AND  asset_confidential_level=>PUBLIC AND NOT wifiEnabled=true AND NOT device_OS=>Android4.4 THEN=GRANTED|OR NOT device_is_rooted=true AND NOT wifiEnabled=true AND NOT device_OS=>Android4.4 THEN=GRANTED|" "fold9"
"8" 7 0 1033336 0.89421894 4742 0 0.8322473 4417.6875 0 5 4.59375 17 16.0625 3 4.25 "OR  device_screen_timeout<=1641 OR NOT bluetoothConnected=true AND NOT device_OS=>Android4.4 THEN=GRANTED|AND  device_has_antivirus=false OR  device_has_antivirus=false OR NOT bluetoothConnected=true AND NOT device_OS=>Android4.4 THEN=GRANTED|OR  device_has_antivirus=false OR NOT bluetoothConnected=true AND NOT device_OS=>Android4.4 THEN=GRANTED|AND  asset_confidential_level=>PUBLIC AND NOT wifiEnabled=true AND NOT device_OS=>Android4.4 THEN=GRANTED|OR NOT device_is_rooted=true AND NOT wifiEnabled=true AND NOT device_OS=>Android4.4 THEN=GRANTED|" "fold9"
"9" 8 0 1172662 0.89421894 4742 0 0.84034922 4461.3125 0 5 4.78125 17 16.5625 4 4.25 "OR  device_screen_timeout<=1641 OR NOT bluetoothConnected=true AND NOT device_OS=>Android4.4 THEN=GRANTED|AND  device_has_antivirus=false OR  device_has_antivirus=false OR NOT bluetoothConnected=true AND NOT device_OS=>Android4.4 THEN=GRANTED|OR  device_has_antivirus=false OR NOT bluetoothConnected=true AND NOT device_OS=>Android4.4 THEN=GRANTED|AND  asset_confidential_level=>PUBLIC AND NOT wifiEnabled=true AND NOT device_OS=>Android4.4 THEN=GRANTED|OR NOT device_is_rooted=true AND NOT wifiEnabled=true AND NOT device_OS=>Android4.4 THEN=GRANTED|" "fold9"
"10" 9 0 1344074 0.89632456 4752 0 0.85202913 4524.34375 0 5 4.71875 17 16.375 1 4.5 "AND NOT device_screen_timeout<=1641 OR NOT bluetoothConnected=true OR NOT device_OS=>Android4.4 THEN=GRANTED|AND  device_has_antivirus=false AND  device_has_antivirus=true OR NOT bluetoothConnected=true OR NOT device_OS=>Android4.4 THEN=GRANTED|AND  device_has_antivirus=true OR NOT bluetoothConnected=true OR NOT device_OS=>Android4.4 THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND  wifiEnabled=true OR NOT device_OS=>Android4.4 THEN=GRANTED|OR NOT device_type=>Sony Xperia T AND  wifiEnabled=true OR NOT device_OS=>Android4.4 THEN=GRANTED|" "fold9"
