"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 375959 0.80957345 4319 0 0.51057846 2724.4375 0 4 4.03125 15 14.875 1 1 "AND  device_screen_timeout>345 OR NOT password_length>=7 OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR  device_OS=>Android4.1.1 OR NOT password_length>=7 OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|AND  user_role=>Administration OR  asset_confidential_level=>PUBLIC OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|AND  wifiEnabled=true OR  asset_confidential_level=>PUBLIC OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|" "fold3"
"2" 1 0 577444 0.86734354 4633 0 0.66033232 3530.40625 0 4 4.09375 15 14.9375 1 1.625 "AND NOT device_screen_timeout>345 AND NOT password_length>=7 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR  device_OS=>Android4.1.1 AND NOT password_length>=7 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR  user_role=>Administration OR  asset_confidential_level=>PUBLIC AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|AND NOT wifiEnabled=true OR  asset_confidential_level=>PUBLIC AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|" "fold3"
"3" 2 0 740113 0.86734354 4633 0 0.69441896 3712.125 0 4 4.0625 15 14.9375 2 2.375 "AND NOT device_screen_timeout>345 AND NOT password_length>=7 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR  device_OS=>Android4.1.1 AND NOT password_length>=7 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR  user_role=>Administration OR  asset_confidential_level=>PUBLIC AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|AND NOT wifiEnabled=true OR  asset_confidential_level=>PUBLIC AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|" "fold3"
"4" 3 0 903898 0.86734354 4633 0 0.74376055 3972.53125 0 4 4.09375 15 14.875 3 2.8125 "AND NOT device_screen_timeout>345 AND NOT password_length>=7 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR  device_OS=>Android4.1.1 AND NOT password_length>=7 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR  user_role=>Administration OR  asset_confidential_level=>PUBLIC AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|AND NOT wifiEnabled=true OR  asset_confidential_level=>PUBLIC AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|" "fold3"
"5" 4 0 1042970 0.86734354 4633 0 0.77629402 4144.5625 0 4 4.15625 15 14.6875 4 2.96875 "AND NOT device_screen_timeout>345 AND NOT password_length>=7 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR  device_OS=>Android4.1.1 AND NOT password_length>=7 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR  user_role=>Administration OR  asset_confidential_level=>PUBLIC AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|AND NOT wifiEnabled=true OR  asset_confidential_level=>PUBLIC AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|" "fold3"
"6" 5 0 1154071 0.86746862 4631 0 0.80301346 4287.25 0 5 4.1875 17 14.8125 1 3.125 "OR NOT device_screen_timeout>345 OR  password_length>=7 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|AND NOT wifiEnabled=true OR NOT device_screen_timeout>345 OR  password_length>=7 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR  device_OS=>Android4.1.1 OR  password_length>=7 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|AND NOT user_role=>Administration AND  asset_confidential_level=>PUBLIC AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR  wifiEnabled=true AND  asset_confidential_level=>PUBLIC AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=STRONGDENY|" "fold3"
"7" 6 0 1289548 0.86824 4652 0 0.8111338 4331.28125 0 5 4.28125 19 15.0625 1 3.625 "AND NOT device_OS=>Windows7 Home Edition AND  device_is_rooted=false OR  event_level=>SIMPLE_EVENT THEN=GRANTED|AND NOT user_role=>Administration AND NOT asset_confidential_level=>PUBLIC AND  device_is_rooted=false OR  event_level=>SIMPLE_EVENT THEN=GRANTED|OR  wifiEnabled=true AND NOT asset_confidential_level=>PUBLIC AND  device_is_rooted=false OR  event_level=>SIMPLE_EVENT THEN=GRANTED|AND NOT password_length<6 OR  password_length>=6 OR  event_level=>SIMPLE_EVENT THEN=GRANTED|AND  user_role=>Purchases OR  password_length>=6 OR  event_level=>SIMPLE_EVENT THEN=STRONGDENY|" "fold3"
"8" 7 0 1468071 0.89590543 4784 0 0.81987111 4378.65625 0 5 4.34375 19 15.6875 1 4.3125 "AND  device_screen_timeout>345 OR NOT password_length>=7 OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR NOT wifiEnabled=true AND  device_screen_timeout>345 OR NOT password_length>=7 OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|AND  device_OS=>Windows7 Professional OR NOT password_length>=7 OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|AND NOT user_role=>Administration OR  asset_confidential_level=>PUBLIC OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|AND NOT device_OS=>Windows7 Professional AND NOT user_role=>Administration OR  asset_confidential_level=>PUBLIC OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR NOT wifiEnabled=true OR  asset_confidential_level=>PUBLIC OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=STRONGDENY|" "fold3"
"9" 8 0 1669262 0.89726056 4791 0 0.83177863 4442.5625 0 5 4.5 19 16.0625 1 4.3125 "OR  device_screen_timeout>345 OR NOT password_length>=7 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR NOT wifiEnabled=true OR  device_screen_timeout>345 OR NOT password_length>=7 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR  device_OS=>Android4.1.1 OR NOT password_length>=7 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|AND  user_role=>Administration AND  asset_confidential_level=>PUBLIC AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR NOT device_screen_timeout>345 OR NOT wifiEnabled=true AND  asset_confidential_level=>PUBLIC AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR NOT wifiEnabled=true AND  asset_confidential_level=>PUBLIC AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|" "fold3"
"10" 9 0 1836406 0.89726056 4791 0 0.84884345 4534 0 5 4.75 19 16.75 2 4.03125 "OR  device_screen_timeout>345 OR NOT password_length>=7 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR NOT wifiEnabled=true OR  device_screen_timeout>345 OR NOT password_length>=7 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR  device_OS=>Android4.1.1 OR NOT password_length>=7 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|AND  user_role=>Administration AND  asset_confidential_level=>PUBLIC AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR NOT device_screen_timeout>345 OR NOT wifiEnabled=true AND  asset_confidential_level=>PUBLIC AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR NOT wifiEnabled=true AND  asset_confidential_level=>PUBLIC AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|" "fold3"
