"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 206216 9731 4633 0 33133 2829.375 0 4 4.125 15 14.9375 1 1 "OR NOT password_length<=7 OR  device_has_antivirus=true AND  device_has_antivirus=false THEN=GRANTED|OR  device_has_password=true OR  device_has_antivirus=true AND  device_has_antivirus=false THEN=GRANTED|AND  device_has_antivirus=true OR NOT password_length<=7 AND  device_has_antivirus=false THEN=GRANTED|OR  device_OS=>Android4.2.2 OR NOT password_length<=7 AND  device_has_antivirus=false THEN=GRANTED|" "fold3"
"2" 1 0 294353 9731 4633 0 25039.421875 3366.21875 0 4 4.15625 15 14.5625 2 1.5625 "OR NOT password_length<=7 OR  device_has_antivirus=true AND  device_has_antivirus=false THEN=GRANTED|OR  device_has_password=true OR  device_has_antivirus=true AND  device_has_antivirus=false THEN=GRANTED|AND  device_has_antivirus=true OR NOT password_length<=7 AND  device_has_antivirus=false THEN=GRANTED|OR  device_OS=>Android4.2.2 OR NOT password_length<=7 AND  device_has_antivirus=false THEN=GRANTED|" "fold3"
"3" 2 0 386870 9731 4633 0 20008.828125 3638.96875 0 4 4.28125 15 14.8125 3 2.125 "OR NOT password_length<=7 OR  device_has_antivirus=true AND  device_has_antivirus=false THEN=GRANTED|OR  device_has_password=true OR  device_has_antivirus=true AND  device_has_antivirus=false THEN=GRANTED|AND  device_has_antivirus=true OR NOT password_length<=7 AND  device_has_antivirus=false THEN=GRANTED|OR  device_OS=>Android4.2.2 OR NOT password_length<=7 AND  device_has_antivirus=false THEN=GRANTED|" "fold3"
"4" 3 0 491545 9731 4633 0 17483.96875 3867.71875 0 4 4.3125 15 15 4 2.59375 "OR NOT password_length<=7 OR  device_has_antivirus=true AND  device_has_antivirus=false THEN=GRANTED|OR  device_has_password=true OR  device_has_antivirus=true AND  device_has_antivirus=false THEN=GRANTED|AND  device_has_antivirus=true OR NOT password_length<=7 AND  device_has_antivirus=false THEN=GRANTED|OR  device_OS=>Android4.2.2 OR NOT password_length<=7 AND  device_has_antivirus=false THEN=GRANTED|" "fold3"
"5" 4 0 602838 8747.5 4750 0 15775.25 4035.9375 0 5 4.375 17 15.3125 1 3.15625 "OR  device_is_rooted=false AND NOT asset_confidential_level=>PUBLIC OR NOT device_has_accessibility=false THEN=GRANTED|AND NOT device_has_password=true OR  device_is_rooted=false AND NOT asset_confidential_level=>PUBLIC OR NOT device_has_accessibility=false THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND NOT asset_confidential_level=>PUBLIC OR NOT device_has_accessibility=false THEN=GRANTED|AND NOT password_length>=6 OR NOT mail_has_attachment=false OR NOT device_has_accessibility=false THEN=GRANTED|AND  device_screen_timeout<636 OR NOT mail_has_attachment=false OR NOT device_has_accessibility=false THEN=GRANTED|" "fold3"
"6" 5 0 716859 8747.5 4750 0 14966.34375 4068.90625 0 5 4.4375 17 15.875 2 3.8125 "OR  device_is_rooted=false AND NOT asset_confidential_level=>PUBLIC OR NOT device_has_accessibility=false THEN=GRANTED|AND NOT device_has_password=true OR  device_is_rooted=false AND NOT asset_confidential_level=>PUBLIC OR NOT device_has_accessibility=false THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND NOT asset_confidential_level=>PUBLIC OR NOT device_has_accessibility=false THEN=GRANTED|AND NOT password_length>=6 OR NOT mail_has_attachment=false OR NOT device_has_accessibility=false THEN=GRANTED|AND  device_screen_timeout<636 OR NOT mail_has_attachment=false OR NOT device_has_accessibility=false THEN=GRANTED|" "fold3"
"7" 6 0 790823 8747.5 4750 0 14204.078125 4125.78125 0 5 4.53125 17 16.125 3 4.1875 "OR  device_is_rooted=false AND NOT asset_confidential_level=>PUBLIC OR NOT device_has_accessibility=false THEN=GRANTED|AND NOT device_has_password=true OR  device_is_rooted=false AND NOT asset_confidential_level=>PUBLIC OR NOT device_has_accessibility=false THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND NOT asset_confidential_level=>PUBLIC OR NOT device_has_accessibility=false THEN=GRANTED|AND NOT password_length>=6 OR NOT mail_has_attachment=false OR NOT device_has_accessibility=false THEN=GRANTED|AND  device_screen_timeout<636 OR NOT mail_has_attachment=false OR NOT device_has_accessibility=false THEN=GRANTED|" "fold3"
"8" 7 0 883280 8370.5 4804 0 12344.390625 4350.59375 0 5 4.59375 19 16.1875 1 4.1875 "OR  device_is_rooted=false AND NOT asset_confidential_level=>PUBLIC OR NOT device_has_accessibility=false THEN=GRANTED|AND NOT device_has_password=true OR  device_is_rooted=false AND NOT asset_confidential_level=>PUBLIC OR NOT device_has_accessibility=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC AND NOT asset_confidential_level=>PUBLIC OR NOT device_has_accessibility=false THEN=GRANTED|OR  password_length>=6 AND  mail_has_attachment=false OR NOT device_has_accessibility=false THEN=GRANTED|OR NOT device_screen_timeout<636 AND  mail_has_attachment=false OR NOT device_has_accessibility=false THEN=GRANTED|AND  device_owned_by=>USER OR NOT device_screen_timeout<636 AND  mail_has_attachment=false OR NOT device_has_accessibility=false THEN=GRANTED|" "fold3"
"9" 8 0 981275 8370.5 4804 0 11723.9375 4403.34375 0 5 4.6875 19 16.375 2 4.21875 "OR  device_is_rooted=false AND NOT asset_confidential_level=>PUBLIC OR NOT device_has_accessibility=false THEN=GRANTED|AND NOT device_has_password=true OR  device_is_rooted=false AND NOT asset_confidential_level=>PUBLIC OR NOT device_has_accessibility=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC AND NOT asset_confidential_level=>PUBLIC OR NOT device_has_accessibility=false THEN=GRANTED|OR  password_length>=6 AND  mail_has_attachment=false OR NOT device_has_accessibility=false THEN=GRANTED|OR NOT device_screen_timeout<636 AND  mail_has_attachment=false OR NOT device_has_accessibility=false THEN=GRANTED|AND  device_owned_by=>USER OR NOT device_screen_timeout<636 AND  mail_has_attachment=false OR NOT device_has_accessibility=false THEN=GRANTED|" "fold3"
"10" 9 0 1099873 8232.5 4825 0 11382 4446.78125 0 5 4.6875 19 16.4375 1 5.09375 "AND NOT device_owned_by=>USER AND  device_is_rooted=false AND  bluetoothConnected=false THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND  device_is_rooted=false AND  bluetoothConnected=false THEN=GRANTED|OR NOT device_is_rooted=false AND  wifiEnabled=false OR  device_screen_timeout>1290 AND  bluetoothConnected=false THEN=GRANTED|AND  wifiEnabled=false OR  device_screen_timeout>1290 AND  bluetoothConnected=false THEN=GRANTED|OR  wifiConnected=false OR  device_screen_timeout>1290 AND  bluetoothConnected=false THEN=GRANTED|AND NOT device_OS=>Android4.1.1 OR  wifiConnected=false OR  device_screen_timeout>1290 AND  bluetoothConnected=false THEN=GRANTED|" "fold3"
