"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 452319 12292 4325 0 36473.15625 2501.8125 0 4 4.125 13 15 1 1 "AND NOT wifiEnabled=false OR  asset_confidential_level=>PUBLIC OR  device_is_rooted=true THEN=GRANTED|OR  asset_confidential_level=>PUBLIC OR  device_is_rooted=true THEN=GRANTED|OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  device_is_rooted=true THEN=GRANTED|OR NOT event_type=>CONTEXT_SENSOR_PACKAGE AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  device_is_rooted=true THEN=GRANTED|" "fold7"
"2" 1 0 638374 12292 4325 0 26792.171875 3315 0 4 4.28125 13 15.0625 2 1.6875 "AND NOT wifiEnabled=false OR  asset_confidential_level=>PUBLIC OR  device_is_rooted=true THEN=GRANTED|OR  asset_confidential_level=>PUBLIC OR  device_is_rooted=true THEN=GRANTED|OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  device_is_rooted=true THEN=GRANTED|OR NOT event_type=>CONTEXT_SENSOR_PACKAGE AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR  device_is_rooted=true THEN=GRANTED|" "fold7"
"3" 2 0 826224 11082.5 4635 0 20614.046875 3760.75 0 5 4.34375 15 15 1 2.09375 "AND NOT user_role=>Development OR NOT password_length>5 AND  device_owned_by=>COMPANY THEN=GRANTED|OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND NOT user_role=>Development OR NOT password_length>5 AND  device_owned_by=>COMPANY THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT password_length>5 AND  device_owned_by=>COMPANY THEN=GRANTED|OR NOT wifiConnected=true OR NOT bluetoothConnected=true AND  device_owned_by=>COMPANY THEN=GRANTED|OR NOT bluetoothConnected=true AND  device_owned_by=>COMPANY THEN=STRONGDENY|" "fold7"
"4" 3 0 1010410 11082.5 4635 0 18058.640625 3908.8125 0 5 4.34375 15 14.4375 2 2.65625 "AND NOT user_role=>Development OR NOT password_length>5 AND  device_owned_by=>COMPANY THEN=GRANTED|OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND NOT user_role=>Development OR NOT password_length>5 AND  device_owned_by=>COMPANY THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT password_length>5 AND  device_owned_by=>COMPANY THEN=GRANTED|OR NOT wifiConnected=true OR NOT bluetoothConnected=true AND  device_owned_by=>COMPANY THEN=GRANTED|OR NOT bluetoothConnected=true AND  device_owned_by=>COMPANY THEN=STRONGDENY|" "fold7"
"5" 4 0 1174843 9795.5 4643 0 17095.734375 3935.75 0 5 4.28125 15 14.3125 1 3.34375 "OR  bluetoothConnected=true OR  wifiEnabled=false AND  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  wifiEnabled=false AND  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|AND  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL OR  event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|AND  event_type=>CONTEXT_SENSOR_PACKAGE OR  event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"6" 5 0 1331231 8121.5 4781 0 15807.203125 4065.625 0 5 4.28125 15 14.1875 1 3.6875 "OR  bluetoothConnected=true OR NOT wifiEnabled=false OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT wifiEnabled=false OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_PERIPHERAL OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|AND  event_type=>CONTEXT_SENSOR_PACKAGE OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"7" 6 0 1582876 8121.5 4781 0 15477.078125 4098.15625 0 5 4.34375 15 14.125 2 4.375 "OR  bluetoothConnected=true OR NOT wifiEnabled=false OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT wifiEnabled=false OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_PERIPHERAL OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|AND  event_type=>CONTEXT_SENSOR_PACKAGE OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"8" 7 0 1801272 8121.5 4781 0 15220.015625 4076.78125 0 5 4.40625 15 14.1875 3 5.0625 "OR  bluetoothConnected=true OR NOT wifiEnabled=false OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT wifiEnabled=false OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_PERIPHERAL OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|AND  event_type=>CONTEXT_SENSOR_PACKAGE OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"9" 8 0 1997543 8121.5 4781 0 13752.828125 4225.375 0 5 4.53125 15 14.5 4 4.5625 "OR  bluetoothConnected=true OR NOT wifiEnabled=false OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT wifiEnabled=false OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_PERIPHERAL OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|AND  event_type=>CONTEXT_SENSOR_PACKAGE OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"10" 9 0 2203481 8121.5 4781 0 12908.75 4340.53125 0 5 4.6875 15 14.9375 5 4.625 "OR  bluetoothConnected=true OR NOT wifiEnabled=false OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT wifiEnabled=false OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_PERIPHERAL OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|AND  event_type=>CONTEXT_SENSOR_PACKAGE OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"11" 10 0 2454800 8121.5 4781 0 12102.703125 4417.46875 0 5 4.84375 15 15.3125 6 4.3125 "OR  bluetoothConnected=true OR NOT wifiEnabled=false OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT wifiEnabled=false OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_PERIPHERAL OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|AND  event_type=>CONTEXT_SENSOR_PACKAGE OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"12" 11 0 2685066 8121.5 4781 0 11743.890625 4435.25 0 5 4.78125 15 15.125 7 5.0625 "OR  bluetoothConnected=true OR NOT wifiEnabled=false OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT wifiEnabled=false OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_PERIPHERAL OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|AND  event_type=>CONTEXT_SENSOR_PACKAGE OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"13" 12 0 2928598 7937.5 4864 0 11465.828125 4467.25 0 5 4.78125 19 15.3125 1 5.8125 "OR  user_role=>Development AND  password_length>5 OR NOT device_owned_by=>COMPANY THEN=GRANTED|OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS OR  user_role=>Development AND  password_length>5 OR NOT device_owned_by=>COMPANY THEN=GRANTED|OR NOT device_owned_by=>USER AND  password_length>5 OR NOT device_owned_by=>COMPANY THEN=GRANTED|AND  wifiEnabled=false OR  asset_confidential_level=>PUBLIC OR NOT device_owned_by=>COMPANY THEN=GRANTED|AND  device_screen_timeout<=249 AND  wifiEnabled=false OR  asset_confidential_level=>PUBLIC OR NOT device_owned_by=>COMPANY THEN=GRANTED|AND  wifiConnected=false OR  asset_confidential_level=>PUBLIC OR NOT device_owned_by=>COMPANY THEN=GRANTED|" "fold7"
"14" 13 0 3136598 7844.5 4867 0 10896.859375 4534.9375 0 5 4.90625 15 15.4375 1 5.78125 "OR NOT bluetoothConnected=false OR  wifiEnabled=false OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  wifiEnabled=false OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT user_role=>Development OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|AND  wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS OR NOT user_role=>Development OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"15" 14 0 3461154 7844.5 4867 0 10647.46875 4569.125 0 5 5 15 15.5 2 5.90625 "OR NOT bluetoothConnected=false OR  wifiEnabled=false OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  wifiEnabled=false OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT user_role=>Development OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|AND  wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS OR NOT user_role=>Development OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"16" 15 0 3681466 7844.5 4867 0 10269.734375 4607.15625 0 5 5.09375 15 15.75 3 5.625 "OR NOT bluetoothConnected=false OR  wifiEnabled=false OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  wifiEnabled=false OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT user_role=>Development OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|AND  wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS OR NOT user_role=>Development OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"17" 16 0 3909257 7844.5 4867 0 10029.3125 4634.53125 0 5 5.1875 15 16.1875 4 6.09375 "OR NOT bluetoothConnected=false OR  wifiEnabled=false OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  wifiEnabled=false OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT user_role=>Development OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|AND  wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS OR NOT user_role=>Development OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"18" 17 0 4121712 7844.5 4867 0 9669.828125 4674.15625 0 5 5.40625 15 16.9375 5 5.84375 "OR NOT bluetoothConnected=false OR  wifiEnabled=false OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  wifiEnabled=false OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT user_role=>Development OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|AND  wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS OR NOT user_role=>Development OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"19" 18 0 4427497 7844.5 4867 0 9487.328125 4687.875 0 5 5.46875 15 17.125 6 5.71875 "OR NOT bluetoothConnected=false OR  wifiEnabled=false OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  wifiEnabled=false OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR NOT user_role=>Development OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|AND  wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS OR NOT user_role=>Development OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"20" 19 0 4699200 7563 4904 0 8951.359375 4735.0625 0 6 5.65625 19 18.125 1 4.84375 "OR NOT bluetoothConnected=true OR  wifiEnabled=false AND  asset_confidential_level=>PUBLIC OR NOT device_is_rooted=true THEN=GRANTED|OR  wifiEnabled=false AND  asset_confidential_level=>PUBLIC OR NOT device_is_rooted=true THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR NOT device_is_rooted=true THEN=GRANTED|OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR NOT device_is_rooted=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_PACKAGE AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR NOT device_is_rooted=true THEN=GRANTED|OR NOT wifiEnabled=false OR NOT event_type=>CONTEXT_SENSOR_PACKAGE OR  event_type=>CONTEXT_SENSOR_PACKAGE AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR NOT device_is_rooted=true THEN=GRANTED|OR NOT event_type=>CONTEXT_SENSOR_PACKAGE OR  event_type=>CONTEXT_SENSOR_PACKAGE AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"21" 20 0 4988965 7563 4904 0 8737.875 4765.25 0 6 5.6875 19 18.375 2 5.125 "OR NOT bluetoothConnected=true OR  wifiEnabled=false AND  asset_confidential_level=>PUBLIC OR NOT device_is_rooted=true THEN=GRANTED|OR  wifiEnabled=false AND  asset_confidential_level=>PUBLIC OR NOT device_is_rooted=true THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR NOT device_is_rooted=true THEN=GRANTED|OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR NOT device_is_rooted=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_PACKAGE AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR NOT device_is_rooted=true THEN=GRANTED|OR NOT wifiEnabled=false OR NOT event_type=>CONTEXT_SENSOR_PACKAGE OR  event_type=>CONTEXT_SENSOR_PACKAGE AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR NOT device_is_rooted=true THEN=GRANTED|OR NOT event_type=>CONTEXT_SENSOR_PACKAGE OR  event_type=>CONTEXT_SENSOR_PACKAGE AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"22" 21 0 5381643 7563 4904 0 8675.15625 4773.4375 0 6 5.75 19 18.375 3 5.5625 "OR NOT bluetoothConnected=true OR  wifiEnabled=false AND  asset_confidential_level=>PUBLIC OR NOT device_is_rooted=true THEN=GRANTED|OR  wifiEnabled=false AND  asset_confidential_level=>PUBLIC OR NOT device_is_rooted=true THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR NOT device_is_rooted=true THEN=GRANTED|OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR NOT device_is_rooted=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_PACKAGE AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR NOT device_is_rooted=true THEN=GRANTED|OR NOT wifiEnabled=false OR NOT event_type=>CONTEXT_SENSOR_PACKAGE OR  event_type=>CONTEXT_SENSOR_PACKAGE AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR NOT device_is_rooted=true THEN=GRANTED|OR NOT event_type=>CONTEXT_SENSOR_PACKAGE OR  event_type=>CONTEXT_SENSOR_PACKAGE AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"23" 22 0 5662787 7563 4904 0 8491.984375 4795.6875 0 6 5.90625 19 19.25 4 5.65625 "OR NOT bluetoothConnected=true OR  wifiEnabled=false AND  asset_confidential_level=>PUBLIC OR NOT device_is_rooted=true THEN=GRANTED|OR  wifiEnabled=false AND  asset_confidential_level=>PUBLIC OR NOT device_is_rooted=true THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR NOT device_is_rooted=true THEN=GRANTED|OR NOT event_type=>CONTEXT_SENSOR_PERIPHERAL AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR NOT device_is_rooted=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_PACKAGE AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR NOT device_is_rooted=true THEN=GRANTED|OR NOT wifiEnabled=false OR NOT event_type=>CONTEXT_SENSOR_PACKAGE OR  event_type=>CONTEXT_SENSOR_PACKAGE AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR NOT device_is_rooted=true THEN=GRANTED|OR NOT event_type=>CONTEXT_SENSOR_PACKAGE OR  event_type=>CONTEXT_SENSOR_PACKAGE AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"24" 23 0 6002305 7520 4881 0 8419.984375 4803.84375 0 6 5.96875 19 19.5 1 6.125 "AND  bluetoothConnected=true AND NOT wifiEnabled=false OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|AND NOT wifiEnabled=false OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND NOT device_is_rooted=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_PERIPHERAL OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_PACKAGE OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|AND  wifiEnabled=true AND NOT event_type=>CONTEXT_SENSOR_PACKAGE OR  event_type=>CONTEXT_SENSOR_PACKAGE OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_PACKAGE OR  event_type=>CONTEXT_SENSOR_PACKAGE OR NOT event_type=>SECURITY_PROPERTY_CHANGED AND NOT device_is_rooted=true THEN=GRANTED|" "fold7"
"25" 24 0 6238129 7475 4910 0 8244.15625 4827.15625 0 6 6 21 20.625 1 6.34375 "AND NOT bluetoothConnected=true AND  wifiEnabled=false AND  asset_confidential_level=>PUBLIC OR NOT device_is_rooted=true THEN=GRANTED|AND  wifiEnabled=false AND  asset_confidential_level=>PUBLIC OR NOT device_is_rooted=true THEN=GRANTED|AND  bluetoothConnected=false AND  asset_confidential_level=>PUBLIC OR NOT device_is_rooted=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_PERIPHERAL AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR NOT device_is_rooted=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_PACKAGE AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR NOT device_is_rooted=true THEN=GRANTED|OR NOT wifiEnabled=false OR  event_type=>CONTEXT_SENSOR_PACKAGE OR  event_type=>CONTEXT_SENSOR_PACKAGE AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR NOT device_is_rooted=true THEN=GRANTED|OR  event_type=>CONTEXT_SENSOR_PACKAGE OR  event_type=>CONTEXT_SENSOR_PACKAGE AND NOT event_type=>SECURITY_PROPERTY_CHANGED OR NOT device_is_rooted=true THEN=GRANTED|" "fold7"
