"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 254186 14834.5 4347 0 32824.984375 2530.78125 0 4 4.09375 15 15.125 1 1 "OR NOT device_screen_timeout<55 AND NOT wifiEncryption=>ESS OR NOT bluetoothConnected=true THEN=GRANTED|OR NOT user_role=>Development AND NOT wifiEncryption=>ESS OR NOT bluetoothConnected=true THEN=GRANTED|AND NOT device_type=>Samsung Galaxy S3 OR  device_screen_timeout>=1384 OR NOT bluetoothConnected=true THEN=GRANTED|AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS OR  device_screen_timeout>=1384 OR NOT bluetoothConnected=true THEN=STRONGDENY|" "fold0"
"2" 1 0 356233 10655 4538 0 25485.171875 3264 0 5 4.09375 17 15 1 1.6875 "OR  event_type=>LOG_IN OR NOT wifiEnabled=true AND NOT device_has_antivirus=true THEN=GRANTED|AND  device_has_antivirus=false OR NOT wifiEnabled=true AND NOT device_has_antivirus=true THEN=GRANTED|AND NOT device_has_antivirus=false OR NOT asset_confidential_level=>CONFIDENTIAL OR NOT mail_has_attachment=false AND NOT device_has_antivirus=true THEN=GRANTED|OR NOT asset_confidential_level=>CONFIDENTIAL OR NOT mail_has_attachment=false AND NOT device_has_antivirus=true THEN=GRANTED|AND  device_is_rooted=true OR NOT mail_has_attachment=false AND NOT device_has_antivirus=true THEN=GRANTED|" "fold0"
"3" 2 0 451981 9747.5 4587 0 21825.171875 3519.8125 0 4 4.15625 15 15.0625 1 2.21875 "AND  mail_has_attachment=false AND NOT bluetoothConnected=true AND  device_is_rooted=false THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT bluetoothConnected=true AND  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<55 AND  wifiEncryption=>ESS AND  device_is_rooted=false THEN=GRANTED|OR NOT user_role=>Development AND  wifiEncryption=>ESS AND  device_is_rooted=false THEN=GRANTED|" "fold0"
"4" 3 0 588947 9747.5 4587 0 18933.125 3727.28125 0 4 4.25 15 15 2 2.46875 "AND  mail_has_attachment=false AND NOT bluetoothConnected=true AND  device_is_rooted=false THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT bluetoothConnected=true AND  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<55 AND  wifiEncryption=>ESS AND  device_is_rooted=false THEN=GRANTED|OR NOT user_role=>Development AND  wifiEncryption=>ESS AND  device_is_rooted=false THEN=GRANTED|" "fold0"
"5" 4 0 667287 9747.5 4587 0 16225.890625 4061.46875 0 4 4.28125 15 15 3 3.03125 "AND  mail_has_attachment=false AND NOT bluetoothConnected=true AND  device_is_rooted=false THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT bluetoothConnected=true AND  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<55 AND  wifiEncryption=>ESS AND  device_is_rooted=false THEN=GRANTED|OR NOT user_role=>Development AND  wifiEncryption=>ESS AND  device_is_rooted=false THEN=GRANTED|" "fold0"
"6" 5 0 753584 9740 4622 0 14214.453125 4159.78125 0 5 4.28125 17 15 1 3.1875 "OR NOT event_type=>LOG_IN OR  wifiEnabled=true OR NOT device_has_antivirus=true THEN=GRANTED|AND NOT device_has_antivirus=false OR  wifiEnabled=true OR NOT device_has_antivirus=true THEN=GRANTED|AND  mail_has_attachment=false OR NOT asset_confidential_level=>CONFIDENTIAL AND  mail_has_attachment=false OR NOT device_has_antivirus=true THEN=GRANTED|OR NOT asset_confidential_level=>CONFIDENTIAL AND  mail_has_attachment=false OR NOT device_has_antivirus=true THEN=GRANTED|OR  device_is_rooted=true AND  mail_has_attachment=false OR NOT device_has_antivirus=true THEN=GRANTED|" "fold0"
"7" 6 0 831831 8713 4750 0 13535.328125 4233.59375 0 5 4.34375 17 15.0625 1 3.78125 "AND NOT mail_has_attachment=true OR NOT bluetoothConnected=true AND NOT device_is_rooted=false THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT OR NOT bluetoothConnected=true AND NOT device_is_rooted=false THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT OR NOT bluetoothConnected=true AND NOT device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<55 AND NOT wifiEncryption=>ESS AND NOT device_is_rooted=false THEN=GRANTED|OR NOT user_role=>Development AND NOT wifiEncryption=>ESS AND NOT device_is_rooted=false THEN=GRANTED|" "fold0"
"8" 7 0 938052 8713 4750 0 12546.390625 4353.0625 0 5 4.53125 17 15.5625 2 4 "AND NOT mail_has_attachment=true OR NOT bluetoothConnected=true AND NOT device_is_rooted=false THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT OR NOT bluetoothConnected=true AND NOT device_is_rooted=false THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT OR NOT bluetoothConnected=true AND NOT device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<55 AND NOT wifiEncryption=>ESS AND NOT device_is_rooted=false THEN=GRANTED|OR NOT user_role=>Development AND NOT wifiEncryption=>ESS AND NOT device_is_rooted=false THEN=GRANTED|" "fold0"
"9" 8 0 1045024 7967 4843 0 11576.203125 4437.21875 0 5 4.59375 19 15.625 1 4.15625 "OR  event_type=>LOG_IN AND NOT wifiEnabled=true OR  device_has_antivirus=true THEN=GRANTED|OR NOT user_role=>Development OR  event_type=>LOG_IN AND NOT wifiEnabled=true OR  device_has_antivirus=true THEN=GRANTED|AND  device_has_antivirus=false AND NOT wifiEnabled=true OR  device_has_antivirus=true THEN=GRANTED|OR NOT mail_has_attachment=false AND NOT asset_confidential_level=>CONFIDENTIAL AND  mail_has_attachment=false OR  device_has_antivirus=true THEN=GRANTED|AND NOT asset_confidential_level=>CONFIDENTIAL AND  mail_has_attachment=false OR  device_has_antivirus=true THEN=GRANTED|OR  device_is_rooted=false AND  mail_has_attachment=false OR  device_has_antivirus=true THEN=GRANTED|" "fold0"
"10" 9 0 1136610 7927 4828 0 11119.484375 4470.25 0 5 4.65625 19 15.8125 1 4.53125 "OR NOT mail_has_attachment=false AND NOT bluetoothConnected=true AND  device_is_rooted=false THEN=GRANTED|OR NOT user_role=>Development OR NOT mail_has_attachment=false AND NOT bluetoothConnected=true AND  device_is_rooted=false THEN=GRANTED|OR  event_level=>SIMPLE_EVENT AND NOT bluetoothConnected=true AND  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<55 OR  wifiEncryption=>ESS AND  device_is_rooted=false THEN=GRANTED|AND NOT user_role=>Development OR  wifiEncryption=>ESS AND  device_is_rooted=false THEN=GRANTED|OR  mail_has_attachment=true AND NOT user_role=>Development OR  wifiEncryption=>ESS AND  device_is_rooted=false THEN=GRANTED|" "fold0"
