"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"11" 10 0 668819 7758.5 4810 0 9551.421875 4603.96875 0 6 5.40625 17 18.9375 2 3.46875 "OR  device_OS=>Windows7 Home Edition AND NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR  device_OS=>Windows7 Home Edition AND NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|AND  device_OS=>Android4.2 OR NOT device_screen_timeout>470 AND NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|AND  device_screen_timeout>=89 OR NOT device_screen_timeout>470 AND NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|OR  device_screen_timeout>=89 AND  device_screen_timeout>=89 OR NOT device_screen_timeout>470 AND NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|AND NOT mail_has_attachment=true OR  device_screen_timeout>=89 AND  device_screen_timeout>=89 OR NOT device_screen_timeout>470 AND NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|" "fold4"
"12" 11 0 770358 7744.5 4813 0 9281.625 4631.59375 0 6 5.375 17 18.5 1 4.0625 "AND NOT device_OS=>Windows7 Home Edition OR  asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_OS=>Windows7 Home Edition OR  asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|AND  device_OS=>Android4.2 AND NOT device_screen_timeout>470 OR  asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|OR  device_screen_timeout>=89 AND NOT device_screen_timeout>470 OR  asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|OR  device_screen_timeout>1529 OR  device_screen_timeout>=89 AND NOT device_screen_timeout>470 OR  asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|OR  mail_has_attachment=true OR  device_screen_timeout>1529 OR  device_screen_timeout>=89 AND NOT device_screen_timeout>470 OR  asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|" "fold4"
"13" 12 0 837193 7744.5 4813 0 9052.796875 4658.75 0 6 5.46875 17 18.625 2 4.5 "AND NOT device_OS=>Windows7 Home Edition OR  asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_OS=>Windows7 Home Edition OR  asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|AND  device_OS=>Android4.2 AND NOT device_screen_timeout>470 OR  asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|OR  device_screen_timeout>=89 AND NOT device_screen_timeout>470 OR  asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|OR  device_screen_timeout>1529 OR  device_screen_timeout>=89 AND NOT device_screen_timeout>470 OR  asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|OR  mail_has_attachment=true OR  device_screen_timeout>1529 OR  device_screen_timeout>=89 AND NOT device_screen_timeout>470 OR  asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|" "fold4"
"14" 13 0 912339 7346 4860 0 8777.640625 4688.59375 0 7 5.53125 29 19.0625 1 4.75 "OR NOT mail_has_attachment=false AND NOT wifiEnabled=true AND  wifiEnabled=true THEN=GRANTED|OR  mail_has_attachment=true OR NOT device_has_accessibility=true AND NOT wifiEnabled=true AND  wifiEnabled=true THEN=GRANTED|OR NOT device_screen_timeout>=89 OR  mail_has_attachment=true OR NOT device_has_accessibility=true AND NOT wifiEnabled=true AND  wifiEnabled=true THEN=GRANTED|OR  device_screen_timeout<=1770 OR NOT device_screen_timeout>=89 OR  mail_has_attachment=true OR NOT device_has_accessibility=true AND NOT wifiEnabled=true AND  wifiEnabled=true THEN=GRANTED|OR NOT device_OS=>Windows8.1 OR NOT device_has_accessibility=true AND NOT wifiEnabled=true AND  wifiEnabled=true THEN=GRANTED|AND NOT password_length<7 OR NOT device_has_password=false OR NOT password_length<=7 AND  wifiEnabled=true THEN=GRANTED|OR NOT device_has_accessibility=true OR NOT device_has_password=false OR NOT password_length<=7 AND  wifiEnabled=true THEN=GRANTED|OR  device_has_antivirus=false OR NOT mail_has_attachment=true OR NOT password_length<=7 AND  wifiEnabled=true THEN=GRANTED|OR NOT mail_has_attachment=true OR NOT password_length<=7 AND  wifiEnabled=true THEN=GRANTED|" "fold4"
"15" 14 0 989901 7292.5 4869 0 8631.21875 4706.3125 0 6 5.6875 21 19.9375 1 5.3125 "AND  device_OS=>Windows7 Home Edition OR NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND  device_OS=>Windows7 Home Edition OR NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT device_screen_timeout>470 OR NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|OR  device_has_antivirus=true OR NOT event_level=>SIMPLE_EVENT AND NOT device_screen_timeout>470 OR NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|OR NOT device_has_accessibility=false OR  device_has_antivirus=true OR NOT event_level=>SIMPLE_EVENT AND NOT device_screen_timeout>470 OR NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|OR  device_screen_timeout>=89 AND NOT device_screen_timeout>470 OR NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|AND NOT device_screen_timeout>1529 OR  device_screen_timeout>=89 AND NOT device_screen_timeout>470 OR NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|OR  mail_has_attachment=true AND NOT device_screen_timeout>1529 OR  device_screen_timeout>=89 AND NOT device_screen_timeout>470 OR NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|" "fold4"
"16" 15 0 1091215 7208.5 4878 0 8413.65625 4732.84375 0 8 5.875 37 21.125 1 5.71875 "OR NOT mail_has_attachment=false AND  wifiEnabled=true OR NOT wifiEnabled=true THEN=GRANTED|AND  mail_has_attachment=true OR  device_has_accessibility=true AND  wifiEnabled=true OR NOT wifiEnabled=true THEN=GRANTED|AND  device_screen_timeout>=89 AND  mail_has_attachment=true OR  device_has_accessibility=true AND  wifiEnabled=true OR NOT wifiEnabled=true THEN=GRANTED|AND NOT device_screen_timeout<=1770 AND  device_screen_timeout>=89 AND  mail_has_attachment=true OR  device_has_accessibility=true AND  wifiEnabled=true OR NOT wifiEnabled=true THEN=GRANTED|OR NOT device_OS=>Windows8.1 OR  device_has_accessibility=true AND  wifiEnabled=true OR NOT wifiEnabled=true THEN=GRANTED|OR NOT password_length<7 AND NOT device_has_password=false OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|AND  device_has_accessibility=true AND NOT device_has_password=false OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|OR NOT mail_has_attachment=true OR  device_has_accessibility=true AND NOT mail_has_attachment=true OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|AND NOT device_screen_timeout>=89 OR NOT mail_has_attachment=true OR  device_has_accessibility=true AND NOT mail_has_attachment=true OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|OR NOT device_screen_timeout<=1770 AND NOT device_screen_timeout>=89 OR NOT mail_has_attachment=true OR  device_has_accessibility=true AND NOT mail_has_attachment=true OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|OR  device_OS=>Windows8.1 OR  device_has_accessibility=true AND NOT mail_has_attachment=true OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|AND NOT mail_has_attachment=true OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|" "fold4"
"17" 16 0 1156984 7208.5 4878 0 8248.078125 4753.1875 0 8 6.03125 37 22 2 5.78125 "OR NOT mail_has_attachment=false AND  wifiEnabled=true OR NOT wifiEnabled=true THEN=GRANTED|AND  mail_has_attachment=true OR  device_has_accessibility=true AND  wifiEnabled=true OR NOT wifiEnabled=true THEN=GRANTED|AND  device_screen_timeout>=89 AND  mail_has_attachment=true OR  device_has_accessibility=true AND  wifiEnabled=true OR NOT wifiEnabled=true THEN=GRANTED|AND NOT device_screen_timeout<=1770 AND  device_screen_timeout>=89 AND  mail_has_attachment=true OR  device_has_accessibility=true AND  wifiEnabled=true OR NOT wifiEnabled=true THEN=GRANTED|OR NOT device_OS=>Windows8.1 OR  device_has_accessibility=true AND  wifiEnabled=true OR NOT wifiEnabled=true THEN=GRANTED|OR NOT password_length<7 AND NOT device_has_password=false OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|AND  device_has_accessibility=true AND NOT device_has_password=false OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|OR NOT mail_has_attachment=true OR  device_has_accessibility=true AND NOT mail_has_attachment=true OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|AND NOT device_screen_timeout>=89 OR NOT mail_has_attachment=true OR  device_has_accessibility=true AND NOT mail_has_attachment=true OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|OR NOT device_screen_timeout<=1770 AND NOT device_screen_timeout>=89 OR NOT mail_has_attachment=true OR  device_has_accessibility=true AND NOT mail_has_attachment=true OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|OR  device_OS=>Windows8.1 OR  device_has_accessibility=true AND NOT mail_has_attachment=true OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|AND NOT mail_has_attachment=true OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|" "fold4"
"18" 17 0 1263072 7208.5 4878 0 8145.359375 4765.875 0 8 6.15625 37 22.625 3 6.34375 "OR NOT mail_has_attachment=false AND  wifiEnabled=true OR NOT wifiEnabled=true THEN=GRANTED|AND  mail_has_attachment=true OR  device_has_accessibility=true AND  wifiEnabled=true OR NOT wifiEnabled=true THEN=GRANTED|AND  device_screen_timeout>=89 AND  mail_has_attachment=true OR  device_has_accessibility=true AND  wifiEnabled=true OR NOT wifiEnabled=true THEN=GRANTED|AND NOT device_screen_timeout<=1770 AND  device_screen_timeout>=89 AND  mail_has_attachment=true OR  device_has_accessibility=true AND  wifiEnabled=true OR NOT wifiEnabled=true THEN=GRANTED|OR NOT device_OS=>Windows8.1 OR  device_has_accessibility=true AND  wifiEnabled=true OR NOT wifiEnabled=true THEN=GRANTED|OR NOT password_length<7 AND NOT device_has_password=false OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|AND  device_has_accessibility=true AND NOT device_has_password=false OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|OR NOT mail_has_attachment=true OR  device_has_accessibility=true AND NOT mail_has_attachment=true OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|AND NOT device_screen_timeout>=89 OR NOT mail_has_attachment=true OR  device_has_accessibility=true AND NOT mail_has_attachment=true OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|OR NOT device_screen_timeout<=1770 AND NOT device_screen_timeout>=89 OR NOT mail_has_attachment=true OR  device_has_accessibility=true AND NOT mail_has_attachment=true OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|OR  device_OS=>Windows8.1 OR  device_has_accessibility=true AND NOT mail_has_attachment=true OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|AND NOT mail_has_attachment=true OR  password_length<=7 OR NOT wifiEnabled=true THEN=GRANTED|" "fold4"
"19" 18 0 1343590 7204 4880 0 8004.90625 4783.375 0 7 6.3125 41 23.875 1 6.78125 "AND NOT event_level=>SIMPLE_EVENT AND  device_screen_timeout>470 OR  wifiEnabled=true AND  wifiEnabled=false THEN=GRANTED|OR  device_has_antivirus=true AND NOT event_level=>SIMPLE_EVENT AND  device_screen_timeout>470 OR  wifiEnabled=true AND  wifiEnabled=false THEN=GRANTED|AND NOT device_has_accessibility=false OR  device_has_antivirus=true AND NOT event_level=>SIMPLE_EVENT AND  device_screen_timeout>470 OR  wifiEnabled=true AND  wifiEnabled=false THEN=GRANTED|AND NOT device_screen_timeout>=89 AND  device_screen_timeout>470 OR  wifiEnabled=true AND  wifiEnabled=false THEN=GRANTED|AND NOT device_screen_timeout>1529 AND NOT device_screen_timeout>=89 AND  device_screen_timeout>470 OR  wifiEnabled=true AND  wifiEnabled=false THEN=GRANTED|OR  mail_has_attachment=true AND NOT device_screen_timeout>1529 AND NOT device_screen_timeout>=89 AND  device_screen_timeout>470 OR  wifiEnabled=true AND  wifiEnabled=false THEN=GRANTED|AND  mail_has_attachment=true OR NOT device_has_accessibility=true OR  wifiEnabled=true AND  wifiEnabled=false THEN=GRANTED|OR NOT device_screen_timeout>=89 AND  mail_has_attachment=true OR NOT device_has_accessibility=true OR  wifiEnabled=true AND  wifiEnabled=false THEN=GRANTED|OR NOT device_screen_timeout<=1770 OR NOT device_screen_timeout>=89 AND  mail_has_attachment=true OR NOT device_has_accessibility=true OR  wifiEnabled=true AND  wifiEnabled=false THEN=GRANTED|OR NOT device_OS=>Windows8.1 OR NOT device_has_accessibility=true OR  wifiEnabled=true AND  wifiEnabled=false THEN=GRANTED|OR NOT password_length<7 AND NOT device_has_password=false OR NOT password_length<7 AND  wifiEnabled=false THEN=GRANTED|OR  device_has_accessibility=true AND NOT device_has_password=false OR NOT password_length<7 AND  wifiEnabled=false THEN=GRANTED|AND  device_has_antivirus=false OR NOT mail_has_attachment=true OR NOT password_length<7 AND  wifiEnabled=false THEN=GRANTED|OR NOT mail_has_attachment=true OR NOT password_length<7 AND  wifiEnabled=false THEN=GRANTED|" "fold4"
"20" 19 0 1507646 7204 4880 0 7902.6875 4795.9375 0 7 6.5 41 24.9375 2 6.625 "AND NOT event_level=>SIMPLE_EVENT AND  device_screen_timeout>470 OR  wifiEnabled=true AND  wifiEnabled=false THEN=GRANTED|OR  device_has_antivirus=true AND NOT event_level=>SIMPLE_EVENT AND  device_screen_timeout>470 OR  wifiEnabled=true AND  wifiEnabled=false THEN=GRANTED|AND NOT device_has_accessibility=false OR  device_has_antivirus=true AND NOT event_level=>SIMPLE_EVENT AND  device_screen_timeout>470 OR  wifiEnabled=true AND  wifiEnabled=false THEN=GRANTED|AND NOT device_screen_timeout>=89 AND  device_screen_timeout>470 OR  wifiEnabled=true AND  wifiEnabled=false THEN=GRANTED|AND NOT device_screen_timeout>1529 AND NOT device_screen_timeout>=89 AND  device_screen_timeout>470 OR  wifiEnabled=true AND  wifiEnabled=false THEN=GRANTED|OR  mail_has_attachment=true AND NOT device_screen_timeout>1529 AND NOT device_screen_timeout>=89 AND  device_screen_timeout>470 OR  wifiEnabled=true AND  wifiEnabled=false THEN=GRANTED|AND  mail_has_attachment=true OR NOT device_has_accessibility=true OR  wifiEnabled=true AND  wifiEnabled=false THEN=GRANTED|OR NOT device_screen_timeout>=89 AND  mail_has_attachment=true OR NOT device_has_accessibility=true OR  wifiEnabled=true AND  wifiEnabled=false THEN=GRANTED|OR NOT device_screen_timeout<=1770 OR NOT device_screen_timeout>=89 AND  mail_has_attachment=true OR NOT device_has_accessibility=true OR  wifiEnabled=true AND  wifiEnabled=false THEN=GRANTED|OR NOT device_OS=>Windows8.1 OR NOT device_has_accessibility=true OR  wifiEnabled=true AND  wifiEnabled=false THEN=GRANTED|OR NOT password_length<7 AND NOT device_has_password=false OR NOT password_length<7 AND  wifiEnabled=false THEN=GRANTED|OR  device_has_accessibility=true AND NOT device_has_password=false OR NOT password_length<7 AND  wifiEnabled=false THEN=GRANTED|AND  device_has_antivirus=false OR NOT mail_has_attachment=true OR NOT password_length<7 AND  wifiEnabled=false THEN=GRANTED|OR NOT mail_has_attachment=true OR NOT password_length<7 AND  wifiEnabled=false THEN=GRANTED|" "fold4"
