"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 137584 27490 2449 0 28139.96875 2393.03125 0 10 10 10 10 1 1 "OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  asset_confidential_level=>PUBLIC OR NOT bluetoothConnected=false OR  event_level=>COMPLEX_EVENT AND  mail_has_attachment=true AND NOT device_has_antivirus=false AND  mail_has_attachment=false AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT device_screen_timeout>1179 AND  device_is_rooted=false THEN=" "fold9"
"2" 1 0 178878 27490 2449 0 27624.625 2447.90625 0 10 10 10 10 2 1.71875 "OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  asset_confidential_level=>PUBLIC OR NOT bluetoothConnected=false OR  event_level=>COMPLEX_EVENT AND  mail_has_attachment=true AND NOT device_has_antivirus=false AND  mail_has_attachment=false AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT device_screen_timeout>1179 AND  device_is_rooted=false THEN=" "fold9"
"3" 2 0 231006 27490 2449 0 27537.3125 2450.8125 0 10 10 10 10 3 2.25 "OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  asset_confidential_level=>PUBLIC OR NOT bluetoothConnected=false OR  event_level=>COMPLEX_EVENT AND  mail_has_attachment=true AND NOT device_has_antivirus=false AND  mail_has_attachment=false AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT device_screen_timeout>1179 AND  device_is_rooted=false THEN=" "fold9"
"4" 3 0 286271 27490 2449 0 27531.65625 2450.9375 0 10 10 10 10 4 2.96875 "OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  asset_confidential_level=>PUBLIC OR NOT bluetoothConnected=false OR  event_level=>COMPLEX_EVENT AND  mail_has_attachment=true AND NOT device_has_antivirus=false AND  mail_has_attachment=false AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT device_screen_timeout>1179 AND  device_is_rooted=false THEN=" "fold9"
"5" 4 0 346029 27490 2449 0 27531.65625 2450.9375 0 10 10 10 10 5 3.96875 "OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  asset_confidential_level=>PUBLIC OR NOT bluetoothConnected=false OR  event_level=>COMPLEX_EVENT AND  mail_has_attachment=true AND NOT device_has_antivirus=false AND  mail_has_attachment=false AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT device_screen_timeout>1179 AND  device_is_rooted=false THEN=" "fold9"
"6" 5 0 399710 27480 2451 0 27530 2450.9375 0 10 10 10 10 1 4.90625 "OR NOT device_has_accessibility=false OR NOT device_is_rooted=true AND NOT bluetoothConnected=true OR NOT device_is_rooted=true OR  device_type=>LG-L70 OR NOT mail_has_attachment=true OR NOT device_has_antivirus=true AND NOT device_has_accessibility=false OR  device_OS=>Android4.3 AND  bluetoothConnected=false THEN=" "fold9"
"7" 6 0 444863 27480 2451 0 27528.34375 2450.9375 0 10 10 10 10 2 5.8125 "OR NOT device_has_accessibility=false OR NOT device_is_rooted=true AND NOT bluetoothConnected=true OR NOT device_is_rooted=true OR  device_type=>LG-L70 OR NOT mail_has_attachment=true OR NOT device_has_antivirus=true AND NOT device_has_accessibility=false OR  device_OS=>Android4.3 AND  bluetoothConnected=false THEN=" "fold9"
"8" 7 0 504654 27475 2463 0 27526.53125 2451.3125 0 10 10 10 10 1 6.6875 "OR  event_level=>SIMPLE_EVENT OR NOT device_OS=>Android4.4.4 AND  device_is_rooted=false OR  mail_has_attachment=true OR  device_OS=>Android4.4.2 AND  device_has_password=false AND NOT user_role=>Consultancy OR  device_is_rooted=false AND  device_screen_timeout<505 AND  password_length>=6 THEN=" "fold9"
"9" 8 0 556694 27475 2463 0 27526.53125 2451.3125 0 10 10 10 10 2 7.6875 "OR  event_level=>SIMPLE_EVENT OR NOT device_OS=>Android4.4.4 AND  device_is_rooted=false OR  mail_has_attachment=true OR  device_OS=>Android4.4.2 AND  device_has_password=false AND NOT user_role=>Consultancy OR  device_is_rooted=false AND  device_screen_timeout<505 AND  password_length>=6 THEN=" "fold9"
"10" 9 0 622038 27475 2463 0 27526.53125 2451.3125 0 10 10 10 10 3 8.6875 "OR  event_level=>SIMPLE_EVENT OR NOT device_OS=>Android4.4.4 AND  device_is_rooted=false OR  mail_has_attachment=true OR  device_OS=>Android4.4.2 AND  device_has_password=false AND NOT user_role=>Consultancy OR  device_is_rooted=false AND  device_screen_timeout<505 AND  password_length>=6 THEN=" "fold9"
