"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 269276 27529 2456 0 28534.8125 2353.96875 0 10 10 10 10 1 1 "OR  event_level=>SIMPLE_EVENT OR  password_length>=7 AND  device_has_accessibility=true AND  wifiConnected=false AND  device_owned_by=>COMPANY OR  device_has_antivirus=false OR  device_has_password=false OR NOT event_type=>LOG_OUT OR NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT THEN=" "fold0"
"12" 11 0 1441648 27112 2478 0 27515.28125 2463.09375 0 10 10 10 10 11 10.1875 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"13" 12 0 1552131 27112 2478 0 27515.28125 2463.09375 0 10 10 10 10 12 11.1875 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"14" 13 0 1660731 27112 2478 0 27515.28125 2463.09375 0 10 10 10 10 13 12.1875 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"15" 14 0 1774066 27112 2478 0 27514.125 2463 0 10 10 10 10 14 12.875 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"16" 15 0 1891136 27112 2478 0 27514.125 2463 0 10 10 10 10 15 13.875 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"17" 16 0 1999900 27112 2478 0 27508.25 2463.40625 0 10 10 10 10 16 14.5 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"18" 17 0 2101772 27112 2478 0 27508.25 2463.40625 0 10 10 10 10 17 15.5 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"19" 18 0 2216994 27112 2478 0 27505.5 2463.40625 0 10 10 10 10 18 15.5625 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"20" 19 0 2329145 27112 2478 0 27505.5 2463.40625 0 10 10 10 10 19 16.5625 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"21" 20 0 2445278 27112 2478 0 27505.5 2463.40625 0 10 10 10 10 20 17.5625 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
