"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"14" 13 0 877533 27333 2476 0 27500.0625 2453.75 0 10 10 10 10 11 11.4375 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"15" 14 0 941951 27333 2476 0 27498.375 2453.78125 0 10 10 10 10 12 12.03125 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"16" 15 0 990894 27333 2476 0 27498.375 2453.78125 0 10 10 10 10 13 13.03125 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"17" 16 0 1059959 27333 2476 0 27497.46875 2453.96875 0 10 10 10 10 14 13.5625 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"18" 17 0 1106480 27333 2476 0 27495.875 2453.90625 0 10 10 10 10 15 14.0625 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"19" 18 0 1164205 27333 2476 0 27495.875 2453.90625 0 10 10 10 10 16 15.0625 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"20" 19 0 1220380 27333 2476 0 27490.375 2454.0625 0 10 10 10 10 17 13.71875 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"21" 20 0 1287653 27333 2476 0 27488.78125 2454 0 10 10 10 10 18 14.09375 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"22" 21 0 1339950 27333 2476 0 27487.875 2454.1875 0 10 10 10 10 19 14.4375 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"23" 22 0 1411658 27333 2476 0 27487.875 2454.1875 0 10 10 10 10 20 15.4375 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"24" 23 0 1467629 27333 2476 0 27487.875 2454.1875 0 10 10 10 10 21 16.4375 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"25" 24 0 1521487 27333 2476 0 27485.03125 2454.5 0 10 10 10 10 22 15.1875 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"26" 25 0 1576642 27333 2476 0 27481.75 2453.625 0 10 10 10 10 23 13.84375 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"27" 26 0 1618926 27333 2476 0 27477.625 2453.46875 0 10 10 10 10 24 12.40625 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"28" 27 0 1670425 27333 2476 0 27474.65625 2453.875 0 10 10 10 10 25 12.5 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"29" 28 0 1731539 27333 2476 0 27471.96875 2453.8125 0 10 10 10 10 26 12.4375 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"30" 29 0 1792670 27333 2476 0 27471.03125 2453.375 0 10 10 10 10 27 13.28125 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"31" 30 0 1873593 27333 2476 0 27470.03125 2452.9375 0 10 10 10 10 28 13.5625 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"32" 31 0 1941986 27333 2476 0 27470.03125 2452.9375 0 10 10 10 10 29 14.5625 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"33" 32 0 1999355 27333 2476 0 27470.03125 2452.9375 0 10 10 10 10 30 15.5625 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"34" 33 0 2066583 27333 2476 0 27469.25 2452.78125 0 10 10 10 10 31 15.75 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"35" 34 0 2121484 27333 2476 0 27469.25 2452.78125 0 10 10 10 10 32 16.75 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
"36" 35 0 2182040 27333 2476 0 27468.5 2452.59375 0 10 10 10 10 33 16.65625 "OR  device_is_rooted=false OR  device_OS=>Android4.2.1 OR  wifiEncryption=>WPA-PSK-CCMP+TKIPWPSESS AND  user_role=>Security OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS AND  device_is_rooted=false AND  bluetoothConnected=false OR  device_has_password=true AND NOT event_level=>COMPLEX_EVENT OR  user_role=>Development THEN=" "fold9"
